Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
ERR579129_2 - illumina_universal_adapter	(1, 4.053072166714207e-05)	(2, 4.529904186327643e-05)	(3, 0.0001335129654917621)	(4, 0.0002694100910815914)	(5, 0.000290867531964196)	(6, 0.0003671606551023458)	(7, 0.00040053889647528635)	(8, 0.0004744478595153689)	(9, 0.0005435885023593171)	(10, 0.000771275791724733)	(12, 0.0012040008495239262)	(14, 0.0017761992730600494)	(16, 0.0024616453012543636)	(18, 0.003133978448909309)	(20, 0.003714521432788667)	(22, 0.004253341614951851)	(24, 0.004723021154271085)	(26, 0.005159322452217379)	(28, 0.005567013828986866)	(30, 0.006178550894141098)	(32, 0.00713221493336797)	(34, 0.008548406031619875)	(36, 0.01032937362487606)	(38, 0.013308381667411003)	(40, 0.018584527964433672)	(42, 0.027434530248459047)	(44, 0.04044131566346455)	(46, 0.057421303881899005)	(48, 0.08142621982928841)	(50, 0.11542553490777543)	(52, 0.16167228041003356)	(54, 0.21978141448022498)	(56, 0.2885990036308851)	(58, 0.37045675643792364)	(60, 0.4684481206285829)	(62, 0.5829915163000734)	(64, 0.7148820608451008)	(66, 0.8561542753760225)	(68, 1.0063802031552356)	(70, 1.166809144074127)	(72, 1.342577771063983)	(74, 1.534074702220788)	(76, 1.7350200598462333)	(78, 1.9389229680733306)	(80, 2.145825149703797)	(82, 2.3612900423264707)	(84, 2.588296653983889)	(86, 2.823936309356408)	(88, 3.058155005310478)	(90, 3.2314953652404528)
ERR579129_2 - polya	(1, 0.0167010414869606)	(2, 0.021140347589561688)	(3, 0.02480956998048708)	(4, 0.030650762220751672)	(5, 0.03520212384796192)	(6, 0.03956275266732679)	(7, 0.04396152804826074)	(8, 0.05177918900982303)	(9, 0.06168060589709603)	(10, 0.07320205957100567)	(12, 0.08420376634353668)	(14, 0.10008108051661507)	(16, 0.12423500647013366)	(18, 0.14179553767244749)	(20, 0.15798517681837268)	(22, 0.17450502213788016)	(24, 0.1895884109983022)	(26, 0.20728245516610777)	(28, 0.2225720738750126)	(30, 0.23688895526390602)	(32, 0.25094953944225723)	(34, 0.26531410403311195)	(36, 0.2790766681992048)	(38, 0.29268306987887416)	(40, 0.3086748237366598)	(42, 0.3221596332513278)	(44, 0.33582563893344886)	(46, 0.3507862435488204)	(48, 0.36580764424669265)	(50, 0.38106984511446973)	(52, 0.3955440810698356)	(54, 0.41247400192621064)	(56, 0.42626517601348024)	(58, 0.439459117996184)	(60, 0.45265544413898584)	(62, 0.4655501740293822)	(64, 0.4801936853517108)	(66, 0.4961949758498887)	(68, 0.5111388913445738)	(70, 0.5289676405579202)	(72, 0.5478156182131904)	(74, 0.5620788559998772)	(76, 0.5764577255513204)	(78, 0.5894776238468653)	(80, 0.6015116719418593)	(82, 0.6131082266588581)	(84, 0.627481135810056)	(86, 0.6434263985459294)	(88, 0.6561566213895591)	(90, 0.6659745926733998)
ERR579129_2 - polyg	(1, 0.00473494195476142)	(2, 0.00569099015408636)	(3, 0.008644964515591597)	(4, 0.01227842450504598)	(5, 0.0154660465561618)	(6, 0.018331806994038552)	(7, 0.020630137328575313)	(8, 0.022482629724773513)	(9, 0.02470943525636826)	(10, 0.02943484057073741)	(12, 0.03657778422454668)	(14, 0.04162385907210587)	(16, 0.04601309781264755)	(18, 0.05030339390911944)	(20, 0.054515012722355115)	(22, 0.05863603345186424)	(24, 0.06279996906313856)	(26, 0.06688761155127475)	(28, 0.07121009380907053)	(30, 0.0755945642294161)	(32, 0.0799170464872119)	(34, 0.08409647913912366)	(36, 0.08817458498686757)	(38, 0.09224434627426825)	(40, 0.09634986996313993)	(42, 0.10027419748455851)	(44, 0.10388739211317932)	(46, 0.10768893538954744)	(48, 0.11164306491219186)	(50, 0.11531228730311725)	(52, 0.11903872953639624)	(54, 0.12268291824629193)	(56, 0.12603623942422343)	(58, 0.12934068532014453)	(60, 0.13274765010028255)	(62, 0.13627143872522585)	(64, 0.13984887095237564)	(66, 0.1434346477398687)	(68, 0.14724811181672715)	(70, 0.15088276388623056)	(72, 0.15472602996431484)	(74, 0.1590830825435326)	(76, 0.1634830500045156)	(78, 0.16795692642853866)	(80, 0.17247729397447403)	(82, 0.176877261435457)	(84, 0.1815919380293849)	(86, 0.18643297510851028)	(88, 0.19118818242410526)	(90, 0.19474058097022537)
ERR579130_1 - illumina_universal_adapter	(1, 0.9061595798097836)	(2, 0.9075849517243614)	(3, 0.9085509062449844)	(4, 0.9111071517446817)	(5, 0.9116784785038307)	(6, 0.9128446918884853)	(7, 0.9130449507525169)	(8, 0.9139520056072482)	(9, 0.9148885102949254)	(10, 0.918478444931021)	(12, 0.9213586385931226)	(14, 0.9262885406282533)	(16, 0.9312567274462136)	(18, 0.9365253025602213)	(20, 0.941870447239888)	(22, 0.9469034236903291)	(24, 0.9509763355867364)	(26, 0.9553643606956639)	(28, 0.9594726123916062)	(30, 0.9636250388369672)	(32, 0.9679188244804682)	(34, 0.9731962345443594)	(36, 0.9794337091622848)	(38, 0.9869905362961828)	(40, 1.001780242401575)	(42, 1.0275753510788208)	(44, 1.0634688074731895)	(46, 1.1145524877010136)	(48, 1.1944410495331463)	(50, 1.337570182633139)	(52, 1.5823159643126923)	(54, 1.9302304007680515)	(56, 2.3739451437961714)	(58, 2.9546251698887236)	(60, 3.729659368507232)	(62, 4.713001070501427)	(64, 5.844622681377841)	(66, 7.08330915992879)	(68, 8.412489085155663)	(70, 9.849741062343824)	(72, 11.471896760665626)	(74, 13.122768991092897)	(76, 14.838077456005632)	(78, 16.52599168631216)	(80, 18.188729254433305)	(82, 19.89649856211191)	(84, 21.64368941617179)	(86, 23.390877325248372)	(88, 25.09816071068337)	(90, 26.353006312571694)
ERR579130_1 - polya	(1, 0.00642006358218933)	(2, 0.007975014761728764)	(3, 0.008528671621110229)	(4, 0.009924593702742221)	(5, 0.01066672949297695)	(6, 0.01160323418065411)	(7, 0.012816567298022002)	(8, 0.016809964645475548)	(9, 0.02181054627967623)	(10, 0.02705850651062182)	(12, 0.030568926597763873)	(14, 0.03733649820871392)	(16, 0.045912289562537456)	(18, 0.0508686964473194)	(20, 0.060289698006688056)	(22, 0.0700935473943524)	(24, 0.0749409898972348)	(26, 0.08009765564604834)	(28, 0.08488030851644994)	(30, 0.08940674784022287)	(32, 0.09342076007073849)	(34, 0.09787357481214687)	(36, 0.10223804005471779)	(38, 0.10709431750748394)	(40, 0.11366752022099155)	(42, 0.11887425068581298)	(44, 0.1246994276424967)	(46, 0.13101936179267024)	(48, 0.13593159392803345)	(50, 0.14107353476037407)	(52, 0.14705774081496523)	(54, 0.1558131761497583)	(56, 0.1623039193310176)	(58, 0.16857084378188864)	(60, 0.17527657074365244)	(62, 0.19734038558666275)	(64, 1.8663389881920895)	(66, 2.0667244865053505)	(68, 2.0740781097919223)	(70, 2.0802861345769017)	(72, 2.086874062206882)	(74, 2.0936357438512427)	(76, 2.1002943510802936)	(78, 2.106458201115854)	(80, 2.1114676176999385)	(82, 2.1169099468283266)	(84, 2.123618618773385)	(86, 2.1298708183077832)	(88, 2.1344119825480288)	(90, 2.13842304979525)
ERR579130_2 - illumina_universal_adapter	(1, 0.8813039208035093)	(2, 0.882658613119017)	(3, 0.8834596485751435)	(4, 0.8856094863801885)	(5, 0.8860512338743759)	(6, 0.8870289683281771)	(7, 0.8871938873926738)	(8, 0.8879419131494977)	(9, 0.8887370586390348)	(10, 0.8918881907642379)	(12, 0.8945210058295945)	(14, 0.8992447590341044)	(16, 0.9040421368209789)	(18, 0.9091781876867303)	(20, 0.9145410022661646)	(22, 0.9194120046354037)	(24, 0.9234319068325085)	(26, 0.927819931941436)	(28, 0.9318810639046651)	(30, 0.9361306747987472)	(32, 0.9404067905424807)	(34, 0.94566358572331)	(36, 0.9518362707087544)	(38, 0.9593489230932337)	(40, 0.9738794706687026)	(42, 0.9992063270021101)	(44, 1.0344548320549651)	(46, 1.0843929137811965)	(48, 1.1629915729303026)	(50, 1.3033200269171474)	(52, 1.5435835440223467)	(54, 1.886912641488041)	(56, 2.3253116896694404)	(58, 2.897999031100496)	(60, 3.664513393047778)	(62, 4.637120630933222)	(64, 5.755257163303741)	(66, 6.9751340335521945)	(68, 8.284087813511878)	(70, 9.699446784888114)	(72, 11.292594397758279)	(74, 12.913416018647634)	(76, 14.604437206329948)	(78, 16.27095907798463)	(80, 17.91558794382739)	(82, 19.60425608985733)	(84, 21.33143872741382)	(86, 23.055001980501267)	(88, 24.72960488631628)	(90, 25.964828064512805)
ERR579130_2 - polya	(1, 0.013323104424690152)	(2, 0.015955919490046693)	(3, 0.016904204110902182)	(4, 0.018965692417109763)	(5, 0.020261485066725957)	(6, 0.021622067348822965)	(7, 0.023241808160843206)	(8, 0.02780064230085655)	(9, 0.033148731963817936)	(10, 0.038900284338137095)	(12, 0.043226464797878436)	(14, 0.05121914945937469)	(16, 0.061211477777892306)	(18, 0.06713678416659181)	(20, 0.073748271662929)	(22, 0.08121969428128419)	(24, 0.08734525953401528)	(26, 0.09388901241457709)	(28, 0.10006758736661067)	(30, 0.10558943104395241)	(32, 0.11060768257792059)	(34, 0.11624438060375103)	(36, 0.12193997829547312)	(38, 0.12764441093707896)	(40, 0.13518651315450414)	(42, 0.1409999101780095)	(44, 0.14719321004651603)	(46, 0.1541168657720789)	(48, 0.15925880660441954)	(50, 0.164592171350908)	(52, 0.17121249379712894)	(54, 0.18086025907018044)	(56, 0.20205824882458356)	(58, 2.2395950058973293)	(60, 2.864019813847606)	(62, 2.881910587362193)	(64, 2.8884307803763987)	(66, 2.894108708168353)	(68, 2.9006671859653874)	(70, 2.907537831991648)	(72, 2.9149297400610497)	(74, 2.9213969233759522)	(76, 2.9278611617075603)	(78, 2.9340986363254853)	(80, 2.939482065787982)	(82, 2.9443412882240425)	(84, 2.950681837257278)	(86, 2.9571166257559405)	(88, 2.96187866374328)	(90, 2.9657807666086016)
ERR579130_2 - polyg	(1, 0.0026387050319457064)	(2, 0.0032512615572188167)	(3, 0.003569319753033701)	(4, 0.004558834140013341)	(5, 0.007939674962193777)	(6, 0.011308735851195885)	(7, 0.012457279336082967)	(8, 0.013199415126317697)	(9, 0.02056187336277335)	(10, 0.06582037663391355)	(12, 0.13541327686818697)	(14, 0.1558102311664637)	(16, 0.16214489023311016)	(18, 0.16548155630587186)	(20, 0.16844126451692704)	(22, 0.17077663626953077)	(24, 0.17223440300034898)	(26, 0.17348307591725187)	(28, 0.17478770351675182)	(30, 0.17607171623318968)	(32, 0.1771966998517201)	(34, 0.1783069585537776)	(36, 0.17949084183819966)	(38, 0.18081902930405627)	(40, 0.18359909353414194)	(42, 0.18565174689046576)	(44, 0.18679440040876366)	(46, 0.18791054907741034)	(48, 0.18893834824721956)	(50, 0.1901428464147037)	(52, 0.1914268591311416)	(54, 0.19270498188099028)	(56, 0.1941480236953356)	(58, 0.19534957687952514)	(60, 0.19658057989666053)	(62, 0.19768494863212888)	(64, 0.1989159516492643)	(66, 0.20022941419864795)	(68, 0.20162828126357454)	(70, 0.20321562725935438)	(72, 0.20466161405699423)	(74, 0.20639031925091406)	(76, 0.20821915387684964)	(78, 0.2098683445218157)	(80, 0.21145274553430096)	(82, 0.2133198649430661)	(84, 0.21510157983628836)	(86, 0.21654167666733912)	(88, 0.21796115861532778)	(90, 0.21913031698327692)
ERR579131_1 - illumina_universal_adapter	(1, 4.2400535385503096e-05)	(2, 6.662941274864772e-05)	(3, 0.00014234465450847466)	(4, 0.0003210326250616663)	(5, 0.00033920428308402477)	(6, 0.0004300625731958171)	(7, 0.00047246310858132016)	(8, 0.0005542355696819333)	(9, 0.0006450938597937256)	(10, 0.0008555822318860446)	(12, 0.0012099295633220346)	(14, 0.0017944512297078988)	(16, 0.0024864885393927174)	(18, 0.003048295633250633)	(20, 0.003528330266007936)	(22, 0.003947792705357377)	(24, 0.004347569181849264)	(26, 0.004680716245592503)	(28, 0.004989634431972596)	(30, 0.005403039651981251)	(32, 0.006017847415071047)	(34, 0.007099061067401375)	(36, 0.00838319156764804)	(38, 0.010380559645272274)	(40, 0.014087577881833402)	(42, 0.02052488773625389)	(44, 0.029136739334016608)	(46, 0.04034410941930619)	(48, 0.0567470593941551)	(50, 0.08055193140344469)	(52, 0.11347140421578226)	(54, 0.15533133277512018)	(56, 0.20475369968142965)	(58, 0.26446576794289955)	(60, 0.338651561819178)	(62, 0.4267689601792646)	(64, 0.529191996317453)	(66, 0.6425089414400451)	(68, 0.7639213602115981)	(70, 0.8961126008000799)	(72, 1.0416933247413696)	(74, 1.2027911303289183)	(76, 1.375132649317801)	(78, 1.5501423734263002)	(80, 1.7315530640731753)	(82, 1.9220647267795816)	(84, 2.1242395653266715)	(86, 2.3366420187306787)	(88, 2.5505436339215306)	(90, 2.711910985769744)
ERR579131_1 - polya	(1, 0.009340232223492253)	(2, 0.017014729128268312)	(3, 0.021230553789455476)	(4, 0.027421031955738927)	(5, 0.03046175606481358)	(6, 0.0336448248283967)	(7, 0.03757596018056692)	(8, 0.044499361887085497)	(9, 0.05764655646626185)	(10, 0.06981853873157162)	(12, 0.07821233043306605)	(14, 0.09062508716717207)	(16, 0.10296667157402387)	(18, 0.11410438363689442)	(20, 0.1262778802070394)	(22, 0.14094695114558825)	(24, 0.15676537945405133)	(26, 0.176318083486109)	(28, 0.19104318370356016)	(30, 0.20437512347263048)	(32, 0.21620335854035067)	(34, 0.22927938079227278)	(36, 0.24063060983690604)	(38, 0.25153209034548596)	(40, 0.26305292153166115)	(42, 0.27554290781236224)	(44, 0.2864110736145678)	(46, 0.2980151915666789)	(48, 0.30837303663942317)	(50, 0.3184976787675473)	(52, 0.3287192364051239)	(54, 0.340739788186914)	(56, 0.3523060485181452)	(58, 0.36307427020122784)	(60, 0.37235241592647694)	(62, 0.38351132825704026)	(64, 0.3934815112919743)	(66, 0.4140730284409768)	(68, 0.4302730615679094)	(70, 0.44557208331790005)	(72, 0.45866779153267967)	(74, 0.4703854823474305)	(76, 0.48402179738837536)	(78, 0.49693578902293145)	(80, 0.5074511217985362)	(82, 0.5185343188873397)	(84, 0.5318374868645412)	(86, 0.5475120562136606)	(88, 0.560551735149538)	(90, 0.5707384637759052)
ERR579131_2 - illumina_universal_adapter	(1, 3.6343316044716935e-05)	(2, 5.1486364396682325e-05)	(3, 0.00011811577714533004)	(4, 0.0002665176509945909)	(5, 0.0002816606993465563)	(6, 0.00036343316044716936)	(7, 0.0004028050861622794)	(8, 0.00046943449891092713)	(9, 0.0005572641793523264)	(10, 0.0007571524175982695)	(12, 0.0011039282248582769)	(14, 0.0016854212815737481)	(16, 0.0023774585912585662)	(18, 0.002937751380281286)	(20, 0.0034117287936978025)	(22, 0.003853905805575192)	(24, 0.0042748825497598295)	(26, 0.00462922988119582)	(28, 0.004951776811092682)	(30, 0.005374267860112517)	(32, 0.005996647147378294)	(34, 0.007109661201247751)	(36, 0.008410449054681579)	(38, 0.010422960180657779)	(40, 0.0141330070268893)	(42, 0.02058697423449695)	(44, 0.029295741341712242)	(46, 0.040672713568543836)	(48, 0.05721195097856044)	(50, 0.08126365467598706)	(52, 0.11477976359339206)	(54, 0.15750284590879204)	(56, 0.20782925280171383)	(58, 0.26845293257397207)	(60, 0.34372902593159205)	(62, 0.4331063259145621)	(64, 0.5371224107393772)	(66, 0.6521399201918952)	(68, 0.7754936777621699)	(70, 0.90959597105267)	(72, 1.0573179220309274)	(74, 1.22075684289369)	(76, 1.3956817659314182)	(78, 1.573648927383056)	(80, 1.7574340480115194)	(82, 1.9503171120898433)	(84, 2.155172270195231)	(86, 2.3704488741764416)	(88, 2.587123181520538)	(90, 2.750510616018904)
ERR579131_2 - polya	(1, 0.01891972461094556)	(2, 0.024028989124898682)	(3, 0.028262985444108206)	(4, 0.034401977245994975)	(5, 0.039084207796422674)	(6, 0.04366952283739779)	(7, 0.048297238413758416)	(8, 0.05674705939415511)	(9, 0.06758948201416233)	(10, 0.08038384356673789)	(12, 0.0923680520324833)	(14, 0.10966292755526297)	(16, 0.13533948034085547)	(18, 0.15383065668344043)	(20, 0.17183574117392728)	(22, 0.1899331982593611)	(24, 0.20624226133442783)	(26, 0.2254194177673568)	(28, 0.24226151614441271)	(30, 0.25796940019990644)	(32, 0.27309276258901427)	(34, 0.2883932986438401)	(36, 0.30328800100283326)	(38, 0.31786167073676475)	(40, 0.33435699330656066)	(42, 0.3488973483341178)	(44, 0.3646355184863154)	(46, 0.38142613049897467)	(48, 0.3976837072096447)	(50, 0.4140063990282282)	(52, 0.4305986371074767)	(54, 0.4496152772278748)	(56, 0.465288332272159)	(58, 0.4794955402359729)	(60, 0.493896579218692)	(62, 0.5081325589743746)	(64, 0.5241947903613043)	(66, 0.5412398055862766)	(68, 0.5572611507426559)	(70, 0.577680037140446)	(72, 0.60028557972026)	(74, 0.6165052988100501)	(76, 0.6324115567989546)	(78, 0.6467974527333218)	(80, 0.659882560814255)	(82, 0.672772323571448)	(84, 0.6883711776788075)	(86, 0.706003743179836)	(88, 0.7195476856258338)	(90, 0.7305915107889223)
ERR579131_2 - polyg	(1, 0.004046222519645152)	(2, 0.005012349004500544)	(3, 0.008852626066558967)	(4, 0.01356817132336099)	(5, 0.017214617366514254)	(6, 0.02044614388482367)	(7, 0.023065891249713682)	(8, 0.02525557604140788)	(9, 0.02771783570343745)	(10, 0.03317539032948578)	(12, 0.04172061251449985)	(14, 0.04757340070253448)	(16, 0.05264026468110209)	(18, 0.05769198561131775)	(20, 0.0626043904966953)	(22, 0.06739716530009236)	(24, 0.07200368060876024)	(26, 0.07679796971699247)	(28, 0.08169826016368847)	(30, 0.08657280742818614)	(32, 0.09137769667026475)	(34, 0.09612958524311149)	(36, 0.10068915710188828)	(38, 0.10538804500550314)	(40, 0.10992035937724637)	(42, 0.11420887067052297)	(44, 0.1186609268860008)	(46, 0.1230766397854339)	(48, 0.12736666538354569)	(50, 0.13169606290737262)	(52, 0.13576045708504011)	(54, 0.13977185059347574)	(56, 0.1435894130830062)	(58, 0.14750994830133007)	(60, 0.15157888539350317)	(62, 0.1557205091177657)	(64, 0.15985001840334667)	(66, 0.16375995348782413)	(68, 0.16777588991076536)	(70, 0.17194022820755583)	(72, 0.17612576677203906)	(74, 0.18071713903235498)	(76, 0.18502230767881872)	(78, 0.18953796469737483)	(80, 0.1940021353515342)	(82, 0.1986889088164675)	(84, 0.20328785260095938)	(86, 0.20788376777578088)	(88, 0.21253116931499905)	(90, 0.21611250025023887)
ERR579132_1 - illumina_universal_adapter	(1, 2.7187106916913835e-05)	(2, 3.8061949683679373e-05)	(3, 9.243616351750704e-05)	(4, 0.00020662201256854516)	(5, 0.0002474026729439159)	(6, 0.00033983883646142293)	(7, 0.0003670259433783368)	(8, 0.00042411886790385585)	(9, 0.0004948053458878318)	(10, 0.0006715215408477717)	(12, 0.0009515487420919842)	(14, 0.0013946985848376798)	(16, 0.0019846588049347103)	(18, 0.002444120911830554)	(20, 0.002960675943251917)	(22, 0.0033018741350591854)	(24, 0.00370424331742951)	(26, 0.004027769889740785)	(28, 0.004383920990352356)	(30, 0.004916788285923867)	(32, 0.005656277594063923)	(34, 0.006870181917904126)	(36, 0.008548985770023556)	(38, 0.0111535106126639)	(40, 0.01595611304953673)	(42, 0.024287601964224977)	(44, 0.03610855605169911)	(46, 0.051118557780527235)	(48, 0.07214370691472255)	(50, 0.10241111304532273)	(52, 0.14388640400242064)	(54, 0.1966660940155713)	(56, 0.2584542319056414)	(58, 0.3310587602826056)	(60, 0.4188160226997118)	(62, 0.5233857920342375)	(64, 0.6427861281919396)	(66, 0.773734188012601)	(68, 0.9133127949240366)	(70, 1.0634481554513098)	(72, 1.2277670296571372)	(74, 1.4073106837364362)	(76, 1.5975511050321949)	(78, 1.7894744082461105)	(80, 1.9888293071357648)	(82, 2.1953480086980255)	(84, 2.413940504442088)	(86, 2.6399890642581134)	(88, 2.868238420379064)	(90, 3.039814892776361)
ERR579132_1 - polya	(1, 0.008843965880072071)	(2, 0.0166602591186848)	(3, 0.020262550785175883)	(4, 0.02623283946413016)	(5, 0.02906301729418089)	(6, 0.032311876570752095)	(7, 0.03608000958943635)	(8, 0.04311059543815027)	(9, 0.0547113339595974)	(10, 0.06729216768539928)	(12, 0.07563317208750844)	(14, 0.08715370864355068)	(16, 0.09966385589136859)	(18, 0.11067327483737284)	(20, 0.12320653112607012)	(22, 0.13915856610956934)	(24, 0.15385047868746954)	(26, 0.17149627043189247)	(28, 0.18544597499096097)	(30, 0.1973566465312609)	(32, 0.2084503455087076)	(34, 0.22032023638863218)	(36, 0.23113934558621807)	(38, 0.2422466381171232)	(40, 0.2539153444058626)	(42, 0.2658790308046506)	(44, 0.27777610879149206)	(46, 0.2896120157877705)	(48, 0.3008280567463433)	(50, 0.31108983025213244)	(52, 0.3216302716038199)	(54, 0.33353414636739065)	(56, 0.34505604227877873)	(58, 0.35519003638205837)	(60, 0.3643058733312996)	(62, 0.37455541263897607)	(64, 0.3847614525755855)	(66, 0.39936636641135165)	(68, 0.41357162977543915)	(70, 0.4263074300106674)	(72, 0.43876320304465144)	(74, 0.4506127035943884)	(76, 0.46462357914401997)	(78, 0.477563282681125)	(80, 0.4885387177434832)	(82, 0.4997207748184099)	(84, 0.512810007443558)	(86, 0.5283528764679577)	(88, 0.5408018527252125)	(90, 0.5504600724574461)
ERR579132_2 - illumina_universal_adapter	(1, 1.9030974841839687e-05)	(2, 2.9905817608605218e-05)	(3, 7.884261005905013e-05)	(4, 0.0001821536163433227)	(5, 0.00022293427671869347)	(6, 0.0003126517295445091)	(7, 0.0003316827043863488)	(8, 0.00037518207545341093)	(9, 0.00044314984274569554)	(10, 0.0006239441037431724)	(12, 0.0009066900156790765)	(14, 0.0013525585691164634)	(16, 0.001945237499905185)	(18, 0.002433246069063788)	(20, 0.0029674727199811455)	(22, 0.0033195457545551793)	(24, 0.003743664622459035)	(26, 0.004072628616153692)	(28, 0.004455966823682178)	(30, 0.0050241773582456765)	(32, 0.005804447326761104)	(34, 0.007037382625443147)	(36, 0.008766482625358866)	(38, 0.011436256524599805)	(40, 0.016339451257065214)	(42, 0.024810953772375566)	(44, 0.03683173309568902)	(46, 0.05209185620815275)	(48, 0.0734242196505092)	(50, 0.10422993049806427)	(52, 0.1463903365494684)	(54, 0.20007943528898986)	(56, 0.2630570091066749)	(58, 0.3372383896848201)	(60, 0.4269463270232149)	(62, 0.5333553041406698)	(64, 0.6548585630183953)	(66, 0.7881175269269942)	(68, 0.9300070379263676)	(70, 1.0824804896484954)	(72, 1.249527590033435)	(74, 1.4318225793327257)	(76, 1.6253050631283263)	(78, 1.8202733223169365)	(80, 2.0229654385806417)	(82, 2.2326745471396023)	(84, 2.454258983999871)	(86, 2.6832818133126075)	(88, 2.9143518317761874)	(90, 3.08771313774258)
ERR579132_2 - polya	(1, 0.016733664307360466)	(2, 0.022002525627858368)	(3, 0.025773377357234315)	(4, 0.03191222609907346)	(5, 0.03644703553281469)	(6, 0.040995438520014374)	(7, 0.04547587373992178)	(8, 0.05374075424266358)	(9, 0.06455306666352022)	(10, 0.07758520636414286)	(12, 0.08884474669378273)	(14, 0.10620235510488636)	(16, 0.13111661988354623)	(18, 0.148895628451862)	(20, 0.1659636941743005)	(22, 0.1833253806514417)	(24, 0.1988791245186081)	(26, 0.2172263436214874)	(28, 0.23415303638795792)	(30, 0.2494403466073386)	(32, 0.2643144128015822)	(34, 0.27945491264361144)	(36, 0.29363027019009036)	(38, 0.30778659676172737)	(40, 0.3242864519496024)	(42, 0.3383109210526924)	(44, 0.35257871476268876)	(46, 0.3691084757681724)	(48, 0.3853881153900204)	(50, 0.40136190005905314)	(52, 0.41725004534129756)	(54, 0.4357889335479411)	(56, 0.45168523496226065)	(58, 0.4665742540653085)	(60, 0.48063950382877385)	(62, 0.49401148236585796)	(64, 0.5096019288273621)	(66, 0.5260474098014034)	(68, 0.5415386233226609)	(70, 0.5598029217494436)	(72, 0.5793477329120129)	(74, 0.5945616379427179)	(76, 0.6095159061023663)	(78, 0.6229830395136596)	(80, 0.6359091494973064)	(82, 0.648764573002969)	(84, 0.6643998781908862)	(86, 0.6817996266177111)	(88, 0.6959804215855733)	(90, 0.7069137166322101)
ERR579132_2 - polyg	(1, 0.004635401729333809)	(2, 0.005652199528026387)	(3, 0.008816778773155157)	(4, 0.012522381445930512)	(5, 0.015629867766533766)	(6, 0.018710166980220103)	(7, 0.021099913678216828)	(8, 0.023179727357360735)	(9, 0.025498787577373488)	(10, 0.02998194150797258)	(12, 0.03699893380322804)	(14, 0.04226779512372594)	(16, 0.046798526491429626)	(18, 0.05141761595661329)	(20, 0.055740365956402596)	(22, 0.059950289462486706)	(24, 0.06406505809436161)	(26, 0.06823827900610788)	(28, 0.07263987161595623)	(30, 0.07696126226039969)	(32, 0.0814063542413151)	(34, 0.08588135203983911)	(36, 0.0902598356088081)	(38, 0.09443849394193773)	(40, 0.09858860581280465)	(42, 0.10261773505789126)	(44, 0.10650413199166411)	(46, 0.11046937153549599)	(48, 0.1143313000730436)	(50, 0.11809671438103617)	(52, 0.12180639511984906)	(54, 0.12541412420772352)	(56, 0.12888727711635928)	(58, 0.13229518096839443)	(60, 0.1358648481065852)	(62, 0.13951743592087257)	(64, 0.14314283662824304)	(66, 0.1468633922098227)	(68, 0.15059210392347744)	(70, 0.15429362853021525)	(72, 0.15819361901744655)	(74, 0.162259450856871)	(76, 0.16621109684724442)	(78, 0.170179055101768)	(80, 0.17430469857640968)	(82, 0.17833382782149632)	(84, 0.18258181327726408)	(86, 0.186784940006619)	(88, 0.19108050289949136)	(90, 0.19437150219178378)
ERR579133_1 - illumina_universal_adapter	(1, 2.0108118223759654e-05)	(2, 3.127929501473724e-05)	(3, 5.3621648596692414e-05)	(4, 0.00014745953364090413)	(5, 0.0001675676518646638)	(6, 0.00021672082974496517)	(7, 0.0002345947126105293)	(8, 0.00028821636120722173)	(9, 0.000328432597654741)	(10, 0.0004926488964821116)	(12, 0.0007350634328463252)	(14, 0.0010601446774637729)	(16, 0.0013729376276111452)	(18, 0.0017270639318851346)	(20, 0.0020644334709726576)	(22, 0.0023492984791425864)	(24, 0.0026754968414391318)	(26, 0.0028765780236767284)	(28, 0.00305531685233237)	(30, 0.003313371036203952)	(32, 0.003807137050365161)	(34, 0.004534380659457802)	(36, 0.005509624393310145)	(38, 0.007069120673330616)	(40, 0.009911068048955314)	(42, 0.01462753889010605)	(44, 0.021673200092175614)	(46, 0.030897240768485806)	(48, 0.0437574994902592)	(50, 0.06271945497526456)	(52, 0.08982184698785528)	(54, 0.1236012513684133)	(56, 0.163878929288283)	(58, 0.21219985449765652)	(60, 0.2724549478728314)	(62, 0.34471570494526993)	(64, 0.4300579100399432)	(66, 0.5246453810468295)	(68, 0.6270146938063108)	(70, 0.7390861736087562)	(72, 0.8640402544865569)	(74, 1.0032498740673241)	(76, 1.152559354584814)	(78, 1.3044147462929678)	(80, 1.4653902867332758)	(82, 1.6350469486578523)	(84, 1.8170488780541383)	(86, 2.0101683625928053)	(88, 2.206281722511454)	(90, 2.3522364986386135)
