Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
ERR579132_1	(2.0, 20.0)	(3.0, 24.0)	(4.0, 71.0)	(5.0, 222.0)	(6.0, 418.0)	(7.0, 1138.0)	(8.0, 3225.0)	(9.0, 7446.0)	(10.0, 13025.0)	(11.0, 16679.0)	(12.0, 19273.0)	(13.0, 21449.0)	(14.0, 23763.0)	(15.0, 26506.0)	(16.0, 30364.0)	(17.0, 35298.0)	(18.0, 37822.0)	(19.0, 40750.0)	(20.0, 45541.0)	(21.0, 50706.0)	(22.0, 58858.0)	(23.0, 70044.0)	(24.0, 86423.0)	(25.0, 110009.0)	(26.0, 141512.0)	(27.0, 184132.0)	(28.0, 241767.0)	(29.0, 320437.0)	(30.0, 430502.0)	(31.0, 584871.0)	(32.0, 817308.0)	(33.0, 1166319.0)	(34.0, 1730253.0)	(35.0, 2770851.0)	(36.0, 5290636.0)	(37.0, 11902274.0)	(38.0, 10486203.0)	(39.0, 16002.0)	
ERR579132_2	(2.0, 493930.0)	(3.0, 63868.0)	(4.0, 45683.0)	(5.0, 40698.0)	(6.0, 39593.0)	(7.0, 40180.0)	(8.0, 40856.0)	(9.0, 43801.0)	(10.0, 47521.0)	(11.0, 49382.0)	(12.0, 49345.0)	(13.0, 50832.0)	(14.0, 53629.0)	(15.0, 55823.0)	(16.0, 57998.0)	(17.0, 60278.0)	(18.0, 62889.0)	(19.0, 65785.0)	(20.0, 70514.0)	(21.0, 77803.0)	(22.0, 89348.0)	(23.0, 106211.0)	(24.0, 127902.0)	(25.0, 155588.0)	(26.0, 191410.0)	(27.0, 235616.0)	(28.0, 289616.0)	(29.0, 365001.0)	(30.0, 470532.0)	(31.0, 623894.0)	(32.0, 854767.0)	(33.0, 1207761.0)	(34.0, 1757675.0)	(35.0, 2719834.0)	(36.0, 5087814.0)	(37.0, 11566792.0)	(38.0, 9399012.0)	(39.0, 22960.0)	
ERR579133_1	(2.0, 72.0)	(3.0, 136.0)	(4.0, 219.0)	(5.0, 609.0)	(6.0, 1376.0)	(7.0, 3635.0)	(8.0, 8867.0)	(9.0, 17440.0)	(10.0, 26694.0)	(11.0, 33056.0)	(12.0, 38367.0)	(13.0, 44650.0)	(14.0, 50034.0)	(15.0, 56909.0)	(16.0, 63877.0)	(17.0, 72779.0)	(18.0, 81498.0)	(19.0, 90099.0)	(20.0, 100397.0)	(21.0, 112948.0)	(22.0, 133569.0)	(23.0, 163653.0)	(24.0, 206602.0)	(25.0, 266071.0)	(26.0, 344033.0)	(27.0, 445804.0)	(28.0, 579183.0)	(29.0, 752848.0)	(30.0, 978640.0)	(31.0, 1286154.0)	(32.0, 1706726.0)	(33.0, 2293318.0)	(34.0, 3139934.0)	(35.0, 4530425.0)	(36.0, 7446908.0)	(37.0, 12485396.0)	(38.0, 7188211.0)	(39.0, 6905.0)	
ERR579133_2	(2.0, 891271.0)	(3.0, 124023.0)	(4.0, 95686.0)	(5.0, 83693.0)	(6.0, 80808.0)	(7.0, 84460.0)	(8.0, 90024.0)	(9.0, 97591.0)	(10.0, 105626.0)	(11.0, 109736.0)	(12.0, 110788.0)	(13.0, 113301.0)	(14.0, 118523.0)	(15.0, 123373.0)	(16.0, 127129.0)	(17.0, 130285.0)	(18.0, 132793.0)	(19.0, 135708.0)	(20.0, 142907.0)	(21.0, 156387.0)	(22.0, 178838.0)	(23.0, 216298.0)	(24.0, 265207.0)	(25.0, 328952.0)	(26.0, 409086.0)	(27.0, 505621.0)	(28.0, 624321.0)	(29.0, 767931.0)	(30.0, 945907.0)	(31.0, 1190075.0)	(32.0, 1567989.0)	(33.0, 2113332.0)	(34.0, 2866844.0)	(35.0, 4028430.0)	(36.0, 6625129.0)	(37.0, 11993867.0)	(38.0, 7063720.0)	(39.0, 12383.0)	
ERR579134_1	(2.0, 24.0)	(3.0, 36.0)	(4.0, 56.0)	(5.0, 175.0)	(6.0, 387.0)	(7.0, 969.0)	(8.0, 2715.0)	(9.0, 5913.0)	(10.0, 10676.0)	(11.0, 13740.0)	(12.0, 15780.0)	(13.0, 17569.0)	(14.0, 19375.0)	(15.0, 21182.0)	(16.0, 23825.0)	(17.0, 27240.0)	(18.0, 30846.0)	(19.0, 33545.0)	(20.0, 38258.0)	(21.0, 41464.0)	(22.0, 47591.0)	(23.0, 56071.0)	(24.0, 68504.0)	(25.0, 87095.0)	(26.0, 111971.0)	(27.0, 142993.0)	(28.0, 186183.0)	(29.0, 244816.0)	(30.0, 325059.0)	(31.0, 438370.0)	(32.0, 605188.0)	(33.0, 858060.0)	(34.0, 1278713.0)	(35.0, 2120447.0)	(36.0, 4448771.0)	(37.0, 11139935.0)	(38.0, 10099323.0)	(39.0, 15471.0)	
ERR579134_2	(2.0, 403827.0)	(3.0, 55485.0)	(4.0, 39819.0)	(5.0, 36551.0)	(6.0, 34867.0)	(7.0, 35341.0)	(8.0, 34162.0)	(9.0, 36347.0)	(10.0, 39266.0)	(11.0, 40417.0)	(12.0, 40472.0)	(13.0, 41299.0)	(14.0, 42837.0)	(15.0, 43995.0)	(16.0, 45531.0)	(17.0, 47058.0)	(18.0, 48516.0)	(19.0, 50314.0)	(20.0, 53860.0)	(21.0, 59506.0)	(22.0, 67952.0)	(23.0, 80564.0)	(24.0, 96905.0)	(25.0, 118695.0)	(26.0, 143464.0)	(27.0, 175453.0)	(28.0, 215930.0)	(29.0, 270325.0)	(30.0, 347682.0)	(31.0, 457221.0)	(32.0, 626342.0)	(33.0, 885280.0)	(34.0, 1293040.0)	(35.0, 2051069.0)	(36.0, 4184998.0)	(37.0, 10974969.0)	(38.0, 9338285.0)	(39.0, 20692.0)	
ERR579135_1	(2.0, 41.0)	(3.0, 33.0)	(4.0, 86.0)	(5.0, 203.0)	(6.0, 441.0)	(7.0, 996.0)	(8.0, 2537.0)	(9.0, 5930.0)	(10.0, 10669.0)	(11.0, 13877.0)	(12.0, 16193.0)	(13.0, 18156.0)	(14.0, 19649.0)	(15.0, 22138.0)	(16.0, 24835.0)	(17.0, 28060.0)	(18.0, 31141.0)	(19.0, 34014.0)	(20.0, 37622.0)	(21.0, 41696.0)	(22.0, 48153.0)	(23.0, 57439.0)	(24.0, 70054.0)	(25.0, 88935.0)	(26.0, 113750.0)	(27.0, 146939.0)	(28.0, 187459.0)	(29.0, 247342.0)	(30.0, 330315.0)	(31.0, 450703.0)	(32.0, 632586.0)	(33.0, 916145.0)	(34.0, 1392653.0)	(35.0, 2349833.0)	(36.0, 4902734.0)	(37.0, 12097155.0)	(38.0, 10760186.0)	(39.0, 16746.0)	
ERR579135_2	(2.0, 666032.0)	(3.0, 73371.0)	(4.0, 47102.0)	(5.0, 41367.0)	(6.0, 39155.0)	(7.0, 38187.0)	(8.0, 36731.0)	(9.0, 38128.0)	(10.0, 41069.0)	(11.0, 42419.0)	(12.0, 42122.0)	(13.0, 42898.0)	(14.0, 44574.0)	(15.0, 46332.0)	(16.0, 48082.0)	(17.0, 49804.0)	(18.0, 51622.0)	(19.0, 53594.0)	(20.0, 57414.0)	(21.0, 63404.0)	(22.0, 73134.0)	(23.0, 85981.0)	(24.0, 104026.0)	(25.0, 125893.0)	(26.0, 153047.0)	(27.0, 188095.0)	(28.0, 233535.0)	(29.0, 295077.0)	(30.0, 379180.0)	(31.0, 504488.0)	(32.0, 694969.0)	(33.0, 993861.0)	(34.0, 1467007.0)	(35.0, 2338130.0)	(36.0, 4747612.0)	(37.0, 12000848.0)	(38.0, 9151010.0)	(39.0, 18144.0)	
ERR579136_1	(2.0, 38.0)	(3.0, 37.0)	(4.0, 73.0)	(5.0, 227.0)	(6.0, 468.0)	(7.0, 1079.0)	(8.0, 3024.0)	(9.0, 6846.0)	(10.0, 12341.0)	(11.0, 15823.0)	(12.0, 18488.0)	(13.0, 20739.0)	(14.0, 22872.0)	(15.0, 25071.0)	(16.0, 27914.0)	(17.0, 32208.0)	(18.0, 35486.0)	(19.0, 38552.0)	(20.0, 42624.0)	(21.0, 47891.0)	(22.0, 55044.0)	(23.0, 65436.0)	(24.0, 80677.0)	(25.0, 102769.0)	(26.0, 130552.0)	(27.0, 169834.0)	(28.0, 223631.0)	(29.0, 298565.0)	(30.0, 403584.0)	(31.0, 555253.0)	(32.0, 786793.0)	(33.0, 1143084.0)	(34.0, 1721010.0)	(35.0, 2801590.0)	(36.0, 5443235.0)	(37.0, 12077471.0)	(38.0, 10465823.0)	(39.0, 16664.0)	
ERR579136_2	(2.0, 497111.0)	(3.0, 61872.0)	(4.0, 43564.0)	(5.0, 39631.0)	(6.0, 38328.0)	(7.0, 38322.0)	(8.0, 38357.0)	(9.0, 40617.0)	(10.0, 44560.0)	(11.0, 46149.0)	(12.0, 46010.0)	(13.0, 47949.0)	(14.0, 49296.0)	(15.0, 51925.0)	(16.0, 53853.0)	(17.0, 56097.0)	(18.0, 58092.0)	(19.0, 60523.0)	(20.0, 64969.0)	(21.0, 72610.0)	(22.0, 83335.0)	(23.0, 99296.0)	(24.0, 119680.0)	(25.0, 145605.0)	(26.0, 179260.0)	(27.0, 221789.0)	(28.0, 275823.0)	(29.0, 350530.0)	(30.0, 452413.0)	(31.0, 603566.0)	(32.0, 834026.0)	(33.0, 1189862.0)	(34.0, 1740571.0)	(35.0, 2715029.0)	(36.0, 5169844.0)	(37.0, 11830641.0)	(38.0, 9411916.0)	(39.0, 19795.0)	
ERR579138_1	(2.0, 23.0)	(3.0, 31.0)	(4.0, 61.0)	(5.0, 213.0)	(6.0, 460.0)	(7.0, 1281.0)	(8.0, 3425.0)	(9.0, 7840.0)	(10.0, 13767.0)	(11.0, 17874.0)	(12.0, 20767.0)	(13.0, 23154.0)	(14.0, 25186.0)	(15.0, 28702.0)	(16.0, 32446.0)	(17.0, 36629.0)	(18.0, 40511.0)	(19.0, 45150.0)	(20.0, 50187.0)	(21.0, 55960.0)	(22.0, 65260.0)	(23.0, 78170.0)	(24.0, 97624.0)	(25.0, 124591.0)	(26.0, 159471.0)	(27.0, 208239.0)	(28.0, 270534.0)	(29.0, 358573.0)	(30.0, 479215.0)	(31.0, 648389.0)	(32.0, 895932.0)	(33.0, 1271651.0)	(34.0, 1871528.0)	(35.0, 2968204.0)	(36.0, 5626193.0)	(37.0, 13093115.0)	(38.0, 12759698.0)	(39.0, 22020.0)	
ERR579138_2	(2.0, 644939.0)	(3.0, 76790.0)	(4.0, 52831.0)	(5.0, 46523.0)	(6.0, 44571.0)	(7.0, 44299.0)	(8.0, 44297.0)	(9.0, 46767.0)	(10.0, 51424.0)	(11.0, 52043.0)	(12.0, 52631.0)	(13.0, 54245.0)	(14.0, 57517.0)	(15.0, 60783.0)	(16.0, 64630.0)	(17.0, 67564.0)	(18.0, 69804.0)	(19.0, 72813.0)	(20.0, 78338.0)	(21.0, 86960.0)	(22.0, 98112.0)	(23.0, 117052.0)	(24.0, 140443.0)	(25.0, 169978.0)	(26.0, 206789.0)	(27.0, 254741.0)	(28.0, 314794.0)	(29.0, 393433.0)	(30.0, 504631.0)	(31.0, 666230.0)	(32.0, 906899.0)	(33.0, 1279001.0)	(34.0, 1852617.0)	(35.0, 2840970.0)	(36.0, 5286484.0)	(37.0, 12751862.0)	(38.0, 11816954.0)	(39.0, 31315.0)	
ERR579139_1	(2.0, 39.0)	(3.0, 37.0)	(4.0, 66.0)	(5.0, 237.0)	(6.0, 471.0)	(7.0, 1180.0)	(8.0, 3141.0)	(9.0, 7120.0)	(10.0, 12825.0)	(11.0, 16021.0)	(12.0, 19137.0)	(13.0, 21382.0)	(14.0, 23457.0)	(15.0, 25668.0)	(16.0, 29702.0)	(17.0, 34756.0)	(18.0, 37164.0)	(19.0, 40908.0)	(20.0, 44875.0)	(21.0, 50220.0)	(22.0, 58043.0)	(23.0, 69513.0)	(24.0, 85356.0)	(25.0, 108671.0)	(26.0, 140287.0)	(27.0, 184241.0)	(28.0, 241067.0)	(29.0, 322131.0)	(30.0, 433810.0)	(31.0, 595328.0)	(32.0, 832568.0)	(33.0, 1197595.0)	(34.0, 1788590.0)	(35.0, 2890538.0)	(36.0, 5596705.0)	(37.0, 12206972.0)	(38.0, 9549107.0)	(39.0, 14073.0)	
ERR579139_2	(2.0, 522821.0)	(3.0, 63527.0)	(4.0, 44843.0)	(5.0, 39415.0)	(6.0, 37907.0)	(7.0, 38572.0)	(8.0, 38936.0)	(9.0, 41090.0)	(10.0, 44976.0)	(11.0, 46624.0)	(12.0, 47008.0)	(13.0, 48014.0)	(14.0, 50760.0)	(15.0, 53286.0)	(16.0, 56274.0)	(17.0, 57970.0)	(18.0, 60295.0)	(19.0, 62634.0)	(20.0, 67524.0)	(21.0, 74853.0)	(22.0, 85449.0)	(23.0, 101758.0)	(24.0, 122977.0)	(25.0, 150931.0)	(26.0, 185930.0)	(27.0, 229263.0)	(28.0, 284758.0)	(29.0, 361417.0)	(30.0, 468746.0)	(31.0, 624004.0)	(32.0, 859475.0)	(33.0, 1222296.0)	(34.0, 1778705.0)	(35.0, 2754451.0)	(36.0, 5220585.0)	(37.0, 11998848.0)	(38.0, 8719129.0)	(39.0, 16950.0)	
ERR579140_1	(2.0, 36.0)	(3.0, 46.0)	(4.0, 81.0)	(5.0, 237.0)	(6.0, 481.0)	(7.0, 1275.0)	(8.0, 3600.0)	(9.0, 8257.0)	(10.0, 14112.0)	(11.0, 17472.0)	(12.0, 21048.0)	(13.0, 23898.0)	(14.0, 26853.0)	(15.0, 30132.0)	(16.0, 34191.0)	(17.0, 38575.0)	(18.0, 42624.0)	(19.0, 47398.0)	(20.0, 52833.0)	(21.0, 58443.0)	(22.0, 66890.0)	(23.0, 79282.0)	(24.0, 99431.0)	(25.0, 126808.0)	(26.0, 165688.0)	(27.0, 216496.0)	(28.0, 282548.0)	(29.0, 374590.0)	(30.0, 503221.0)	(31.0, 681909.0)	(32.0, 947564.0)	(33.0, 1350038.0)	(34.0, 1988588.0)	(35.0, 3195920.0)	(36.0, 6313629.0)	(37.0, 15262167.0)	(38.0, 12992770.0)	(39.0, 16986.0)	
ERR579140_2	(2.0, 814210.0)	(3.0, 94482.0)	(4.0, 61383.0)	(5.0, 53413.0)	(6.0, 50571.0)	(7.0, 50758.0)	(8.0, 50948.0)	(9.0, 52451.0)	(10.0, 57472.0)	(11.0, 59003.0)	(12.0, 60024.0)	(13.0, 60403.0)	(14.0, 63149.0)	(15.0, 65697.0)	(16.0, 68394.0)	(17.0, 71153.0)	(18.0, 73039.0)	(19.0, 76159.0)	(20.0, 83583.0)	(21.0, 91870.0)	(22.0, 105439.0)	(23.0, 125385.0)	(24.0, 150384.0)	(25.0, 183205.0)	(26.0, 222331.0)	(27.0, 272851.0)	(28.0, 336176.0)	(29.0, 422195.0)	(30.0, 541821.0)	(31.0, 711918.0)	(32.0, 964491.0)	(33.0, 1351273.0)	(34.0, 1949837.0)	(35.0, 3001946.0)	(36.0, 5714258.0)	(37.0, 14249297.0)	(38.0, 12695452.0)	(39.0, 29696.0)	
ERR579141_1	(4.0, 13326.0)	(5.0, 1098.0)	(6.0, 1773.0)	(7.0, 2550.0)	(8.0, 4459.0)	(9.0, 7842.0)	(10.0, 13011.0)	(11.0, 18754.0)	(12.0, 25193.0)	(13.0, 30590.0)	(14.0, 34232.0)	(15.0, 39886.0)	(16.0, 46178.0)	(17.0, 52893.0)	(18.0, 60467.0)	(19.0, 69188.0)	(20.0, 77462.0)	(21.0, 87727.0)	(22.0, 99545.0)	(23.0, 116085.0)	(24.0, 140180.0)	(25.0, 171498.0)	(26.0, 212264.0)	(27.0, 266040.0)	(28.0, 324587.0)	(29.0, 371451.0)	(30.0, 452469.0)	(31.0, 560782.0)	(32.0, 703503.0)	(33.0, 909187.0)	(34.0, 1235167.0)	(35.0, 1785757.0)	(36.0, 2688395.0)	(37.0, 3544426.0)	(38.0, 2197976.0)	(39.0, 163984.0)	(40.0, 9.0)		
ERR579141_2	(4.0, 158285.0)	(5.0, 34210.0)	(6.0, 20661.0)	(7.0, 21991.0)	(8.0, 31607.0)	(9.0, 32223.0)	(10.0, 34737.0)	(11.0, 39233.0)	(12.0, 42987.0)	(13.0, 45517.0)	(14.0, 49584.0)	(15.0, 53293.0)	(16.0, 57693.0)	(17.0, 62277.0)	(18.0, 68035.0)	(19.0, 75435.0)	(20.0, 85017.0)	(21.0, 97310.0)	(22.0, 112372.0)	(23.0, 130815.0)	(24.0, 155124.0)	(25.0, 192383.0)	(26.0, 214606.0)	(27.0, 245605.0)	(28.0, 293999.0)	(29.0, 354772.0)	(30.0, 433333.0)	(31.0, 535730.0)	(32.0, 675614.0)	(33.0, 877340.0)	(34.0, 1200247.0)	(35.0, 1732475.0)	(36.0, 2583621.0)	(37.0, 3376302.0)	(38.0, 2187846.0)	(39.0, 217636.0)	(40.0, 19.0)		
ERR579142_1	(2.0, 6880.0)	(3.0, 961.0)	(4.0, 1948.0)	(5.0, 2402.0)	(6.0, 3183.0)	(7.0, 4715.0)	(8.0, 7937.0)	(9.0, 12638.0)	(10.0, 19202.0)	(11.0, 28527.0)	(12.0, 37225.0)	(13.0, 51425.0)	(14.0, 74859.0)	(15.0, 87079.0)	(16.0, 104448.0)	(17.0, 117381.0)	(18.0, 160039.0)	(19.0, 231786.0)	(20.0, 320976.0)	(21.0, 434206.0)	(22.0, 561488.0)	(23.0, 724888.0)	(24.0, 958698.0)	(25.0, 1307815.0)	(26.0, 1903805.0)	(27.0, 3086987.0)	(28.0, 2031952.0)	(29.0, 469389.0)	(30.0, 403733.0)	(31.0, 489357.0)	(32.0, 629359.0)	(33.0, 841557.0)	(34.0, 1183706.0)	(35.0, 1754189.0)	(36.0, 2871077.0)	(37.0, 4153137.0)	(38.0, 2959826.0)	(39.0, 306502.0)	(40.0, 39.0)
ERR579142_2	(2.0, 4881085.0)	(3.0, 1038288.0)	(4.0, 234477.0)	(5.0, 102634.0)	(6.0, 243466.0)	(7.0, 262135.0)	(8.0, 105612.0)	(9.0, 70568.0)	(10.0, 69207.0)	(11.0, 63919.0)	(12.0, 65321.0)	(13.0, 144638.0)	(14.0, 249910.0)	(15.0, 280983.0)	(16.0, 285688.0)	(17.0, 294110.0)	(18.0, 313174.0)	(19.0, 343370.0)	(20.0, 379080.0)	(21.0, 429368.0)	(22.0, 497389.0)	(23.0, 619481.0)	(24.0, 941991.0)	(25.0, 1165283.0)	(26.0, 199184.0)	(27.0, 194930.0)	(28.0, 229017.0)	(29.0, 275831.0)	(30.0, 335770.0)	(31.0, 418488.0)	(32.0, 536407.0)	(33.0, 710019.0)	(34.0, 1007574.0)	(35.0, 1539381.0)	(36.0, 2584347.0)	(37.0, 3954510.0)	(38.0, 2948867.0)	(39.0, 329748.0)	(40.0, 71.0)
ERR579143_1	(4.0, 2658.0)	(5.0, 408.0)	(6.0, 661.0)	(7.0, 1163.0)	(8.0, 2320.0)	(9.0, 5324.0)	(10.0, 10158.0)	(11.0, 16837.0)	(12.0, 26436.0)	(13.0, 36973.0)	(14.0, 51142.0)	(15.0, 71756.0)	(16.0, 95555.0)	(17.0, 130124.0)	(18.0, 148399.0)	(19.0, 190804.0)	(20.0, 247453.0)	(21.0, 315418.0)	(22.0, 382160.0)	(23.0, 454170.0)	(24.0, 539535.0)	(25.0, 646758.0)	(26.0, 746181.0)	(27.0, 858793.0)	(28.0, 638111.0)	(29.0, 289487.0)	(30.0, 327938.0)	(31.0, 400962.0)	(32.0, 493503.0)	(33.0, 609411.0)	(34.0, 770081.0)	(35.0, 1007584.0)	(36.0, 1329024.0)	(37.0, 1462107.0)	(38.0, 745761.0)	(39.0, 50379.0)	(40.0, 1.0)		
ERR579143_2	(4.0, 2597247.0)	(5.0, 402295.0)	(6.0, 111668.0)	(7.0, 94012.0)	(8.0, 170521.0)	(9.0, 101992.0)	(10.0, 64717.0)	(11.0, 64331.0)	(12.0, 65491.0)	(13.0, 69068.0)	(14.0, 90181.0)	(15.0, 111109.0)	(16.0, 116118.0)	(17.0, 118365.0)	(18.0, 127373.0)	(19.0, 144011.0)	(20.0, 165502.0)	(21.0, 191486.0)	(22.0, 221900.0)	(23.0, 256915.0)	(24.0, 305278.0)	(25.0, 351447.0)	(26.0, 208311.0)	(27.0, 197165.0)	(28.0, 225554.0)	(29.0, 262557.0)	(30.0, 308787.0)	(31.0, 366065.0)	(32.0, 438656.0)	(33.0, 538476.0)	(34.0, 677586.0)	(35.0, 865449.0)	(36.0, 1105859.0)	(37.0, 1219388.0)	(38.0, 689447.0)	(39.0, 61199.0)	(40.0, 9.0)		
ERR579144_1	(2.0, 19.0)	(3.0, 32.0)	(4.0, 54.0)	(5.0, 205.0)	(6.0, 468.0)	(7.0, 1174.0)	(8.0, 2856.0)	(9.0, 6263.0)	(10.0, 10641.0)	(11.0, 13649.0)	(12.0, 16246.0)	(13.0, 18141.0)	(14.0, 20237.0)	(15.0, 23217.0)	(16.0, 25853.0)	(17.0, 29764.0)	(18.0, 33895.0)	(19.0, 37972.0)	(20.0, 42397.0)	(21.0, 47775.0)	(22.0, 56459.0)	(23.0, 69025.0)	(24.0, 85857.0)	(25.0, 109539.0)	(26.0, 142925.0)	(27.0, 187998.0)	(28.0, 247490.0)	(29.0, 328927.0)	(30.0, 440507.0)	(31.0, 595983.0)	(32.0, 823663.0)	(33.0, 1166356.0)	(34.0, 1717815.0)	(35.0, 2715744.0)	(36.0, 5110798.0)	(37.0, 11324461.0)	(38.0, 9742599.0)	(39.0, 12135.0)	
ERR579144_2	(2.0, 709192.0)	(3.0, 80404.0)	(4.0, 51143.0)	(5.0, 43970.0)	(6.0, 41021.0)	(7.0, 40527.0)	(8.0, 41109.0)	(9.0, 43201.0)	(10.0, 46275.0)	(11.0, 47768.0)	(12.0, 47191.0)	(13.0, 48423.0)	(14.0, 50625.0)	(15.0, 52812.0)	(16.0, 55353.0)	(17.0, 57883.0)	(18.0, 59042.0)	(19.0, 61131.0)	(20.0, 65066.0)	(21.0, 72562.0)	(22.0, 83946.0)	(23.0, 99626.0)	(24.0, 120602.0)	(25.0, 146787.0)	(26.0, 181640.0)	(27.0, 222617.0)	(28.0, 276180.0)	(29.0, 345865.0)	(30.0, 444925.0)	(31.0, 590593.0)	(32.0, 809328.0)	(33.0, 1140746.0)	(34.0, 1642094.0)	(35.0, 2495323.0)	(36.0, 4611326.0)	(37.0, 11146410.0)	(38.0, 9120786.0)	(39.0, 15647.0)	
ERR579145_1	(2.0, 20.0)	(3.0, 45.0)	(4.0, 64.0)	(5.0, 153.0)	(6.0, 323.0)	(7.0, 808.0)	(8.0, 2071.0)	(9.0, 4881.0)	(10.0, 8702.0)	(11.0, 11267.0)	(12.0, 12998.0)	(13.0, 14447.0)	(14.0, 15860.0)	(15.0, 17764.0)	(16.0, 19664.0)	(17.0, 23119.0)	(18.0, 25376.0)	(19.0, 27942.0)	(20.0, 31685.0)	(21.0, 34734.0)	(22.0, 39274.0)	(23.0, 46111.0)	(24.0, 56059.0)	(25.0, 70946.0)	(26.0, 90353.0)	(27.0, 116592.0)	(28.0, 150675.0)	(29.0, 196740.0)	(30.0, 260101.0)	(31.0, 352295.0)	(32.0, 490037.0)	(33.0, 706841.0)	(34.0, 1065899.0)	(35.0, 1820334.0)	(36.0, 3891903.0)	(37.0, 9273996.0)	(38.0, 7450285.0)	(39.0, 11758.0)	
ERR579145_2	(2.0, 387440.0)	(3.0, 48239.0)	(4.0, 33089.0)	(5.0, 29877.0)	(6.0, 28724.0)	(7.0, 28816.0)	(8.0, 28263.0)	(9.0, 30105.0)	(10.0, 32244.0)	(11.0, 33445.0)	(12.0, 33615.0)	(13.0, 34249.0)	(14.0, 35383.0)	(15.0, 36410.0)	(16.0, 38068.0)	(17.0, 39045.0)	(18.0, 40576.0)	(19.0, 41839.0)	(20.0, 44801.0)	(21.0, 49626.0)	(22.0, 56921.0)	(23.0, 67710.0)	(24.0, 81553.0)	(25.0, 98758.0)	(26.0, 120635.0)	(27.0, 148627.0)	(28.0, 183910.0)	(29.0, 230526.0)	(30.0, 298260.0)	(31.0, 394617.0)	(32.0, 543092.0)	(33.0, 769057.0)	(34.0, 1125728.0)	(35.0, 1799740.0)	(36.0, 3673468.0)	(37.0, 9053831.0)	(38.0, 6608247.0)	(39.0, 13588.0)	
ERR579146_1	(2.0, 65.0)	(3.0, 98.0)	(4.0, 220.0)	(5.0, 603.0)	(6.0, 1416.0)	(7.0, 3842.0)	(8.0, 9814.0)	(9.0, 19081.0)	(10.0, 28495.0)	(11.0, 35726.0)	(12.0, 41798.0)	(13.0, 48445.0)	(14.0, 54553.0)	(15.0, 61343.0)	(16.0, 70183.0)	(17.0, 79959.0)	(18.0, 88501.0)	(19.0, 97620.0)	(20.0, 108475.0)	(21.0, 122506.0)	(22.0, 145111.0)	(23.0, 177861.0)	(24.0, 223044.0)	(25.0, 286651.0)	(26.0, 369725.0)	(27.0, 476820.0)	(28.0, 612421.0)	(29.0, 788325.0)	(30.0, 1018402.0)	(31.0, 1326291.0)	(32.0, 1746308.0)	(33.0, 2329373.0)	(34.0, 3173900.0)	(35.0, 4548687.0)	(36.0, 7425549.0)	(37.0, 12912489.0)	(38.0, 8185589.0)	(39.0, 8084.0)	
ERR579146_2	(2.0, 844812.0)	(3.0, 122899.0)	(4.0, 95580.0)	(5.0, 82703.0)	(6.0, 80313.0)	(7.0, 84735.0)	(8.0, 90169.0)	(9.0, 97543.0)	(10.0, 105084.0)	(11.0, 110183.0)	(12.0, 111723.0)	(13.0, 114963.0)	(14.0, 119940.0)	(15.0, 125253.0)	(16.0, 129764.0)	(17.0, 133860.0)	(18.0, 136580.0)	(19.0, 139609.0)	(20.0, 147998.0)	(21.0, 161820.0)	(22.0, 185143.0)	(23.0, 221707.0)	(24.0, 272801.0)	(25.0, 336198.0)	(26.0, 416031.0)	(27.0, 515027.0)	(28.0, 634691.0)	(29.0, 780629.0)	(30.0, 957704.0)	(31.0, 1202396.0)	(32.0, 1578590.0)	(33.0, 2126386.0)	(34.0, 2890828.0)	(35.0, 4067930.0)	(36.0, 6653085.0)	(37.0, 12436195.0)	(38.0, 8300850.0)	(39.0, 15651.0)	
ERR579147_1	(2.0, 40.0)	(3.0, 43.0)	(4.0, 94.0)	(5.0, 284.0)	(6.0, 592.0)	(7.0, 1627.0)	(8.0, 4382.0)	(9.0, 9603.0)	(10.0, 15887.0)	(11.0, 20291.0)	(12.0, 23765.0)	(13.0, 26646.0)	(14.0, 29697.0)	(15.0, 32993.0)	(16.0, 38109.0)	(17.0, 43332.0)	(18.0, 48108.0)	(19.0, 52716.0)	(20.0, 58499.0)	(21.0, 65145.0)	(22.0, 75805.0)	(23.0, 91058.0)	(24.0, 113240.0)	(25.0, 145225.0)	(26.0, 187373.0)	(27.0, 241623.0)	(28.0, 313163.0)	(29.0, 410344.0)	(30.0, 544722.0)	(31.0, 730739.0)	(32.0, 1002136.0)	(33.0, 1403534.0)	(34.0, 2029514.0)	(35.0, 3163624.0)	(36.0, 5833398.0)	(37.0, 12104147.0)	(38.0, 9555978.0)	(39.0, 15897.0)	
