Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
ERR579127_1	(2.0, 29.0)	(3.0, 58.0)	(4.0, 134.0)	(5.0, 306.0)	(6.0, 692.0)	(7.0, 1889.0)	(8.0, 4981.0)	(9.0, 10583.0)	(10.0, 17170.0)	(11.0, 21881.0)	(12.0, 26032.0)	(13.0, 29169.0)	(14.0, 32598.0)	(15.0, 36442.0)	(16.0, 41638.0)	(17.0, 47392.0)	(18.0, 52466.0)	(19.0, 57416.0)	(20.0, 63870.0)	(21.0, 70760.0)	(22.0, 82792.0)	(23.0, 99826.0)	(24.0, 124357.0)	(25.0, 158245.0)	(26.0, 203736.0)	(27.0, 263211.0)	(28.0, 338410.0)	(29.0, 441338.0)	(30.0, 581171.0)	(31.0, 770378.0)	(32.0, 1045483.0)	(33.0, 1453464.0)	(34.0, 2090074.0)	(35.0, 3254859.0)	(36.0, 6015977.0)	(37.0, 12568175.0)	(38.0, 10186917.0)	(39.0, 19156.0)	
ERR579127_2	(2.0, 662783.0)	(3.0, 85497.0)	(4.0, 59880.0)	(5.0, 53442.0)	(6.0, 50694.0)	(7.0, 52331.0)	(8.0, 52501.0)	(9.0, 55892.0)	(10.0, 60369.0)	(11.0, 62254.0)	(12.0, 62616.0)	(13.0, 64024.0)	(14.0, 67945.0)	(15.0, 71600.0)	(16.0, 75128.0)	(17.0, 77783.0)	(18.0, 80560.0)	(19.0, 84189.0)	(20.0, 89254.0)	(21.0, 98675.0)	(22.0, 112090.0)	(23.0, 133716.0)	(24.0, 159790.0)	(25.0, 193595.0)	(26.0, 235948.0)	(27.0, 287902.0)	(28.0, 356241.0)	(29.0, 443870.0)	(30.0, 563743.0)	(31.0, 736215.0)	(32.0, 992373.0)	(33.0, 1380388.0)	(34.0, 1963289.0)	(35.0, 2946961.0)	(36.0, 5336878.0)	(37.0, 12177251.0)	(38.0, 10200298.0)	(39.0, 25110.0)	
ERR579128_1	(2.0, 29.0)	(3.0, 35.0)	(4.0, 41.0)	(5.0, 118.0)	(6.0, 276.0)	(7.0, 666.0)	(8.0, 1686.0)	(9.0, 3166.0)	(10.0, 5213.0)	(11.0, 6846.0)	(12.0, 8507.0)	(13.0, 10603.0)	(14.0, 12225.0)	(15.0, 14205.0)	(16.0, 16371.0)	(17.0, 18581.0)	(18.0, 21844.0)	(19.0, 25725.0)	(20.0, 29942.0)	(21.0, 36348.0)	(22.0, 44433.0)	(23.0, 56177.0)	(24.0, 73849.0)	(25.0, 100715.0)	(26.0, 153637.0)	(27.0, 282864.0)	(28.0, 231834.0)	(29.0, 159835.0)	(30.0, 202563.0)	(31.0, 260735.0)	(32.0, 340905.0)	(33.0, 456171.0)	(34.0, 615349.0)	(35.0, 916715.0)	(36.0, 2125259.0)	(37.0, 5882698.0)	(38.0, 4601331.0)	(39.0, 14123.0)	
ERR579128_2	(2.0, 735607.0)	(3.0, 68180.0)	(4.0, 29499.0)	(5.0, 26535.0)	(6.0, 26102.0)	(7.0, 27025.0)	(8.0, 26538.0)	(9.0, 27094.0)	(10.0, 28406.0)	(11.0, 28986.0)	(12.0, 29564.0)	(13.0, 30994.0)	(14.0, 32333.0)	(15.0, 33557.0)	(16.0, 33977.0)	(17.0, 34495.0)	(18.0, 35397.0)	(19.0, 36804.0)	(20.0, 39410.0)	(21.0, 42764.0)	(22.0, 48205.0)	(23.0, 57428.0)	(24.0, 68954.0)	(25.0, 85475.0)	(26.0, 93143.0)	(27.0, 111028.0)	(28.0, 132760.0)	(29.0, 163206.0)	(30.0, 203394.0)	(31.0, 258238.0)	(32.0, 339830.0)	(33.0, 457323.0)	(34.0, 621040.0)	(35.0, 911386.0)	(36.0, 1770510.0)	(37.0, 4851322.0)	(38.0, 5168829.0)	(39.0, 16282.0)	
ERR579129_1	(2.0, 22.0)	(3.0, 45.0)	(4.0, 96.0)	(5.0, 286.0)	(6.0, 612.0)	(7.0, 1666.0)	(8.0, 4402.0)	(9.0, 9250.0)	(10.0, 15804.0)	(11.0, 20471.0)	(12.0, 23808.0)	(13.0, 27267.0)	(14.0, 29942.0)	(15.0, 33449.0)	(16.0, 38697.0)	(17.0, 43727.0)	(18.0, 48763.0)	(19.0, 53696.0)	(20.0, 59246.0)	(21.0, 65838.0)	(22.0, 76252.0)	(23.0, 91823.0)	(24.0, 114374.0)	(25.0, 145709.0)	(26.0, 188985.0)	(27.0, 244801.0)	(28.0, 316959.0)	(29.0, 415358.0)	(30.0, 550712.0)	(31.0, 738175.0)	(32.0, 1015690.0)	(33.0, 1429571.0)	(34.0, 2097437.0)	(35.0, 3354697.0)	(36.0, 6411579.0)	(37.0, 13669463.0)	(38.0, 10588703.0)	(39.0, 16117.0)	
ERR579129_2	(2.0, 664635.0)	(3.0, 86454.0)	(4.0, 61982.0)	(5.0, 54836.0)	(6.0, 52259.0)	(7.0, 52976.0)	(8.0, 53883.0)	(9.0, 57144.0)	(10.0, 61672.0)	(11.0, 63190.0)	(12.0, 62486.0)	(13.0, 65215.0)	(14.0, 67951.0)	(15.0, 71102.0)	(16.0, 74567.0)	(17.0, 77572.0)	(18.0, 80694.0)	(19.0, 82968.0)	(20.0, 89072.0)	(21.0, 98359.0)	(22.0, 112608.0)	(23.0, 132112.0)	(24.0, 158614.0)	(25.0, 192637.0)	(26.0, 233995.0)	(27.0, 285937.0)	(28.0, 352814.0)	(29.0, 441236.0)	(30.0, 562437.0)	(31.0, 735823.0)	(32.0, 999210.0)	(33.0, 1397347.0)	(34.0, 2002513.0)	(35.0, 3045316.0)	(36.0, 5655214.0)	(37.0, 13146259.0)	(38.0, 10490462.0)	(39.0, 19941.0)	
ERR579130_1	(4.0, 12317.0)	(5.0, 1301.0)	(6.0, 1717.0)	(7.0, 2631.0)	(8.0, 4698.0)	(9.0, 8484.0)	(10.0, 14362.0)	(11.0, 20267.0)	(12.0, 27240.0)	(13.0, 34755.0)	(14.0, 42898.0)	(15.0, 51146.0)	(16.0, 58696.0)	(17.0, 68396.0)	(18.0, 81078.0)	(19.0, 96210.0)	(20.0, 113728.0)	(21.0, 132976.0)	(22.0, 153289.0)	(23.0, 180612.0)	(24.0, 216825.0)	(25.0, 263424.0)	(26.0, 327535.0)	(27.0, 410226.0)	(28.0, 416517.0)	(29.0, 416497.0)	(30.0, 505040.0)	(31.0, 619635.0)	(32.0, 770767.0)	(33.0, 980284.0)	(34.0, 1301892.0)	(35.0, 1811724.0)	(36.0, 2589578.0)	(37.0, 3238974.0)	(38.0, 1870411.0)	(39.0, 131889.0)	(40.0, 6.0)		
ERR579130_2	(4.0, 355527.0)	(5.0, 72123.0)	(6.0, 32716.0)	(7.0, 32130.0)	(8.0, 54627.0)	(9.0, 48450.0)	(10.0, 45249.0)	(11.0, 49286.0)	(12.0, 52575.0)	(13.0, 55176.0)	(14.0, 62839.0)	(15.0, 73827.0)	(16.0, 80886.0)	(17.0, 87282.0)	(18.0, 94296.0)	(19.0, 104989.0)	(20.0, 116507.0)	(21.0, 132461.0)	(22.0, 151764.0)	(23.0, 177776.0)	(24.0, 216264.0)	(25.0, 279331.0)	(26.0, 267944.0)	(27.0, 280349.0)	(28.0, 331377.0)	(29.0, 400802.0)	(30.0, 485527.0)	(31.0, 595451.0)	(32.0, 740468.0)	(33.0, 947014.0)	(34.0, 1261506.0)	(35.0, 1746908.0)	(36.0, 2470501.0)	(37.0, 3057392.0)	(38.0, 1852993.0)	(39.0, 163692.0)	(40.0, 20.0)		
ERR579131_1	(2.0, 26.0)	(3.0, 36.0)	(4.0, 77.0)	(5.0, 149.0)	(6.0, 334.0)	(7.0, 859.0)	(8.0, 2364.0)	(9.0, 5715.0)	(10.0, 9833.0)	(11.0, 12875.0)	(12.0, 14804.0)	(13.0, 16723.0)	(14.0, 18273.0)	(15.0, 20088.0)	(16.0, 22730.0)	(17.0, 25357.0)	(18.0, 28294.0)	(19.0, 31776.0)	(20.0, 36168.0)	(21.0, 38811.0)	(22.0, 43977.0)	(23.0, 52325.0)	(24.0, 63638.0)	(25.0, 80577.0)	(26.0, 103670.0)	(27.0, 133721.0)	(28.0, 171370.0)	(29.0, 225874.0)	(30.0, 300465.0)	(31.0, 409697.0)	(32.0, 573107.0)	(33.0, 823941.0)	(34.0, 1249287.0)	(35.0, 2114877.0)	(36.0, 4489118.0)	(37.0, 11330230.0)	(38.0, 10548484.0)	(39.0, 18801.0)	
ERR579131_2	(2.0, 464665.0)	(3.0, 58980.0)	(4.0, 41133.0)	(5.0, 37104.0)	(6.0, 35367.0)	(7.0, 35228.0)	(8.0, 34314.0)	(9.0, 35838.0)	(10.0, 38583.0)	(11.0, 39568.0)	(12.0, 39757.0)	(13.0, 41030.0)	(14.0, 42508.0)	(15.0, 44562.0)	(16.0, 46111.0)	(17.0, 48138.0)	(18.0, 49566.0)	(19.0, 51199.0)	(20.0, 54981.0)	(21.0, 60622.0)	(22.0, 68821.0)	(23.0, 81648.0)	(24.0, 97934.0)	(25.0, 118325.0)	(26.0, 144432.0)	(27.0, 176018.0)	(28.0, 215883.0)	(29.0, 270956.0)	(30.0, 347616.0)	(31.0, 460143.0)	(32.0, 631461.0)	(33.0, 898842.0)	(34.0, 1316348.0)	(35.0, 2093162.0)	(36.0, 4236463.0)	(37.0, 10989484.0)	(38.0, 9547878.0)	(39.0, 23783.0)	
