Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR579128_1	(1.0, 45.72661203178032)	(2.0, 13.79577776760437)	(3.0, 5.725871998353761)	(4.0, 3.0996328889069704)	(5.0, 2.1180813691601967)	(6.0, 1.462213848005206)	(7.0, 1.155034557897325)	(8.0, 0.9486578129835457)	(9.0, 0.7219989689918009)	('>10', 8.763400969177177)	('>50', 2.862998005039995)	('>100', 4.141086613182483)	('>500', 0.6242242956720618)	('>1k', 0.764431342424136)	('>5k', 0.39427858893624984)	('>10k+', 7.695698941884478)
ERR579128_2	(1.0, 49.086319334872044)	(2.0, 13.604535967802626)	(3.0, 5.683069005146364)	(4.0, 3.120750106957355)	(5.0, 2.031859957257061)	(6.0, 1.4381941633396222)	(7.0, 1.1408349772108017)	(8.0, 0.9818902633320377)	(9.0, 0.760307542985949)	('>10', 8.910157872844875)	('>50', 2.889178618392889)	('>100', 4.340768172434264)	('>500', 0.6800564579958631)	('>1k', 0.8337534098579682)	('>5k', 0.4640178928790351)	('>10k+', 4.0343062566913135)
ERR579129_1	(1.0, 25.042210681972204)	(2.0, 11.472588747434322)	(3.0, 6.646188837658242)	(4.0, 4.429896232177287)	(5.0, 3.3107418969158355)	(6.0, 2.610495053902799)	(7.0, 2.0662266221536703)	(8.0, 1.688306569242053)	(9.0, 1.5057381788576305)	('>10', 15.869967861875004)	('>50', 4.4454899739399965)	('>100', 8.866820678514209)	('>500', 3.514540273213038)	('>1k', 6.5647531481853285)	('>5k', 1.3348038881270234)	('>10k+', 0.6312313558311409)
ERR579129_2	(1.0, 27.383797226293925)	(2.0, 11.617587547584753)	(3.0, 6.818870190020168)	(4.0, 4.485310287665047)	(5.0, 3.316635759747439)	(6.0, 2.5451223464494888)	(7.0, 2.0258176566702)	(8.0, 1.570522736509203)	(9.0, 1.4602122162457034)	('>10', 14.22137983865848)	('>50', 4.006146602977173)	('>100', 8.19242961722313)	('>500', 3.56750244883789)	('>1k', 7.076181778826311)	('>5k', 1.0356822120543698)	('>10k+', 0.6768015342367545)
ERR579130_1	(1.0, 28.267476754237634)	(2.0, 6.706070755872212)	(3.0, 3.474128497952557)	(4.0, 2.2104198576345)	(5.0, 1.705424430112612)	(6.0, 1.3825774660400783)	(7.0, 1.1626681065463573)	(8.0, 0.9674657220598438)	(9.0, 0.8983657864674741)	('>10', 13.754702107207947)	('>50', 6.718509379139613)	('>100', 16.96947746917461)	('>500', 5.693019741061675)	('>1k', 5.597857407541558)	('>5k', 0.36346944201055326)	('>10k+', 4.128367076940795)
ERR579130_2	(1.0, 33.14905948058268)	(2.0, 6.592620582436208)	(3.0, 3.3629567766955137)	(4.0, 2.3203014187539903)	(5.0, 1.6562891069905445)	(6.0, 1.2832181817683062)	(7.0, 1.1167983803833326)	(8.0, 0.9299094581283449)	(9.0, 0.8828475883490852)	('>10', 13.492188920557737)	('>50', 6.631275898938789)	('>100', 16.15779102430384)	('>500', 5.243138194811867)	('>1k', 5.273237166699913)	('>5k', 0.27091465924442865)	('>10k+', 1.637453161355356)
ERR579131_1	(1.0, 30.079137513827884)	(2.0, 13.630042629232308)	(3.0, 7.521914645237008)	(4.0, 4.947184505713671)	(5.0, 3.6577633682276596)	(6.0, 2.8766278758429857)	(7.0, 2.257768475389635)	(8.0, 1.842554704237564)	(9.0, 1.5318193535294469)	('>10', 15.741340783458977)	('>50', 4.052413631775156)	('>100', 7.082211998219469)	('>500', 2.1439986033803113)	('>1k', 2.06892863404211)	('>5k', 0.2107024534429824)	('>10k+', 0.35559082444281)
ERR579131_2	(1.0, 32.282404095556835)	(2.0, 13.818024216711244)	(3.0, 7.821803850155532)	(4.0, 5.1493482546195475)	(5.0, 3.634024951942015)	(6.0, 2.7032893497011727)	(7.0, 2.016107111784185)	(8.0, 1.751572276351874)	(9.0, 1.4710093607081614)	('>10', 14.137287647256496)	('>50', 3.747811340805728)	('>100', 6.86345671227733)	('>500', 2.043255678028719)	('>1k', 2.033578437991714)	('>5k', 0.17766087530244618)	('>10k+', 0.3493658408069468)
ERR579132_1	(1.0, 30.195600053793335)	(2.0, 12.000110856775766)	(3.0, 6.778959172038607)	(4.0, 4.660106772297219)	(5.0, 3.4102376025785497)	(6.0, 2.6669851832549276)	(7.0, 2.1793938228434997)	(8.0, 1.8003647549807833)	(9.0, 1.5135781493157634)	('>10', 15.394172347451264)	('>50', 4.356087249357937)	('>100', 9.100442554677175)	('>500', 2.909114967656332)	('>1k', 2.756566692427832)	('>5k', 0.27827982055122)	('>10k+', 0.0)
ERR579132_2	(1.0, 32.31956961778262)	(2.0, 12.346925507360144)	(3.0, 6.967579491172257)	(4.0, 4.69916077065224)	(5.0, 3.3661524285765307)	(6.0, 2.5891815277254993)	(7.0, 2.053577315515662)	(8.0, 1.671931123356283)	(9.0, 1.4020210413930214)	('>10', 13.688192618574217)	('>50', 4.001018338697031)	('>100', 8.688620429273874)	('>500', 2.751597458563825)	('>1k', 3.1093113172442464)	('>5k', 0.2756278931353506)	('>10k+', 0.06953312097745384)
