Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR10898056_1	(14.0, 3.0)	(15.0, 14.0)	(16.0, 94.0)	(17.0, 343.0)	(18.0, 1394.0)	(19.0, 4034.0)	(20.0, 9415.0)	(21.0, 18328.0)	(22.0, 31743.0)	(23.0, 51190.0)	(24.0, 78473.0)	(25.0, 114946.0)	(26.0, 160453.0)	(27.0, 215465.0)	(28.0, 280241.0)	(29.0, 351085.0)	(30.0, 430084.0)	(31.0, 516230.0)	(32.0, 615952.0)	(33.0, 729008.0)	(34.0, 862868.0)	(35.0, 1036845.0)	(36.0, 1274507.0)	(37.0, 1642802.0)	(38.0, 2325618.0)	(39.0, 4191816.0)	(40.0, 16654404.0)				
SRR10898056_2	(10.0, 2.0)	(11.0, 10.0)	(12.0, 81.0)	(13.0, 513.0)	(14.0, 2861.0)	(15.0, 12327.0)	(16.0, 40048.0)	(17.0, 86658.0)	(18.0, 137456.0)	(19.0, 182813.0)	(20.0, 224355.0)	(21.0, 262581.0)	(22.0, 302128.0)	(23.0, 343828.0)	(24.0, 386758.0)	(25.0, 432760.0)	(26.0, 482316.0)	(27.0, 538061.0)	(28.0, 600462.0)	(29.0, 670074.0)	(30.0, 748255.0)	(31.0, 842527.0)	(32.0, 957190.0)	(33.0, 1097039.0)	(34.0, 1278854.0)	(35.0, 1522411.0)	(36.0, 1868229.0)	(37.0, 2396636.0)	(38.0, 3310646.0)	(39.0, 5285459.0)	(40.0, 7584017.0)
SRR10898057_1	(13.0, 1.0)	(14.0, 2.0)	(15.0, 6.0)	(16.0, 57.0)	(17.0, 259.0)	(18.0, 1135.0)	(19.0, 3484.0)	(20.0, 8509.0)	(21.0, 16312.0)	(22.0, 28025.0)	(23.0, 45392.0)	(24.0, 69870.0)	(25.0, 104070.0)	(26.0, 146982.0)	(27.0, 198495.0)	(28.0, 259446.0)	(29.0, 328105.0)	(30.0, 403767.0)	(31.0, 486752.0)	(32.0, 580579.0)	(33.0, 689727.0)	(34.0, 820044.0)	(35.0, 985059.0)	(36.0, 1214683.0)	(37.0, 1563999.0)	(38.0, 2208760.0)	(39.0, 3954240.0)	(40.0, 16757912.0)			
SRR10898057_2	(11.0, 5.0)	(12.0, 58.0)	(13.0, 353.0)	(14.0, 2612.0)	(15.0, 14300.0)	(16.0, 49446.0)	(17.0, 108100.0)	(18.0, 167964.0)	(19.0, 220457.0)	(20.0, 263999.0)	(21.0, 304125.0)	(22.0, 345987.0)	(23.0, 386145.0)	(24.0, 430928.0)	(25.0, 475574.0)	(26.0, 524856.0)	(27.0, 578643.0)	(28.0, 638287.0)	(29.0, 704987.0)	(30.0, 780776.0)	(31.0, 871740.0)	(32.0, 977703.0)	(33.0, 1112047.0)	(34.0, 1284598.0)	(35.0, 1515522.0)	(36.0, 1846459.0)	(37.0, 2359211.0)	(38.0, 3264512.0)	(39.0, 5196878.0)	(40.0, 6449400.0)	
SRR10898058_1	(15.0, 5.0)	(16.0, 35.0)	(17.0, 198.0)	(18.0, 825.0)	(19.0, 2772.0)	(20.0, 7155.0)	(21.0, 14496.0)	(22.0, 25296.0)	(23.0, 41944.0)	(24.0, 65361.0)	(25.0, 98146.0)	(26.0, 139966.0)	(27.0, 190153.0)	(28.0, 249835.0)	(29.0, 316320.0)	(30.0, 391505.0)	(31.0, 474689.0)	(32.0, 567364.0)	(33.0, 675663.0)	(34.0, 804183.0)	(35.0, 968419.0)	(36.0, 1193803.0)	(37.0, 1539622.0)	(38.0, 2176241.0)	(39.0, 3904821.0)	(40.0, 16674870.0)					
SRR10898058_2	(11.0, 5.0)	(12.0, 48.0)	(13.0, 361.0)	(14.0, 2121.0)	(15.0, 11653.0)	(16.0, 42792.0)	(17.0, 96221.0)	(18.0, 154053.0)	(19.0, 202382.0)	(20.0, 245712.0)	(21.0, 284206.0)	(22.0, 323687.0)	(23.0, 363569.0)	(24.0, 404507.0)	(25.0, 450529.0)	(26.0, 497803.0)	(27.0, 551670.0)	(28.0, 608983.0)	(29.0, 674711.0)	(30.0, 751267.0)	(31.0, 839938.0)	(32.0, 946935.0)	(33.0, 1081117.0)	(34.0, 1250856.0)	(35.0, 1483117.0)	(36.0, 1807851.0)	(37.0, 2317944.0)	(38.0, 3232523.0)	(39.0, 5219139.0)	(40.0, 6677987.0)	
SRR10898059_1	(15.0, 16.0)	(16.0, 87.0)	(17.0, 339.0)	(18.0, 1255.0)	(19.0, 3632.0)	(20.0, 8569.0)	(21.0, 16441.0)	(22.0, 29089.0)	(23.0, 46722.0)	(24.0, 72079.0)	(25.0, 105975.0)	(26.0, 146824.0)	(27.0, 197003.0)	(28.0, 254217.0)	(29.0, 319657.0)	(30.0, 389582.0)	(31.0, 468321.0)	(32.0, 554724.0)	(33.0, 655102.0)	(34.0, 776166.0)	(35.0, 934105.0)	(36.0, 1151180.0)	(37.0, 1484409.0)	(38.0, 2110259.0)	(39.0, 3824800.0)	(40.0, 14763157.0)					
SRR10898059_2	(11.0, 6.0)	(12.0, 77.0)	(13.0, 578.0)	(14.0, 3523.0)	(15.0, 17392.0)	(16.0, 57056.0)	(17.0, 118896.0)	(18.0, 179408.0)	(19.0, 229441.0)	(20.0, 271688.0)	(21.0, 310929.0)	(22.0, 348269.0)	(23.0, 388264.0)	(24.0, 430934.0)	(25.0, 474634.0)	(26.0, 521183.0)	(27.0, 572262.0)	(28.0, 629869.0)	(29.0, 694720.0)	(30.0, 770664.0)	(31.0, 858612.0)	(32.0, 964981.0)	(33.0, 1098372.0)	(34.0, 1267910.0)	(35.0, 1495631.0)	(36.0, 1812399.0)	(37.0, 2288611.0)	(38.0, 3055450.0)	(39.0, 4506980.0)	(40.0, 4944971.0)	
SRR10898060_1	(15.0, 17.0)	(16.0, 84.0)	(17.0, 283.0)	(18.0, 1143.0)	(19.0, 3565.0)	(20.0, 8697.0)	(21.0, 17132.0)	(22.0, 29312.0)	(23.0, 47503.0)	(24.0, 71777.0)	(25.0, 103859.0)	(26.0, 144944.0)	(27.0, 194010.0)	(28.0, 249744.0)	(29.0, 314806.0)	(30.0, 384852.0)	(31.0, 464240.0)	(32.0, 550479.0)	(33.0, 650266.0)	(34.0, 773524.0)	(35.0, 925705.0)	(36.0, 1135071.0)	(37.0, 1458369.0)	(38.0, 2042672.0)	(39.0, 3652492.0)	(40.0, 14697281.0)					
SRR10898060_2	(10.0, 2.0)	(11.0, 11.0)	(12.0, 54.0)	(13.0, 480.0)	(14.0, 3008.0)	(15.0, 19027.0)	(16.0, 71388.0)	(17.0, 153351.0)	(18.0, 230450.0)	(19.0, 286235.0)	(20.0, 329992.0)	(21.0, 368116.0)	(22.0, 403756.0)	(23.0, 440653.0)	(24.0, 476775.0)	(25.0, 514385.0)	(26.0, 556071.0)	(27.0, 600929.0)	(28.0, 649231.0)	(29.0, 701757.0)	(30.0, 766312.0)	(31.0, 842673.0)	(32.0, 930958.0)	(33.0, 1045603.0)	(34.0, 1190250.0)	(35.0, 1387141.0)	(36.0, 1669340.0)	(37.0, 2109780.0)	(38.0, 2884535.0)	(39.0, 4396836.0)	(40.0, 4892728.0)
SRR10898061_1	(14.0, 1.0)	(15.0, 24.0)	(16.0, 85.0)	(17.0, 336.0)	(18.0, 1099.0)	(19.0, 3377.0)	(20.0, 7886.0)	(21.0, 15149.0)	(22.0, 26080.0)	(23.0, 41521.0)	(24.0, 63224.0)	(25.0, 92240.0)	(26.0, 129152.0)	(27.0, 173182.0)	(28.0, 226574.0)	(29.0, 283787.0)	(30.0, 349021.0)	(31.0, 422703.0)	(32.0, 504500.0)	(33.0, 599517.0)	(34.0, 714529.0)	(35.0, 858169.0)	(36.0, 1058030.0)	(37.0, 1361802.0)	(38.0, 1917556.0)	(39.0, 3437705.0)	(40.0, 14135343.0)				
SRR10898061_2	(10.0, 1.0)	(11.0, 6.0)	(12.0, 69.0)	(13.0, 494.0)	(14.0, 2618.0)	(15.0, 16419.0)	(16.0, 59882.0)	(17.0, 129447.0)	(18.0, 196399.0)	(19.0, 248898.0)	(20.0, 288306.0)	(21.0, 322519.0)	(22.0, 356896.0)	(23.0, 390202.0)	(24.0, 424743.0)	(25.0, 461186.0)	(26.0, 501200.0)	(27.0, 544012.0)	(28.0, 588542.0)	(29.0, 640661.0)	(30.0, 700096.0)	(31.0, 771816.0)	(32.0, 859798.0)	(33.0, 965655.0)	(34.0, 1104787.0)	(35.0, 1289746.0)	(36.0, 1559589.0)	(37.0, 1982332.0)	(38.0, 2728651.0)	(39.0, 4244402.0)	(40.0, 5043220.0)
SRR10898063_1	(13.0, 2.0)	(14.0, 0.0)	(15.0, 10.0)	(16.0, 66.0)	(17.0, 250.0)	(18.0, 1072.0)	(19.0, 3563.0)	(20.0, 8756.0)	(21.0, 16996.0)	(22.0, 29654.0)	(23.0, 48116.0)	(24.0, 74070.0)	(25.0, 110554.0)	(26.0, 154877.0)	(27.0, 209476.0)	(28.0, 272816.0)	(29.0, 345919.0)	(30.0, 424834.0)	(31.0, 512600.0)	(32.0, 609981.0)	(33.0, 721145.0)	(34.0, 855161.0)	(35.0, 1027351.0)	(36.0, 1265135.0)	(37.0, 1625538.0)	(38.0, 2287083.0)	(39.0, 4094032.0)	(40.0, 17183197.0)			
SRR10898063_2	(11.0, 7.0)	(12.0, 54.0)	(13.0, 441.0)	(14.0, 2868.0)	(15.0, 13435.0)	(16.0, 45241.0)	(17.0, 99847.0)	(18.0, 155779.0)	(19.0, 205647.0)	(20.0, 248101.0)	(21.0, 287832.0)	(22.0, 328249.0)	(23.0, 369633.0)	(24.0, 413967.0)	(25.0, 460384.0)	(26.0, 511493.0)	(27.0, 566486.0)	(28.0, 627202.0)	(29.0, 695737.0)	(30.0, 777166.0)	(31.0, 869632.0)	(32.0, 980929.0)	(33.0, 1122125.0)	(34.0, 1301369.0)	(35.0, 1539308.0)	(36.0, 1882020.0)	(37.0, 2409442.0)	(38.0, 3339468.0)	(39.0, 5396598.0)	(40.0, 7231794.0)	
SRR10898064_1	(15.0, 15.0)	(16.0, 94.0)	(17.0, 331.0)	(18.0, 1105.0)	(19.0, 3587.0)	(20.0, 8664.0)	(21.0, 17300.0)	(22.0, 30653.0)	(23.0, 50391.0)	(24.0, 78959.0)	(25.0, 117679.0)	(26.0, 165875.0)	(27.0, 223541.0)	(28.0, 291120.0)	(29.0, 366167.0)	(30.0, 451111.0)	(31.0, 542319.0)	(32.0, 646747.0)	(33.0, 766471.0)	(34.0, 911493.0)	(35.0, 1093881.0)	(36.0, 1347407.0)	(37.0, 1740632.0)	(38.0, 2460495.0)	(39.0, 4454161.0)	(40.0, 17568666.0)					
SRR10898064_2	(10.0, 2.0)	(11.0, 12.0)	(12.0, 90.0)	(13.0, 654.0)	(14.0, 3944.0)	(15.0, 20161.0)	(16.0, 66505.0)	(17.0, 140216.0)	(18.0, 212878.0)	(19.0, 271896.0)	(20.0, 318625.0)	(21.0, 362090.0)	(22.0, 406595.0)	(23.0, 449954.0)	(24.0, 497510.0)	(25.0, 545324.0)	(26.0, 597316.0)	(27.0, 656120.0)	(28.0, 720077.0)	(29.0, 792793.0)	(30.0, 875407.0)	(31.0, 973153.0)	(32.0, 1091541.0)	(33.0, 1240600.0)	(34.0, 1433130.0)	(35.0, 1689071.0)	(36.0, 2051189.0)	(37.0, 2611929.0)	(38.0, 3577117.0)	(39.0, 5491402.0)	(40.0, 6241563.0)
SRR10898065_1	(13.0, 1.0)	(14.0, 1.0)	(15.0, 11.0)	(16.0, 132.0)	(17.0, 425.0)	(18.0, 1390.0)	(19.0, 3857.0)	(20.0, 9087.0)	(21.0, 17367.0)	(22.0, 29713.0)	(23.0, 47445.0)	(24.0, 73092.0)	(25.0, 106436.0)	(26.0, 148271.0)	(27.0, 197888.0)	(28.0, 254466.0)	(29.0, 318401.0)	(30.0, 388321.0)	(31.0, 465412.0)	(32.0, 552410.0)	(33.0, 651883.0)	(34.0, 772192.0)	(35.0, 927599.0)	(36.0, 1139246.0)	(37.0, 1470015.0)	(38.0, 2084653.0)	(39.0, 3763076.0)	(40.0, 14834198.0)			
SRR10898065_2	(11.0, 11.0)	(12.0, 89.0)	(13.0, 651.0)	(14.0, 3602.0)	(15.0, 17318.0)	(16.0, 56041.0)	(17.0, 116079.0)	(18.0, 176816.0)	(19.0, 225269.0)	(20.0, 265610.0)	(21.0, 303594.0)	(22.0, 342622.0)	(23.0, 379323.0)	(24.0, 420687.0)	(25.0, 462817.0)	(26.0, 507126.0)	(27.0, 555462.0)	(28.0, 610783.0)	(29.0, 668848.0)	(30.0, 739984.0)	(31.0, 820338.0)	(32.0, 919277.0)	(33.0, 1040549.0)	(34.0, 1196716.0)	(35.0, 1405124.0)	(36.0, 1696218.0)	(37.0, 2143637.0)	(38.0, 2907733.0)	(39.0, 4477848.0)	(40.0, 5796816.0)	
SRR10898066_1	(13.0, 1.0)	(14.0, 3.0)	(15.0, 21.0)	(16.0, 97.0)	(17.0, 351.0)	(18.0, 1181.0)	(19.0, 3558.0)	(20.0, 8626.0)	(21.0, 16844.0)	(22.0, 29515.0)	(23.0, 47627.0)	(24.0, 72993.0)	(25.0, 108268.0)	(26.0, 152113.0)	(27.0, 203180.0)	(28.0, 264442.0)	(29.0, 332676.0)	(30.0, 406763.0)	(31.0, 489281.0)	(32.0, 581372.0)	(33.0, 686971.0)	(34.0, 814488.0)	(35.0, 976888.0)	(36.0, 1202470.0)	(37.0, 1550250.0)	(38.0, 2187352.0)	(39.0, 3933484.0)	(40.0, 15546870.0)			
SRR10898066_2	(10.0, 2.0)	(11.0, 5.0)	(12.0, 53.0)	(13.0, 444.0)	(14.0, 2756.0)	(15.0, 12666.0)	(16.0, 40458.0)	(17.0, 85736.0)	(18.0, 133375.0)	(19.0, 178207.0)	(20.0, 219112.0)	(21.0, 256703.0)	(22.0, 294751.0)	(23.0, 334841.0)	(24.0, 376864.0)	(25.0, 421737.0)	(26.0, 471703.0)	(27.0, 524059.0)	(28.0, 586252.0)	(29.0, 652980.0)	(30.0, 731954.0)	(31.0, 822966.0)	(32.0, 933567.0)	(33.0, 1073500.0)	(34.0, 1250124.0)	(35.0, 1488995.0)	(36.0, 1824395.0)	(37.0, 2339151.0)	(38.0, 3217147.0)	(39.0, 5039606.0)	(40.0, 6303576.0)
SRR10898067_1	(13.0, 1.0)	(14.0, 2.0)	(15.0, 3.0)	(16.0, 42.0)	(17.0, 159.0)	(18.0, 832.0)	(19.0, 2782.0)	(20.0, 7184.0)	(21.0, 14078.0)	(22.0, 24876.0)	(23.0, 41171.0)	(24.0, 64872.0)	(25.0, 97024.0)	(26.0, 137553.0)	(27.0, 187174.0)	(28.0, 245746.0)	(29.0, 311028.0)	(30.0, 383439.0)	(31.0, 465498.0)	(32.0, 554078.0)	(33.0, 658441.0)	(34.0, 784416.0)	(35.0, 943727.0)	(36.0, 1163821.0)	(37.0, 1502244.0)	(38.0, 2118444.0)	(39.0, 3805360.0)	(40.0, 16240617.0)			
SRR10898067_2	(11.0, 6.0)	(12.0, 44.0)	(13.0, 401.0)	(14.0, 2287.0)	(15.0, 11856.0)	(16.0, 40474.0)	(17.0, 88375.0)	(18.0, 139846.0)	(19.0, 185431.0)	(20.0, 224939.0)	(21.0, 262246.0)	(22.0, 300286.0)	(23.0, 337685.0)	(24.0, 379054.0)	(25.0, 422361.0)	(26.0, 469790.0)	(27.0, 521897.0)	(28.0, 578899.0)	(29.0, 643130.0)	(30.0, 717863.0)	(31.0, 806612.0)	(32.0, 912440.0)	(33.0, 1045255.0)	(34.0, 1213193.0)	(35.0, 1439809.0)	(36.0, 1762166.0)	(37.0, 2268263.0)	(38.0, 3164613.0)	(39.0, 5139284.0)	(40.0, 6676107.0)	
SRR10898068_1	(13.0, 1.0)	(14.0, 1.0)	(15.0, 20.0)	(16.0, 111.0)	(17.0, 355.0)	(18.0, 1247.0)	(19.0, 4041.0)	(20.0, 9536.0)	(21.0, 18575.0)	(22.0, 31691.0)	(23.0, 50867.0)	(24.0, 78883.0)	(25.0, 115095.0)	(26.0, 161015.0)	(27.0, 213937.0)	(28.0, 276194.0)	(29.0, 346242.0)	(30.0, 423815.0)	(31.0, 509581.0)	(32.0, 604286.0)	(33.0, 713339.0)	(34.0, 845409.0)	(35.0, 1012520.0)	(36.0, 1247679.0)	(37.0, 1608703.0)	(38.0, 2275808.0)	(39.0, 4102612.0)	(40.0, 16406399.0)			
SRR10898068_2	(11.0, 5.0)	(12.0, 70.0)	(13.0, 500.0)	(14.0, 3094.0)	(15.0, 13727.0)	(16.0, 43007.0)	(17.0, 91252.0)	(18.0, 143093.0)	(19.0, 189396.0)	(20.0, 230607.0)	(21.0, 269598.0)	(22.0, 310085.0)	(23.0, 353084.0)	(24.0, 396331.0)	(25.0, 442812.0)	(26.0, 494044.0)	(27.0, 551197.0)	(28.0, 613626.0)	(29.0, 683673.0)	(30.0, 766301.0)	(31.0, 862978.0)	(32.0, 978713.0)	(33.0, 1122182.0)	(34.0, 1310080.0)	(35.0, 1556352.0)	(36.0, 1913937.0)	(37.0, 2457028.0)	(38.0, 3387011.0)	(39.0, 5328575.0)	(40.0, 6545604.0)	
