Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR10898046_1	(13.0, 2.0)	(14.0, 1.0)	(15.0, 17.0)	(16.0, 123.0)	(17.0, 432.0)	(18.0, 1671.0)	(19.0, 5026.0)	(20.0, 11766.0)	(21.0, 22944.0)	(22.0, 39344.0)	(23.0, 62858.0)	(24.0, 96691.0)	(25.0, 140257.0)	(26.0, 195431.0)	(27.0, 259306.0)	(28.0, 331559.0)	(29.0, 413059.0)	(30.0, 503291.0)	(31.0, 600086.0)	(32.0, 707128.0)	(33.0, 833475.0)	(34.0, 985526.0)	(35.0, 1177333.0)	(36.0, 1444480.0)	(37.0, 1857967.0)	(38.0, 2620145.0)	(39.0, 4675373.0)	(40.0, 18264636.0)			
SRR10898046_2	(10.0, 1.0)	(11.0, 9.0)	(12.0, 75.0)	(13.0, 624.0)	(14.0, 4139.0)	(15.0, 19852.0)	(16.0, 62098.0)	(17.0, 125832.0)	(18.0, 191811.0)	(19.0, 246746.0)	(20.0, 295536.0)	(21.0, 342629.0)	(22.0, 390910.0)	(23.0, 441058.0)	(24.0, 494170.0)	(25.0, 549697.0)	(26.0, 610256.0)	(27.0, 677187.0)	(28.0, 750589.0)	(29.0, 832599.0)	(30.0, 925451.0)	(31.0, 1034747.0)	(32.0, 1168372.0)	(33.0, 1330315.0)	(34.0, 1536677.0)	(35.0, 1811987.0)	(36.0, 2198232.0)	(37.0, 2781348.0)	(38.0, 3787991.0)	(39.0, 5813727.0)	(40.0, 6825262.0)
SRR10898047_1	(14.0, 2.0)	(15.0, 14.0)	(16.0, 104.0)	(17.0, 402.0)	(18.0, 1668.0)	(19.0, 5210.0)	(20.0, 12190.0)	(21.0, 23142.0)	(22.0, 38776.0)	(23.0, 60659.0)	(24.0, 91872.0)	(25.0, 132748.0)	(26.0, 182329.0)	(27.0, 238881.0)	(28.0, 306707.0)	(29.0, 381237.0)	(30.0, 460732.0)	(31.0, 547911.0)	(32.0, 646726.0)	(33.0, 758442.0)	(34.0, 894502.0)	(35.0, 1067596.0)	(36.0, 1310276.0)	(37.0, 1682598.0)	(38.0, 2369272.0)	(39.0, 4225797.0)	(40.0, 16750110.0)				
SRR10898047_2	(11.0, 17.0)	(12.0, 84.0)	(13.0, 667.0)	(14.0, 3923.0)	(15.0, 19893.0)	(16.0, 65168.0)	(17.0, 132923.0)	(18.0, 199080.0)	(19.0, 256052.0)	(20.0, 303630.0)	(21.0, 348377.0)	(22.0, 395993.0)	(23.0, 440694.0)	(24.0, 488676.0)	(25.0, 540918.0)	(26.0, 595068.0)	(27.0, 653631.0)	(28.0, 716512.0)	(29.0, 786156.0)	(30.0, 864338.0)	(31.0, 957564.0)	(32.0, 1068873.0)	(33.0, 1212163.0)	(34.0, 1389711.0)	(35.0, 1633717.0)	(36.0, 1972950.0)	(37.0, 2492004.0)	(38.0, 3376232.0)	(39.0, 5175744.0)	(40.0, 6099145.0)	
SRR10898048_1	(14.0, 1.0)	(15.0, 19.0)	(16.0, 47.0)	(17.0, 232.0)	(18.0, 896.0)	(19.0, 2880.0)	(20.0, 7376.0)	(21.0, 14616.0)	(22.0, 25684.0)	(23.0, 42528.0)	(24.0, 67361.0)	(25.0, 99759.0)	(26.0, 141433.0)	(27.0, 192877.0)	(28.0, 251860.0)	(29.0, 317684.0)	(30.0, 390824.0)	(31.0, 470472.0)	(32.0, 559106.0)	(33.0, 662627.0)	(34.0, 785369.0)	(35.0, 943444.0)	(36.0, 1158388.0)	(37.0, 1496526.0)	(38.0, 2109820.0)	(39.0, 3781951.0)	(40.0, 15928358.0)				
SRR10898048_2	(11.0, 10.0)	(12.0, 40.0)	(13.0, 354.0)	(14.0, 2365.0)	(15.0, 12244.0)	(16.0, 42024.0)	(17.0, 90189.0)	(18.0, 141740.0)	(19.0, 186059.0)	(20.0, 225290.0)	(21.0, 263208.0)	(22.0, 300378.0)	(23.0, 340239.0)	(24.0, 381074.0)	(25.0, 425645.0)	(26.0, 473090.0)	(27.0, 525308.0)	(28.0, 583153.0)	(29.0, 646879.0)	(30.0, 722666.0)	(31.0, 807626.0)	(32.0, 912743.0)	(33.0, 1046617.0)	(34.0, 1209957.0)	(35.0, 1437298.0)	(36.0, 1758202.0)	(37.0, 2255204.0)	(38.0, 3144746.0)	(39.0, 5078115.0)	(40.0, 6439675.0)	
SRR10898049_1	(14.0, 5.0)	(15.0, 18.0)	(16.0, 113.0)	(17.0, 497.0)	(18.0, 1731.0)	(19.0, 5045.0)	(20.0, 11277.0)	(21.0, 21490.0)	(22.0, 37272.0)	(23.0, 59933.0)	(24.0, 90503.0)	(25.0, 131781.0)	(26.0, 182551.0)	(27.0, 241198.0)	(28.0, 309707.0)	(29.0, 385163.0)	(30.0, 468927.0)	(31.0, 557925.0)	(32.0, 657178.0)	(33.0, 774400.0)	(34.0, 912874.0)	(35.0, 1090466.0)	(36.0, 1338842.0)	(37.0, 1726361.0)	(38.0, 2443340.0)	(39.0, 4415284.0)	(40.0, 16601378.0)				
SRR10898049_2	(10.0, 1.0)	(11.0, 9.0)	(12.0, 80.0)	(13.0, 656.0)	(14.0, 3912.0)	(15.0, 19260.0)	(16.0, 62022.0)	(17.0, 125315.0)	(18.0, 188979.0)	(19.0, 241161.0)	(20.0, 287253.0)	(21.0, 332411.0)	(22.0, 375232.0)	(23.0, 421432.0)	(24.0, 470545.0)	(25.0, 520721.0)	(26.0, 575856.0)	(27.0, 637675.0)	(28.0, 703859.0)	(29.0, 778329.0)	(30.0, 863585.0)	(31.0, 965800.0)	(32.0, 1087385.0)	(33.0, 1239294.0)	(34.0, 1432120.0)	(35.0, 1690643.0)	(36.0, 2050122.0)	(37.0, 2592516.0)	(38.0, 3490763.0)	(39.0, 5208143.0)	(40.0, 6100180.0)
SRR10898050_1	(14.0, 3.0)	(15.0, 17.0)	(16.0, 126.0)	(17.0, 413.0)	(18.0, 1366.0)	(19.0, 4165.0)	(20.0, 9318.0)	(21.0, 18340.0)	(22.0, 32066.0)	(23.0, 51637.0)	(24.0, 79373.0)	(25.0, 115420.0)	(26.0, 162590.0)	(27.0, 213781.0)	(28.0, 274490.0)	(29.0, 342540.0)	(30.0, 416039.0)	(31.0, 496341.0)	(32.0, 585795.0)	(33.0, 689953.0)	(34.0, 813366.0)	(35.0, 976562.0)	(36.0, 1202812.0)	(37.0, 1551886.0)	(38.0, 2207710.0)	(39.0, 4029457.0)	(40.0, 14974270.0)				
SRR10898050_2	(10.0, 2.0)	(11.0, 6.0)	(12.0, 86.0)	(13.0, 627.0)	(14.0, 3515.0)	(15.0, 16471.0)	(16.0, 53262.0)	(17.0, 108138.0)	(18.0, 163475.0)	(19.0, 210136.0)	(20.0, 250806.0)	(21.0, 288385.0)	(22.0, 328854.0)	(23.0, 369680.0)	(24.0, 413094.0)	(25.0, 460918.0)	(26.0, 509733.0)	(27.0, 564785.0)	(28.0, 626064.0)	(29.0, 693058.0)	(30.0, 772890.0)	(31.0, 865794.0)	(32.0, 978155.0)	(33.0, 1120118.0)	(34.0, 1301804.0)	(35.0, 1543220.0)	(36.0, 1884119.0)	(37.0, 2396075.0)	(38.0, 3225851.0)	(39.0, 4761183.0)	(40.0, 5339532.0)
