Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR10898046_1	(1, 2.236282645351294)	(2, 0.0)	(3, 0.004774477972677787)	(4, 0.0)	(5, 0.0)	(6, 5.673770615184537e-06)	(7, 0.0)	(8, 0.0)	(9, 0.044059665712215514)	(10, 0.0003721993523561056)	(15, 6.184409970551145e-05)	(20, 0.000506667715935979)	(25, 0.0034014254838031295)	(30, 0.0051829894569710745)	(35, 0.0033475246629588768)	(40, 0.004078873695256164)	(45, 0.0018626988929650833)	(50, 0.015106981639990347)	(55, 0.0038757527072325565)	(60, 0.0035568867986591856)	(65, 0.0013844000301050268)	(70, 0.0015829820016364856)	(75, 0.020515219790384245)	(80, 0.0005316323066427911)	(85, 0.0008448244446009774)	(90, 0.001799720039136535)	(95, 0.0007971647714334274)	(100, 0.0013373077339989953)	(105, 0.0008323421492475715)	(110, 0.0020652525039271713)	(115, 0.0017083723322320638)	(120, 0.0008346116574936452)	(125, 0.004015327464366096)	(130, 0.0016017054446665945)	(135, 0.0015404287220226018)	(140, 0.009040586098235041)	(145, 0.001649932494895663)	(150, 0.04857173179394102)
SRR10898046_2	(1, 3.0528091590090387)	(2, 0.048320667444219104)	(3, 0.004275186158541548)	(4, 0.009662431357659266)	(5, 0.0017390106935540604)	(6, 0.00427802304384914)	(7, 0.00011347541230369072)	(8, 0.0029503607198959588)	(9, 0.0006695049325917753)	(10, 0.0016028401987896316)	(15, 0.01467974671266695)	(20, 0.004823272399968374)	(25, 0.011728251238647956)	(30, 0.019279472550397057)	(35, 0.0015818472475134487)	(40, 0.012216195511553824)	(45, 0.001849649220550159)	(50, 0.016407409864990643)	(55, 0.015540457714990446)	(60, 0.0017083723322320638)	(65, 0.0012902154378929636)	(70, 0.0018865287295488583)	(75, 0.002081139061649688)	(80, 0.001977309059391811)	(85, 0.002617877761846145)	(90, 0.005157457489202743)	(95, 0.0028964598990517056)	(100, 0.004483413540118821)	(105, 0.0016493651178341449)	(110, 0.0016289395436194804)	(115, 0.012906693395421784)	(120, 0.002402841855530651)	(125, 0.0028584456359299695)	(130, 0.0012794352737241128)	(135, 0.026374522704685318)	(140, 0.03252205316623776)	(145, 0.023020756894049737)	(150, 0.029354670720310994)
SRR10898047_1	(1, 2.235160509803338)	(2, 0.0)	(3, 0.004774789162924784)	(4, 0.0)	(5, 0.0)	(6, 3.106564191883399e-05)	(7, 0.0)	(8, 0.0)	(9, 0.043091151905614626)	(10, 0.0003653319489654877)	(15, 6.026734532253794e-05)	(20, 0.0005243880355899178)	(25, 0.00346568301246512)	(30, 0.005225240970747877)	(35, 0.003438345247576546)	(40, 0.004139186129265441)	(45, 0.0018689090178370528)	(50, 0.015101629849583579)	(55, 0.0038838265526926256)	(60, 0.003621632534897666)	(65, 0.0013786931883578524)	(70, 0.001698047987283466)	(75, 0.020310716686533663)	(80, 0.0005330864153271913)	(85, 0.000913951185252096)	(90, 0.001827902370504192)	(95, 0.0007785049864859798)	(100, 0.0012488388051371264)	(105, 0.000848092024384168)	(110, 0.00204536186393603)	(115, 0.0016738167865867754)	(120, 0.0008294526392328675)	(125, 0.0039639759088432175)	(130, 0.0015296722080833857)	(135, 0.0014712688012759778)	(140, 0.008934478615856655)	(145, 0.0015905608662443002)	(150, 0.047820895887757106)
SRR10898047_2	(1, 3.051578005687063)	(2, 0.04834745851828134)	(3, 0.0043895752031312425)	(4, 0.009959644799178177)	(5, 0.0016557987142738516)	(6, 0.004417534280858193)	(7, 0.00013358226025098616)	(8, 0.0031158838844590492)	(9, 0.0006554850444873972)	(10, 0.0015998805588199505)	(15, 0.0146375091593162)	(20, 0.004762362906157251)	(25, 0.01166576985336054)	(30, 0.01908921564628511)	(35, 0.0015514181574265695)	(40, 0.01210938721996149)	(45, 0.0018471630684938692)	(50, 0.016275911114115506)	(55, 0.015459506044488548)	(60, 0.0017222791879801564)	(65, 0.0013091061504596642)	(70, 0.001907430413816407)	(75, 0.0020515749923197967)	(80, 0.001982609267259985)	(85, 0.002538062944768737)	(90, 0.005048166811810523)	(95, 0.0028661161234316236)	(100, 0.004533719781634632)	(105, 0.0016334314520922914)	(110, 0.0016154133797793675)	(115, 0.012805878911781747)	(120, 0.002434925013598208)	(125, 0.0029599343620265025)	(130, 0.0013202897815504445)	(135, 0.0260858195192449)	(140, 0.03215045413463967)	(145, 0.022728244940657324)	(150, 0.028892600266611553)
SRR10898048_1	(1, 2.23374275918441)	(2, 0.0)	(3, 0.004794219013913354)	(4, 0.0)	(5, 0.0)	(6, 3.395339244981129e-06)	(7, 0.0)	(8, 0.0)	(9, 0.04401378263269037)	(10, 0.0003728082490989279)	(15, 5.975797071166786e-05)	(20, 0.00052356131157609)	(25, 0.0036031340067739738)	(30, 0.005407417281556945)	(35, 0.0034401577230148794)	(40, 0.004278127448676222)	(45, 0.0019855943904649636)	(50, 0.015233529056532332)	(55, 0.003978658527268886)	(60, 0.003727403423140283)	(65, 0.001453205196851923)	(70, 0.0017221160650544283)	(75, 0.020628723116807343)	(80, 0.0005575147040259013)	(85, 0.0008855044750910782)	(90, 0.0018334831922898094)	(95, 0.0007877187048356217)	(100, 0.0013221451019956513)	(105, 0.0008556254897352443)	(110, 0.0020412779540826542)	(115, 0.0017289067435443907)	(120, 0.000869206846715169)	(125, 0.004079839636769324)	(130, 0.0016012419879331003)	(135, 0.0015448793564664133)	(140, 0.009121239347717304)	(145, 0.0016304419054399377)	(150, 0.04875028087943904)
SRR10898048_2	(1, 3.049907616214483)	(2, 0.04899814064432266)	(3, 0.004376592286780674)	(4, 0.009493368528967235)	(5, 0.0018131111568199226)	(6, 0.0044071503399855045)	(7, 0.00011544153432935837)	(8, 0.003032037945768148)	(9, 0.0008250674365304142)	(10, 0.001622293091251983)	(15, 0.014739846730312074)	(20, 0.004751437739426591)	(25, 0.011804915486950387)	(30, 0.019358187171335407)	(35, 0.0015781536810672285)	(40, 0.012217109671291094)	(45, 0.0018531761599106997)	(50, 0.016371646771450005)	(55, 0.01558800247370836)	(60, 0.0017227951329034246)	(65, 0.0013017730665257647)	(70, 0.0018701528561356057)	(75, 0.0020799848214754393)	(80, 0.0019462084552231828)	(85, 0.002606262404447514)	(90, 0.005112022767243587)	(95, 0.0028867174260829554)	(100, 0.004484564074771075)	(105, 0.001600562920084104)	(110, 0.0016121070735170397)	(115, 0.012967479644431925)	(120, 0.0023658723859028502)	(125, 0.0028901127653279367)	(130, 0.0012970195915827912)	(135, 0.026362092965882475)	(140, 0.03252599183122122)	(145, 0.023010214063237108)	(150, 0.02930347535380963)
SRR10898049_1	(1, 2.2416916495260364)	(2, 0.0)	(3, 0.004583360939766413)	(4, 0.0)	(5, 0.0)	(6, 2.7721941167942014e-05)	(7, 0.0)	(8, 0.0)	(9, 0.04370826057478858)	(10, 0.0003727060979245537)	(15, 6.22203568436032e-05)	(20, 0.00048605803514458336)	(25, 0.0035262309165622245)	(30, 0.005171682135663849)	(35, 0.003272421144091289)	(40, 0.0042285200928167555)	(45, 0.0019460802699895294)	(50, 0.015234130736489736)	(55, 0.003956845069370924)	(60, 0.0037326053674791256)	(65, 0.001460022234844946)	(70, 0.0016608522975282594)	(75, 0.02072492321715345)	(80, 0.0005599832115924287)	(85, 0.000835970536997718)	(90, 0.001865378619033965)	(95, 0.0007694378781946573)	(100, 0.001321412529005236)	(105, 0.0008495234860131564)	(110, 0.0020033722817366095)	(115, 0.00173539351711317)	(120, 0.0008692368663992486)	(125, 0.0039950397438689765)	(130, 0.001565981654420191)	(135, 0.0015789185602985642)	(140, 0.009197524036386094)	(145, 0.0016054084151923753)	(150, 0.04857654146544773)
SRR10898049_2	(1, 3.064679077410102)	(2, 0.048279300651813684)	(3, 0.004432430371185396)	(4, 0.009483984095121497)	(5, 0.0017095197053564244)	(6, 0.004127489018338033)	(7, 0.00011704819604242183)	(8, 0.0029138840383192387)	(9, 0.0007084496076251849)	(10, 0.0015807666897097604)	(15, 0.014786883418980271)	(20, 0.0047650936652007)	(25, 0.011826796145381128)	(30, 0.019353611194045918)	(35, 0.0015351794975669224)	(40, 0.012277123678575919)	(45, 0.0018228716425764536)	(50, 0.016586961465485304)	(55, 0.01564811172459767)	(60, 0.0016596202112541287)	(65, 0.0012474873525573906)	(70, 0.0018333443759065652)	(75, 0.0020052204111478057)	(80, 0.0019430000543042027)	(85, 0.0025960057795935032)	(90, 0.0051433441513588415)	(95, 0.002877537493232381)	(100, 0.004458304182942141)	(105, 0.0016010961132329176)	(110, 0.0016201934504819443)	(115, 0.013013295227369047)	(120, 0.0023144740659546254)	(125, 0.0027703459873830052)	(130, 0.0012536477839280443)	(135, 0.026192922101745748)	(140, 0.03272913978600941)	(145, 0.022942062467451747)	(150, 0.02952078712817292)
SRR10898050_1	(1, 2.228111637959269)	(2, 0.0)	(3, 0.004608572848066567)	(4, 0.0)	(5, 0.0)	(6, 2.7350580700691794e-05)	(7, 0.0)	(8, 0.0)	(9, 0.04406520433140206)	(10, 0.0003993184782301002)	(15, 5.128233881379711e-05)	(20, 0.0005189772687956267)	(25, 0.003535062555564414)	(30, 0.005304645126899173)	(35, 0.0033996771810959896)	(40, 0.00421609201501164)	(45, 0.0018639420747521458)	(50, 0.015308120018177196)	(55, 0.003908397982128857)	(60, 0.0037285679140218087)	(65, 0.0014447944255140438)	(70, 0.0016553938969093706)	(75, 0.020765244632482725)	(80, 0.0005497466720839051)	(85, 0.0008526543533440666)	(90, 0.001827702555323729)	(95, 0.0007781240209346814)	(100, 0.0012813747058274105)	(105, 0.0008430816500988245)	(110, 0.002000011213738087)	(115, 0.0016902658873027526)	(120, 0.0008389790629937207)	(125, 0.004022586656554246)	(130, 0.001584282387087572)	(135, 0.0014953929998103236)	(140, 0.009305351318892865)	(145, 0.0016458211936641286)	(150, 0.04924984878547695)
SRR10898050_2	(1, 3.044215359019449)	(2, 0.04906694177704107)	(3, 0.004444469363862416)	(4, 0.009545352664541436)	(5, 0.001825651261771177)	(6, 0.0044376317186872434)	(7, 8.888938727724832e-05)	(8, 0.0030393332803643753)	(9, 0.0007487221466814378)	(10, 0.0016123167323057813)	(15, 0.015140597711385458)	(20, 0.004805497029111548)	(25, 0.012126563718169222)	(30, 0.019611050126913533)	(35, 0.0015959063838853662)	(40, 0.01243562528008704)	(45, 0.0019029166522506315)	(50, 0.01670163210487744)	(55, 0.015898892561312137)	(60, 0.0017360781099764115)	(65, 0.001314879167185758)	(70, 0.0018974465361104931)	(75, 0.0020930031881204393)	(80, 0.001971293104002361)	(85, 0.002622920689196343)	(90, 0.005117977413616952)	(95, 0.0029176231962462973)	(100, 0.0045456665124549754)	(105, 0.0016389835484889555)	(110, 0.0016506075452867497)	(115, 0.013275971872115796)	(120, 0.0024116374532834987)	(125, 0.0028615545058098785)	(130, 0.0012902636445551352)	(135, 0.026442541421428822)	(140, 0.03312839087371293)	(145, 0.023163206795415878)	(150, 0.029798457673403708)
