Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR10898046_1 - illumina_universal_adapter	(1, 2.2695082460738147e-05)	(2, 2.5531967768330415e-05)	(3, 5.39008208442531e-05)	(4, 9.078032984295259e-05)	(5, 0.00011347541230369073)	(6, 0.00015319180660998248)	(7, 0.0001702131184555361)	(8, 0.00020992951276182785)	(9, 0.00022978770991497372)	(10, 0.0005696465697645275)	(15, 0.0016221310188812594)	(20, 0.0035642627004589256)	(25, 0.005959161277128319)	(30, 0.009338459055532228)	(35, 0.01346896406338657)	(40, 0.01931011091171905)	(45, 0.026460196640974605)	(50, 0.03657482751666408)	(55, 0.05072748093918038)	(60, 0.07346114504010179)	(65, 0.1090532754862159)	(70, 0.1692786484352152)	(75, 0.2763636928950236)	(80, 0.46263755383096256)	(85, 0.8052306037399737)	(90, 1.3677985772849968)	(95, 2.38154308801831)	(100, 3.8323398513704725)	(105, 6.125287011232675)	(110, 8.949319526250367)	(115, 12.881247101589741)	(120, 16.965885347790934)	(125, 21.86879706162228)	(130, 26.46118501181577)	(135, 31.588978326111146)	(140, 34.290726332568006)
SRR10898046_1 - polya	(1, 0.001628372166557962)	(2, 0.007205688681284361)	(3, 0.009582998569046682)	(4, 0.013341871601606438)	(5, 0.016295069206809988)	(6, 0.01998585699198753)	(7, 0.02442558249836943)	(8, 0.034073829429490735)	(9, 0.04446534031120121)	(10, 0.06799900606886364)	(15, 0.1018061682794407)	(20, 0.13614893443609116)	(25, 0.17860008617890188)	(30, 0.22195109794128082)	(35, 0.2523386786020862)	(40, 0.2811790220161307)	(45, 0.313901926662146)	(50, 0.34288581647275473)	(55, 0.37432247732030766)	(60, 0.39949586278575844)	(65, 0.42756797765850685)	(70, 0.4609507418270682)	(75, 0.4913610175703343)	(80, 0.5176249017480234)	(85, 0.5471432607505825)	(90, 0.5759552353115511)	(95, 0.6124721903679404)	(100, 0.6370237305739669)	(105, 0.661395412251492)	(110, 0.6849767376823219)	(115, 0.7039861387514363)	(120, 0.7220173817664928)	(125, 0.7384656427799128)	(130, 0.7567278082590072)	(135, 0.7781394838065907)	(140, 0.7887392220698783)
SRR10898046_2 - illumina_universal_adapter	(1, 2.2695082460738147e-05)	(2, 2.5531967768330415e-05)	(3, 4.2553279613884026e-05)	(4, 7.659590330499124e-05)	(5, 8.794344453536031e-05)	(6, 0.00011914918291887526)	(7, 0.00013617049476442888)	(8, 0.00017588688907072063)	(9, 0.00020709262745423557)	(10, 0.0005321996837043095)	(15, 0.0015914926575592626)	(20, 0.0036731990962704684)	(25, 0.0067313614578549345)	(30, 0.01124938499872638)	(35, 0.016555495278046957)	(40, 0.023708417892610106)	(45, 0.032080066435314886)	(50, 0.043383919631947036)	(55, 0.058740547179005495)	(60, 0.08257038376278056)	(65, 0.11903060111301791)	(70, 0.17962703866025026)	(75, 0.28521874669414216)	(80, 0.4661598306288692)	(85, 0.7966864725705674)	(90, 1.335539219698242)	(95, 2.2999015005052352)	(100, 3.6710754039292057)	(105, 5.824830218797333)	(110, 8.455724745188835)	(115, 12.086730278902422)	(120, 15.829834200791396)	(125, 20.278128235556345)	(130, 24.384450498294648)	(135, 28.902381556705063)	(140, 31.25655551002985)
SRR10898046_2 - polya	(1, 0.0020567418480043945)	(2, 0.00811916575032907)	(3, 0.01039434776701807)	(4, 0.013662439641364363)	(5, 0.016487977407726263)	(6, 0.01942131681577667)	(7, 0.023483736576248797)	(8, 0.03169651954172841)	(9, 0.042082356652823706)	(10, 0.06410623204978552)	(15, 0.09694942063284272)	(20, 0.13188225893347238)	(25, 0.17391638853606706)	(30, 0.21714938586965019)	(35, 0.2476146971878835)	(40, 0.27595631616485333)	(45, 0.30761652357464453)	(50, 0.33601658238895077)	(55, 0.36772785373427863)	(60, 0.3923911672214243)	(65, 0.4189500874711031)	(70, 0.45118901948364315)	(75, 0.4807839743895072)	(80, 0.5070733905349647)	(85, 0.5365889126522163)	(90, 0.5639415934109595)	(95, 0.5990412405676755)	(100, 0.6232489502744218)	(105, 0.6468132543934063)	(110, 0.6695452163631431)	(115, 0.6874391541293121)	(120, 0.7052559286151145)	(125, 0.7215731255273237)	(130, 0.740715860205895)	(135, 0.7631005874139826)	(140, 0.7765349414766164)
SRR10898047_1 - illumina_universal_adapter	(1, 4.038533449448419e-05)	(2, 4.970502707013438e-05)	(3, 7.145097641331818e-05)	(4, 0.00013979538863475295)	(5, 0.00017396759474547034)	(6, 0.0002392054427750217)	(7, 0.0002485251353506719)	(8, 0.0002889104698451561)	(9, 0.0003479351894909407)	(10, 0.0006784736195073343)	(15, 0.001788759661686461)	(20, 0.004210637105678759)	(25, 0.007104090993998957)	(30, 0.011261295195577321)	(35, 0.016221856897176735)	(40, 0.022672326785203423)	(45, 0.030624509803586546)	(50, 0.04117688705057607)	(55, 0.05540743630075554)	(60, 0.07630280836820166)	(65, 0.10827743096958073)	(70, 0.16017196448215454)	(75, 0.25253881628658525)	(80, 0.41174029011519553)	(85, 0.701068903500579)	(90, 1.18395883330248)	(95, 2.0591121383621442)	(100, 3.3450781134693073)	(105, 5.3473600091308136)	(110, 7.845812396514522)	(115, 11.288982759593901)	(120, 15.027382965397567)	(125, 19.690727865815564)	(130, 24.200380473342836)	(135, 29.224668368836028)	(140, 31.938968564148826)
SRR10898047_1 - polya	(1, 0.001503577068871565)	(2, 0.00754895098627666)	(3, 0.01011807957296423)	(4, 0.01437717908003637)	(5, 0.01724764439333663)	(6, 0.02090407044718339)	(7, 0.02533403098480912)	(8, 0.035094855675706756)	(9, 0.046182183276538606)	(10, 0.06866438833319877)	(15, 0.1029366258108948)	(20, 0.13624644970194535)	(25, 0.17589739242146832)	(30, 0.2131817545396145)	(35, 0.23948565486512957)	(40, 0.26605734102398504)	(45, 0.29666445406809705)	(50, 0.32614450562339375)	(55, 0.3630877669932711)	(60, 0.3909051853930719)	(65, 0.42172603005358544)	(70, 0.457844809286937)	(75, 0.4917187852352335)	(80, 0.5217070706923224)	(85, 0.5585863368398469)	(90, 0.5910020915564734)	(95, 0.6333632008769955)	(100, 0.660225040131373)	(105, 0.6867973476030667)	(110, 0.7127713308114039)	(115, 0.7334970844739731)	(120, 0.7538102864118603)	(125, 0.7723949960333835)	(130, 0.7940042565521245)	(135, 0.818489574199711)	(140, 0.8297788284730153)
SRR10898047_2 - illumina_universal_adapter	(1, 3.727877030260079e-05)	(2, 4.3491898686367586e-05)	(3, 6.834441222143478e-05)	(4, 0.00013668882444286957)	(5, 0.00017086103055358694)	(6, 0.00022677918600748812)	(7, 0.00023609887858313833)	(8, 0.0002764842130776225)	(9, 0.0003324023685315237)	(10, 0.0006554850444873972)	(15, 0.0017912449130399674)	(20, 0.004456055676837547)	(25, 0.008627550073698576)	(30, 0.01474810284454725)	(35, 0.02190873330683848)	(40, 0.03063507212183895)	(45, 0.041161354229616656)	(50, 0.05449721299253372)	(55, 0.07131615152739043)	(60, 0.09438736115483168)	(65, 0.12851110486415568)	(70, 0.18154636874798907)	(75, 0.27343978016957676)	(80, 0.4286611239555459)	(85, 0.7071378873058425)	(90, 1.1679438735804826)	(95, 1.9959917244857805)	(100, 3.203939446477984)	(105, 5.073920228961237)	(110, 7.387771873683496)	(115, 10.548833899872267)	(120, 13.957861258544336)	(125, 18.169771434228927)	(130, 22.181722635200238)	(135, 26.586865452809842)	(140, 28.945672809265687)
SRR10898047_2 - polya	(1, 0.0017583153326060038)	(2, 0.007794369557435448)	(3, 0.010233022448063915)	(4, 0.01380867783292171)	(5, 0.01653624119339533)	(6, 0.01957756753724918)	(7, 0.023824240787553786)	(8, 0.03238593170038443)	(9, 0.043408021453186736)	(10, 0.06418782933269479)	(15, 0.09702794071793257)	(20, 0.12933372306216642)	(25, 0.16821175261074878)	(30, 0.20547685403090526)	(35, 0.2311283758761249)	(40, 0.25784482792632213)	(45, 0.2876429916548677)	(50, 0.31676143913822913)	(55, 0.3525453307516956)	(60, 0.3790760102632183)	(65, 0.4075284103838399)	(70, 0.44145457661056015)	(75, 0.47348884524442336)	(80, 0.5018772501426924)	(85, 0.5377027697163299)	(90, 0.5684229616970266)	(95, 0.6073277076976591)	(100, 0.633068698591605)	(105, 0.6582387029870826)	(110, 0.6820536240820607)	(115, 0.7018231772863683)	(120, 0.7215467533406361)	(125, 0.739420059762218)	(130, 0.7605142519379446)	(135, 0.7849461366814308)	(140, 0.798240988797015)
SRR10898048_1 - illumina_universal_adapter	(1, 2.3767374714867897e-05)	(2, 3.055805320483016e-05)	(3, 4.7534749429735794e-05)	(4, 0.00010186017734943385)	(5, 0.00011544153432935837)	(6, 0.00016297628375909416)	(7, 0.00017655764073901868)	(8, 0.00019353433696392433)	(9, 0.00021051103318882997)	(10, 0.00042441740562264107)	(15, 0.001077001608508014)	(20, 0.002187277541616843)	(25, 0.003806175293623845)	(30, 0.006284093874611073)	(35, 0.00943496869395356)	(40, 0.01371852868542175)	(45, 0.019083843760340925)	(50, 0.027066965393140564)	(55, 0.03770456324766643)	(60, 0.05486257058825408)	(65, 0.08167760180941704)	(70, 0.12667263748390695)	(75, 0.20641625405938274)	(80, 0.3445773614126078)	(85, 0.5930489664281757)	(90, 1.0002581136894035)	(95, 1.733476191100286)	(100, 2.842465290635267)	(105, 4.616301879340645)	(110, 6.873369940070225)	(115, 10.046926983704884)	(120, 13.4680504349124)	(125, 17.815882840152387)	(130, 22.092807659668033)	(135, 26.89512863208776)	(140, 29.568138652616664)
SRR10898048_1 - polya	(1, 0.0013581356979924513)	(2, 0.006685422973367842)	(3, 0.009099509176549425)	(4, 0.013883542172727834)	(5, 0.017092137759235)	(6, 0.021984821611252807)	(7, 0.027461503813407367)	(8, 0.039063378013507885)	(9, 0.052165992159890054)	(10, 0.08023118729105508)	(15, 0.11835337726585418)	(20, 0.1556987136214016)	(25, 0.20690722011420698)	(30, 0.25202177173012025)	(35, 0.28061663978350226)	(40, 0.30948109777293586)	(45, 0.341120226993368)	(50, 0.37253526382363145)	(55, 0.408602594487368)	(60, 0.435929642866674)	(65, 0.4678716363477585)	(70, 0.5053134003378634)	(75, 0.5456568212467292)	(80, 0.5815564221517637)	(85, 0.6227602220253077)	(90, 0.658844529385269)	(95, 0.7040731643998137)	(100, 0.7335623648103238)	(105, 0.7622604511767532)	(110, 0.7895290997210458)	(115, 0.8120592128150423)	(120, 0.8335204731147192)	(125, 0.8532399243817206)	(130, 0.8763533567580051)	(135, 0.9016676480328865)	(140, 0.9132851407935139)
SRR10898048_2 - illumina_universal_adapter	(1, 2.3767374714867897e-05)	(2, 3.055805320483016e-05)	(3, 3.395339244981128e-05)	(4, 7.809280263456596e-05)	(5, 9.167415961449047e-05)	(6, 0.000132418230554264)	(7, 0.0001426042482892074)	(8, 0.00015618560526913192)	(9, 0.0001799529799839998)	(10, 0.0003809570632868826)	(15, 0.001041011012511214)	(20, 0.00233531433269802)	(25, 0.004657047308416116)	(30, 0.00839667395283833)	(35, 0.012890744977495353)	(40, 0.01849169659601622)	(45, 0.02529052390016643)	(50, 0.034828710907167416)	(55, 0.04685839785213556)	(60, 0.0653297224126819)	(65, 0.0931796530357151)	(70, 0.1390242025892993)	(75, 0.21825376480308495)	(80, 0.35319948589131284)	(85, 0.5942380142317683)	(90, 0.9863297530386419)	(95, 1.6870856709961088)	(100, 2.741423390043874)	(105, 4.417888439881682)	(110, 6.534864803363341)	(115, 9.491833835628503)	(120, 12.660667962373395)	(125, 16.65621354891112)	(130, 20.540736295612902)	(135, 24.846589405495788)	(140, 27.22248211657843)
SRR10898048_2 - polya	(1, 0.0014498098576069419)	(2, 0.006957050112966332)	(3, 0.009075741801834555)	(4, 0.01341838069616542)	(5, 0.01639609321401387)	(6, 0.02013436172273809)	(7, 0.025342812124539142)	(8, 0.03527078407686396)	(9, 0.04800330624554319)	(10, 0.07385406112113152)	(15, 0.11080417998856314)	(20, 0.14749217866628223)	(25, 0.19820157029007537)	(30, 0.24306554586970902)	(35, 0.271847157581565)	(40, 0.3003503514753326)	(45, 0.33113113893463353)	(50, 0.362173367515798)	(55, 0.39777689483867007)	(60, 0.4245810609742492)	(65, 0.4553231415661573)	(70, 0.49083499472941483)	(75, 0.5294610530481692)	(80, 0.5647603579746909)	(85, 0.6051316206653656)	(90, 0.6387346141050949)	(95, 0.6810133783835999)	(100, 0.7084436450759533)	(105, 0.7352566390935694)	(110, 0.7607535996198307)	(115, 0.7819846559186976)	(120, 0.8022493986684429)	(125, 0.8215987579577415)	(130, 0.8443692610702829)	(135, 0.8693154975710083)	(140, 0.8830564354954469)
SRR10898049_1 - illumina_universal_adapter	(1, 5.852409802121092e-05)	(2, 6.776474507719159e-05)	(3, 0.00010472733330111428)	(4, 0.00013860970583971007)	(5, 0.0001570909999516714)	(6, 0.00021869531365820922)	(7, 0.00023717660777017056)	(8, 0.00027413919599409325)	(9, 0.0003234226469593235)	(10, 0.0006801116233201773)	(15, 0.0020403348699605324)	(20, 0.00484764344556746)	(25, 0.008347384507235874)	(30, 0.013017607529328503)	(35, 0.018712926331497924)	(40, 0.02686379307800994)	(45, 0.03667797629459848)	(50, 0.050371383145287704)	(55, 0.06796803931242316)	(60, 0.09641691138210233)	(65, 0.1390206066121327)	(70, 0.2094934773198637)	(75, 0.3317447736979397)	(80, 0.5450176756636995)	(85, 0.9276580852165696)	(90, 1.5523116572087106)	(95, 2.6594908729975018)	(100, 4.270463389803852)	(105, 6.698852456405784)	(110, 9.6595459164518)	(115, 13.495523938373632)	(120, 17.555109601928635)	(125, 22.372094428693764)	(130, 26.91431785589636)	(135, 31.62167226203247)	(140, 33.994846614345505)
SRR10898049_1 - polya	(1, 0.002984728999081757)	(2, 0.00831042191901195)	(3, 0.010820797702553366)	(4, 0.015053014054192513)	(5, 0.01838580742571621)	(6, 0.022550259032278166)	(7, 0.02736155593275877)	(8, 0.0380406637137871)	(9, 0.050179793729660374)	(10, 0.0739264085341195)	(15, 0.10441992777571865)	(20, 0.1342906274057447)	(25, 0.16945436966943647)	(30, 0.20477828314876528)	(35, 0.22902943728248096)	(40, 0.2524895920282047)	(45, 0.2781681181105008)	(50, 0.30336859471843425)	(55, 0.3337462978502651)	(60, 0.3582216916858726)	(65, 0.3847756150659386)	(70, 0.4160866235504236)	(75, 0.4455143881648995)	(80, 0.4712711517256031)	(85, 0.5020320336886887)	(90, 0.529880879742866)	(95, 0.5654056232848781)	(100, 0.5892446445598971)	(105, 0.6125711179448776)	(110, 0.6342040887460654)	(115, 0.6522633933091371)	(120, 0.6704736284407895)	(125, 0.6869724957376745)	(130, 0.7058363526377536)	(135, 0.7280816703171843)	(140, 0.7392240425372858)
SRR10898049_2 - illumina_universal_adapter	(1, 5.852409802121092e-05)	(2, 6.776474507719159e-05)	(3, 0.00010472733330111428)	(4, 0.00013860970583971007)	(5, 0.00015401078426634452)	(6, 0.00020021401954624788)	(7, 0.00021869531365820922)	(8, 0.0002556579018821319)	(9, 0.0003141819999033428)	(10, 0.0006603982429340854)	(15, 0.0020181573170261783)	(20, 0.005098373002353069)	(25, 0.009726089047988188)	(30, 0.0162382810499063)	(35, 0.023765712141708157)	(40, 0.03386512333075796)	(45, 0.04564263602517386)	(50, 0.06131908573407654)	(55, 0.08085442965355674)	(60, 0.11079597424434531)	(65, 0.15435392029368994)	(70, 0.22461302403285927)	(75, 0.34422149535292484)	(80, 0.5499454047170854)	(85, 0.9161479352436401)	(90, 1.508876303743642)	(95, 2.5512514777719777)	(100, 4.055415667560206)	(105, 6.307643502859472)	(110, 9.029694172469101)	(115, 12.524861113844803)	(120, 16.18477831949531)	(125, 20.48408792919225)	(130, 24.474068110776507)	(135, 28.557988710331863)	(140, 30.601419197056153)
SRR10898049_2 - polya	(1, 0.0032527077637051964)	(2, 0.009145160369735538)	(3, 0.011316712427890997)	(4, 0.014603302564134788)	(5, 0.017316972582907778)	(6, 0.020310942229045517)	(7, 0.024934345972721178)	(8, 0.033756083695497395)	(9, 0.04470625045683449)	(10, 0.06716348697541578)	(15, 0.09662020561733389)	(20, 0.12625804094154924)	(25, 0.16102997977006744)	(30, 0.19625594239060282)	(35, 0.2203838878969054)	(40, 0.24271791578807367)	(45, 0.2679017592313063)	(50, 0.2925428686707844)	(55, 0.322852191014401)	(60, 0.3467331032227403)	(65, 0.37091218030941936)	(70, 0.399572355175112)	(75, 0.42796886357814057)	(80, 0.45329193277034996)	(85, 0.4819644284987839)	(90, 0.5073805202046902)	(95, 0.541055286206095)	(100, 0.5639357443598402)	(105, 0.5862007754196571)	(110, 0.6073452240131519)	(115, 0.6250848021880866)	(120, 0.6430794222217664)	(125, 0.6596811687225412)	(130, 0.6792848934302358)	(135, 0.702099434968315)	(140, 0.7157866813876335)
SRR10898050_1 - illumina_universal_adapter	(1, 5.470116140138358e-05)	(2, 5.811998398897006e-05)	(3, 7.86329195144889e-05)	(4, 0.00013333408091587248)	(5, 0.00016752230679173722)	(6, 0.0002529928714813991)	(7, 0.0002735058070069179)	(8, 0.0003145316780579556)	(9, 0.0003555575491089933)	(10, 0.0007124826272530211)	(15, 0.002208559391580862)	(20, 0.00532310676887214)	(25, 0.009777832600497315)	(30, 0.015612395228472391)	(35, 0.02258884460070135)	(40, 0.0319803502488014)	(45, 0.042957505813024044)	(50, 0.05826836088927132)	(55, 0.0772373561342361)	(60, 0.10666658096818046)	(65, 0.14975878839115545)	(70, 0.22209560422834507)	(75, 0.3492990524801575)	(80, 0.5707573881781765)	(85, 0.9709681791036366)	(90, 1.623225511418252)	(95, 2.795929522476639)	(100, 4.496019054602562)	(105, 7.051439878158632)	(110, 10.12548036166767)	(115, 14.067453232900178)	(120, 18.339017011924444)	(125, 23.435090029222728)	(130, 28.271659369303812)	(135, 33.13815503102308)	(140, 35.55195318018193)
SRR10898050_1 - polya	(1, 0.002417107569423637)	(2, 0.0066803793361439705)	(3, 0.009012016340877945)	(4, 0.013268450462423106)	(5, 0.017224028196260656)	(6, 0.021911233963841713)	(7, 0.02797280641163253)	(8, 0.04007543837168865)	(9, 0.05500543661167878)	(10, 0.08247704363197114)	(15, 0.11161430101693562)	(20, 0.14089446518606122)	(25, 0.17532816252371466)	(30, 0.2092045917795915)	(35, 0.23215993416168215)	(40, 0.2549320276530781)	(45, 0.28003507438469055)	(50, 0.3046088873797446)	(55, 0.3344189690499461)	(60, 0.35870628471216043)	(65, 0.385160450130387)	(70, 0.41501087390712205)	(75, 0.4436120599103529)	(80, 0.46911784394278316)	(85, 0.4992951071588914)	(90, 0.5261800442231539)	(95, 0.5614629770915639)	(100, 0.5849810576715713)	(105, 0.6069948563130405)	(110, 0.6282414711658555)	(115, 0.6464870435512869)	(120, 0.664519281407253)	(125, 0.6807279192950004)	(130, 0.6991772535066522)	(135, 0.7203958340142488)	(140, 0.7306331563705177)
SRR10898050_2 - illumina_universal_adapter	(1, 5.128233881379711e-05)	(2, 5.470116140138358e-05)	(3, 7.179527433931595e-05)	(4, 0.00011965879056552659)	(5, 0.00015042819385380487)	(6, 0.00022906111336829375)	(7, 0.0002495740488938126)	(8, 0.0002769246295945044)	(9, 0.00031111285547036913)	(10, 0.0006550464077815684)	(15, 0.0022372775013165887)	(20, 0.005660202676008167)	(25, 0.011563141755734972)	(30, 0.01987429946615769)	(35, 0.02950922528249389)	(40, 0.041588609248954425)	(45, 0.0553582591027177)	(50, 0.07356554067516824)	(55, 0.09523130317722124)	(60, 0.12697643843199669)	(65, 0.17194216063296902)	(70, 0.24508992118793418)	(75, 0.3706236164879694)	(80, 0.5855102914081296)	(85, 0.9696635564042136)	(90, 1.5908602017460884)	(95, 2.698011708510092)	(100, 4.289202168518141)	(105, 6.666251393683028)	(110, 9.501790710894927)	(115, 13.106030406461082)	(120, 16.972726274431075)	(125, 21.53863153284005)	(130, 25.806001784078376)	(135, 30.060228029996473)	(140, 32.16167434237922)
SRR10898050_2 - polya	(1, 0.002273517020745005)	(2, 0.007104313337004693)	(3, 0.009295778615647622)	(4, 0.012447933041402352)	(5, 0.01616077437152126)	(6, 0.019668486346384986)	(7, 0.024930054308680567)	(8, 0.034273696440554405)	(9, 0.047070349385890574)	(10, 0.0703737279073975)	(15, 0.09797593395053565)	(20, 0.12649233315359446)	(25, 0.15992363170856755)	(30, 0.19353817915423527)	(35, 0.21689625883714356)	(40, 0.2390461266175988)	(45, 0.2635925890319522)	(50, 0.28797699925565395)	(55, 0.318025714742469)	(60, 0.3421277302204361)	(65, 0.36661402135724797)	(70, 0.39462580234637895)	(75, 0.42190185271466135)	(80, 0.4463300238674842)	(85, 0.47450932716340705)	(90, 0.4995050228657692)	(95, 0.5327489699429425)	(100, 0.555240036217639)	(105, 0.5764093856799745)	(110, 0.5965927467080501)	(115, 0.6138878864141325)	(120, 0.6313204627882358)	(125, 0.6472501247528364)	(130, 0.6663510865496819)	(135, 0.6886718954595166)	(140, 0.7019526536832549)
SRR10898051_1 - illumina_universal_adapter	(1, 4.82336565432828e-05)	(2, 4.82336565432828e-05)	(3, 7.093184785776882e-05)	(4, 9.64673130865656e-05)	(5, 0.00011065368265811936)	(6, 0.00015321279137278066)	(7, 0.00017307370877295592)	(8, 0.00020144644791606346)	(9, 0.00022698191314486022)	(10, 0.00045736855498689334)	(15, 0.0012693963492626306)	(20, 0.002848055555185134)	(25, 0.004907348962191878)	(30, 0.0077661861582513925)	(35, 0.011212339054573233)	(40, 0.01637504266905308)	(45, 0.022333317889105662)	(50, 0.030619292628458784)	(55, 0.04243426866243162)	(60, 0.061048487904658735)	(65, 0.09084156636927024)	(70, 0.14008983206431055)	(75, 0.2286133456455889)	(80, 0.385660996440952)	(85, 0.6697822014913336)	(90, 1.1369671567669593)	(95, 1.9797912895634089)	(100, 3.2115182879753013)	(105, 5.137627787625167)	(110, 7.546120951454839)	(115, 10.8736025964915)	(120, 14.439067400548373)	(125, 18.89557750993975)	(130, 23.148227786223554)	(135, 27.876692870120753)	(140, 30.39951739105627)
SRR10898051_1 - polya	(1, 0.001364728752783472)	(2, 0.006233490789740724)	(3, 0.008392656238531207)	(4, 0.01191087589227654)	(5, 0.01447009696298484)	(6, 0.018079109381988118)	(7, 0.02231232206213976)	(8, 0.031042613896473947)	(9, 0.04091916439218968)	(10, 0.06199330011812423)	(15, 0.09271586951706393)	(20, 0.12342425254643205)	(25, 0.16015560064109907)	(30, 0.19623097100677742)	(35, 0.2204323500410653)	(40, 0.24385915329674632)	(45, 0.27030084381377395)	(50, 0.29693603641175753)	(55, 0.32868115932941483)	(60, 0.35376776782496766)	(65, 0.38104985887541415)	(70, 0.4140672154162484)	(75, 0.445267581742358)	(80, 0.4718829134229415)	(85, 0.502260470313901)	(90, 0.5307926642509927)	(95, 0.568057987296333)	(100, 0.5928909435039464)	(105, 0.6173601611957452)	(110, 0.6403415124468795)	(115, 0.6592644270909837)	(120, 0.6774961818095617)	(125, 0.6942951132014128)	(130, 0.7136776662196352)	(135, 0.7365188561394025)	(140, 0.7474486027121104)
SRR10898051_2 - illumina_universal_adapter	(1, 4.539638262897204e-05)	(2, 4.539638262897204e-05)	(3, 6.242002611483656e-05)	(4, 8.511821742932259e-05)	(5, 9.363003917225485e-05)	(6, 0.00012767732614398387)	(7, 0.00014186369571553764)	(8, 0.00015888733920140215)	(9, 0.00018442280443019894)	(10, 0.0004165118106208185)	(15, 0.001243860884033834)	(20, 0.0030426925457068517)	(25, 0.005987215413978552)	(30, 0.010236316828050335)	(35, 0.014993290272783743)	(40, 0.021492349900903953)	(45, 0.028967999210329925)	(50, 0.038686229821627116)	(55, 0.05180181221792)	(60, 0.07162300778329492)	(65, 0.10231266480482862)	(70, 0.15166761199904705)	(75, 0.23872538987619243)	(80, 0.3902766736447527)	(85, 0.6627786745612488)	(90, 1.1074526986007331)	(95, 1.9019251442590641)	(100, 3.054313452205085)	(105, 4.844898860973549)	(110, 7.0636203915897635)	(115, 10.100779685708925)	(120, 13.324370006734839)	(125, 17.309875622707143)	(130, 21.053428165998337)	(135, 25.14821138678033)	(140, 27.30794712762759)
SRR10898051_2 - polya	(1, 0.0016512934181288582)	(2, 0.00689457561177513)	(3, 0.009116161086680449)	(4, 0.011817245853104286)	(5, 0.014311209623783436)	(6, 0.017205229016380406)	(7, 0.021384533492160143)	(8, 0.028500416469251513)	(9, 0.03799109771262098)	(10, 0.05763581484052578)	(15, 0.08651472364994633)	(20, 0.11689682017916873)	(25, 0.15351410986248046)	(30, 0.18884043991478078)	(35, 0.21277851992982058)	(40, 0.236067999128049)	(45, 0.26186846574044237)	(50, 0.28803777796169616)	(55, 0.31867182441450936)	(60, 0.3418932090387943)	(65, 0.3676488467233415)	(70, 0.39855810874584296)	(75, 0.42785920391371296)	(80, 0.4533787804085896)	(85, 0.482447786570269)	(90, 0.5092929374379116)	(95, 0.5449075345199058)	(100, 0.5685987717044007)	(105, 0.591019477630067)	(110, 0.6127995271058821)	(115, 0.6305722109051247)	(120, 0.6478954705163404)	(125, 0.6639992697991854)	(130, 0.6832853555043213)	(135, 0.7054438973203054)	(140, 0.7182899386947388)
SRR10898052_1 - illumina_universal_adapter	(1, 3.476052573209538e-05)	(2, 3.792057352592224e-05)	(3, 5.056076470122965e-05)	(4, 6.952105146419077e-05)	(5, 8.848133822715189e-05)	(6, 0.00012956195954690096)	(7, 0.00012956195954690096)	(8, 0.00014536219851603524)	(9, 0.0001674825330728232)	(10, 0.0003615094676137919)	(15, 0.0010624080682845878)	(20, 0.0023769879505165592)	(25, 0.0040568693577149135)	(30, 0.006360544199414691)	(35, 0.00933920524987588)	(40, 0.013611589867129787)	(45, 0.018936902409286797)	(50, 0.026218916545381398)	(55, 0.036457471397380405)	(60, 0.05274751777455783)	(65, 0.07767018271491145)	(70, 0.12038960482053915)	(75, 0.19631417713414065)	(80, 0.33025217086593306)	(85, 0.5724565620620272)	(90, 0.9733029366229345)	(95, 1.694267840784531)	(100, 2.7629068913089876)	(105, 4.459686970089611)	(110, 6.614347862042804)	(115, 9.668086592008851)	(120, 12.964130202690836)	(125, 17.17088125927652)	(130, 21.254656527927192)	(135, 25.88602826264586)	(140, 28.39841098892716)
SRR10898052_1 - polya	(1, 0.0011944980660665505)	(2, 0.007005825958914133)	(3, 0.00944854290354229)	(4, 0.013954771057539382)	(5, 0.016922055935942797)	(6, 0.021099639119381897)	(7, 0.025953472530699944)	(8, 0.03655227283119521)	(9, 0.048576254686706385)	(10, 0.07348311938809088)	(15, 0.10850024100104498)	(20, 0.1429024173133204)	(25, 0.1852059771292805)	(30, 0.2270051933173458)	(35, 0.25520419581033915)	(40, 0.28212780301374385)	(45, 0.3119257896904136)	(50, 0.34092238824656884)	(55, 0.37555461603823487)	(60, 0.4036657692025597)	(65, 0.4338960504174249)	(70, 0.46957678206708264)	(75, 0.5025006880214059)	(80, 0.5310144312746644)	(85, 0.5651530596009346)	(90, 0.5971125189685819)	(95, 0.6381330993802482)	(100, 0.6659301437938667)	(105, 0.6935388493589733)	(110, 0.720063658530797)	(115, 0.7416676412780737)	(120, 0.7624620197805719)	(125, 0.781883041511873)	(130, 0.8035243128231169)	(135, 0.8282080781502572)	(140, 0.8408223569336553)
