Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR10898043_2 - illumina_universal_adapter	(1, 3.4430603272372176e-05)	(2, 3.75606581153151e-05)	(3, 6.573115170180143e-05)	(4, 0.0001126819743459453)	(5, 0.00012833224856065992)	(6, 0.0001846732357336326)	(7, 0.0002128437293201189)	(8, 0.0002691847164930916)	(9, 0.0003536961972525505)	(10, 0.0006673276925154316)	(15, 0.001980698704614283)	(20, 0.005167094534730181)	(25, 0.010521366349068348)	(30, 0.018106115244487644)	(35, 0.027371077579598703)	(40, 0.03923961953306969)	(45, 0.05324849298814503)	(50, 0.07078493825121708)	(55, 0.09307405878781363)	(60, 0.12537121667923593)	(65, 0.17279780765950709)	(70, 0.24675036141178247)	(75, 0.3724082911146319)	(80, 0.5809494470476414)	(85, 0.9459144677457552)	(90, 1.5363667612965712)	(95, 2.570665839664443)	(100, 4.050558273451733)	(105, 6.291561728969677)	(110, 9.02403387570715)	(115, 12.645712034578844)	(120, 16.407010671796787)	(125, 20.939845291405287)	(130, 25.141225883475197)	(135, 29.597338476806392)	(140, 31.910708800293172)
SRR10898043_2 - polya	(1, 0.0017903913701633532)	(2, 0.006460433195834198)	(3, 0.008435497801731183)	(4, 0.011199336228049786)	(5, 0.013412285002010435)	(6, 0.015853727779505916)	(7, 0.01954093238449268)	(8, 0.02674005852326141)	(9, 0.03549169186412983)	(10, 0.053455076607779275)	(15, 0.08025210212918224)	(20, 0.10765823632302189)	(25, 0.14091131296347897)	(30, 0.1731452437470738)	(35, 0.19488472665324957)	(40, 0.215769704587302)	(45, 0.23872677882738252)	(50, 0.2617470801752906)	(55, 0.28997328873798134)	(60, 0.31176473055454995)	(65, 0.33520445925141235)	(70, 0.36286350187656174)	(75, 0.38911777588819846)	(80, 0.4118739006073621)	(85, 0.438190149704889)	(90, 0.46272539759678144)	(95, 0.49401968591652484)	(100, 0.5153165790679085)	(105, 0.535588066252744)	(110, 0.5551039581984931)	(115, 0.5705658031116626)	(120, 0.586090249121691)	(125, 0.6008609779255386)	(130, 0.6180111744209915)	(135, 0.6380660618106954)	(140, 0.65058502916053)
SRR10898044_1 - illumina_universal_adapter	(1, 3.2660988088715797e-05)	(2, 3.2660988088715797e-05)	(3, 5.0476072500742595e-05)	(4, 8.907542206013399e-05)	(5, 9.798296426614738e-05)	(6, 0.00014548985603155218)	(7, 0.00015142821750222776)	(8, 0.00017815084412026798)	(9, 0.00018705838632628136)	(10, 0.0004174668113884946)	(15, 0.0012987196536367537)	(20, 0.002865259409600976)	(25, 0.0049561564834258555)	(30, 0.007918211184998844)	(35, 0.011408780057461959)	(40, 0.016676700518098286)	(45, 0.02312279189451665)	(50, 0.03156357888893495)	(55, 0.04323364685110663)	(60, 0.06167404072599557)	(65, 0.0909495689402792)	(70, 0.1397979365619096)	(75, 0.22767618494955538)	(80, 0.3796673591192032)	(85, 0.658792914014545)	(90, 1.1096962634998255)	(95, 1.9319253557464513)	(100, 3.121079271068505)	(105, 5.02224332056071)	(110, 7.3845704266510825)	(115, 10.699990890553504)	(120, 14.18743974789993)	(125, 18.57025099434894)	(130, 22.72184501090343)	(135, 27.375203849103382)	(140, 29.85703632293807)
SRR10898044_1 - polya	(1, 0.0012114257400178221)	(2, 0.005368278769490742)	(3, 0.007310122970401662)	(4, 0.010697958189422091)	(5, 0.013385066754902801)	(6, 0.016615535394950327)	(7, 0.02044280936280075)	(8, 0.028331922576593283)	(9, 0.03766999598923066)	(10, 0.05749877877596356)	(15, 0.08578260062464435)	(20, 0.11415015337006171)	(25, 0.14923339910266606)	(30, 0.1835244674150823)	(35, 0.20680640739701311)	(40, 0.2295758667840245)	(45, 0.25511913481398857)	(50, 0.27947591822211154)	(55, 0.3076041550002607)	(60, 0.32959212601773125)	(65, 0.3545041462233624)	(70, 0.38431709615074217)	(75, 0.41164246645805597)	(80, 0.4352415149425208)	(85, 0.4622331493351826)	(90, 0.48750681575437793)	(95, 0.520881594891869)	(100, 0.5438303927952949)	(105, 0.5662500826916834)	(110, 0.5875551421400264)	(115, 0.6050501488687837)	(120, 0.6219578516480913)	(125, 0.6370472281450781)	(130, 0.6547387946385147)	(135, 0.6753003712307291)	(140, 0.685171115667286)
SRR10898044_2 - illumina_universal_adapter	(1, 2.9691807353377997e-05)	(2, 2.9691807353377997e-05)	(3, 4.7506891765404795e-05)	(4, 8.907542206013399e-05)	(5, 9.204460279547178e-05)	(6, 0.00013658231382553877)	(7, 0.00014252067529621438)	(8, 0.00016033575970824117)	(9, 0.00016627412117891678)	(10, 0.00037174142806429254)	(15, 0.001272590863165781)	(20, 0.0029846204751615563)	(25, 0.005824938766585695)	(30, 0.009940223265763885)	(35, 0.014741982350952176)	(40, 0.02122845458537113)	(45, 0.028953075186425946)	(50, 0.03870861541045183)	(55, 0.05179379491108551)	(60, 0.0716261407147008)	(65, 0.10195572809002935)	(70, 0.1512940105329905)	(75, 0.23799408800485425)	(80, 0.3855564321896722)	(85, 0.6543296415331852)	(90, 1.0848994475067255)	(95, 1.8644323146153412)	(100, 2.9858265563762503)	(105, 4.7669751328738075)	(110, 6.961098150307292)	(115, 10.016280017971857)	(120, 13.20632741916079)	(125, 17.179947554766834)	(130, 20.89410523797924)	(135, 25.001633643240584)	(140, 27.1707205287137)
SRR10898044_2 - polya	(1, 0.0016716487539951811)	(2, 0.006217464459797352)	(3, 0.008236507359827056)	(4, 0.010846417226188981)	(5, 0.01330489887504868)	(6, 0.01593559300655797)	(7, 0.01960846957617083)	(8, 0.026630582015244725)	(9, 0.03508977793022212)	(10, 0.053986831802206)	(15, 0.08105210187710418)	(20, 0.10997548525617676)	(25, 0.1446068216808627)	(30, 0.1790582257529872)	(35, 0.20225881018276973)	(40, 0.22444155945647842)	(45, 0.24943137219737546)	(50, 0.273273893502138)	(55, 0.30084808115507305)	(60, 0.3226679965429235)	(65, 0.34590955566685366)	(70, 0.3741411199345925)	(75, 0.4002847563092418)	(80, 0.42351443871023065)	(85, 0.4500470377612092)	(90, 0.47376366580279344)	(95, 0.5047417222507198)	(100, 0.5269369420835169)	(105, 0.5481072007264753)	(110, 0.5685452594000996)	(115, 0.5849814562786355)	(120, 0.6015168237937318)	(125, 0.6166994325658081)	(130, 0.6345899341685124)	(135, 0.6552002053247862)	(140, 0.6672788325561404)
SRR10898045_1 - illumina_universal_adapter	(1, 9.347439058752476e-05)	(2, 0.00010447137771546884)	(3, 0.00016770405370114736)	(4, 0.0002941694056725044)	(5, 0.0003216618734923646)	(6, 0.0004178855108618754)	(7, 0.00044812722546372163)	(8, 0.0005690940838711066)	(9, 0.0007532936182641702)	(10, 0.0012239646673401772)	(15, 0.0031346911808204625)	(20, 0.007289352917757739)	(25, 0.012052148042870324)	(30, 0.017828865381179358)	(35, 0.025034091347408322)	(40, 0.034692745141881615)	(45, 0.04642763010611075)	(50, 0.0619003909951281)	(55, 0.08279466653822184)	(60, 0.11482284169900261)	(65, 0.16438736238335944)	(70, 0.24450866135077803)	(75, 0.38216069847803624)	(80, 0.6166159141964478)	(85, 1.02814846559451)	(90, 1.6937559574459484)	(95, 2.844056756660236)	(100, 4.488449988135626)	(105, 6.977147353496695)	(110, 10.011941903246912)	(115, 14.003062495960325)	(120, 18.13604862141907)	(125, 23.098325244087064)	(130, 27.69595112103149)	(135, 32.66998132354183)	(140, 35.27697932778112)
SRR10898045_1 - polya	(1, 0.0012014208437278917)	(2, 0.006312270611439907)	(3, 0.00855015749197653)	(4, 0.012291882362259506)	(5, 0.014774452206392884)	(6, 0.018268744866297117)	(7, 0.02235137633754636)	(8, 0.03167682142204295)	(9, 0.04168407970847207)	(10, 0.06254426459146921)	(15, 0.09370642701592438)	(20, 0.1239184497525252)	(25, 0.1610283326651289)	(30, 0.19682022667044854)	(35, 0.22120549577730814)	(40, 0.24535872845576817)	(45, 0.2719928814302923)	(50, 0.29727770408421783)	(55, 0.328463510030998)	(60, 0.3535184956539495)	(65, 0.3810043652815329)	(70, 0.4134614229403035)	(75, 0.44359151812280107)	(80, 0.46981273423067094)	(85, 0.5018590544202128)	(90, 0.5305078554365764)	(95, 0.5678244817071855)	(100, 0.5931604403512558)	(105, 0.6181252506797581)	(110, 0.6420310511478394)	(115, 0.6605054396734291)	(120, 0.6781011689274961)	(125, 0.6938466550972864)	(130, 0.7125382341186529)	(135, 0.7345360573200359)	(140, 0.7452988086221548)
SRR10898045_2 - illumina_universal_adapter	(1, 9.072514380553874e-05)	(2, 9.622363736951078e-05)	(3, 0.00015670706657320326)	(4, 0.0002831724185445603)	(5, 0.00031066488636442055)	(6, 0.00038489454947804314)	(7, 0.0004178855108618754)	(8, 0.0005251061353593303)	(9, 0.0006955594358424637)	(10, 0.001153583949721335)	(15, 0.003057712270924854)	(20, 0.007538984525562072)	(25, 0.014085490962827189)	(30, 0.02276596275226985)	(35, 0.033228496305795864)	(40, 0.04611476582232074)	(45, 0.06145666256451554)	(50, 0.08038027801428173)	(55, 0.10475784923015179)	(60, 0.13969857643176858)	(65, 0.19154002330096617)	(70, 0.27285724461854877)	(75, 0.4092193351556991)	(80, 0.636938896258245)	(85, 1.0319396769068687)	(90, 1.665616316933609)	(95, 2.7516292792472914)	(100, 4.292406698605766)	(105, 6.607524320043227)	(110, 9.4039069381064)	(115, 13.047587619800833)	(120, 16.787934017747325)	(125, 21.227905437677475)	(130, 25.278523029849204)	(135, 29.590670969897694)	(140, 31.821214612279636)
SRR10898045_2 - polya	(1, 0.0015505751850401167)	(2, 0.006958343605206622)	(3, 0.008990036977094292)	(4, 0.011994963709805016)	(5, 0.014571007944525918)	(6, 0.01717454464706668)	(7, 0.020894275543093768)	(8, 0.02857292180518073)	(9, 0.03782688647334568)	(10, 0.05736083470871276)	(15, 0.08718136470355876)	(20, 0.11737744180882403)	(25, 0.15421075049515995)	(30, 0.19044252398559736)	(35, 0.21457596208722704)	(40, 0.23748598537087298)	(45, 0.2630253882768104)	(50, 0.28792311698383216)	(55, 0.3193464578525759)	(60, 0.34312964191418066)	(65, 0.36864980009264414)	(70, 0.3994259682689084)	(75, 0.4279955909779508)	(80, 0.4534585648233489)	(85, 0.48419074505110143)	(90, 0.5106868858371699)	(95, 0.5458997884702034)	(100, 0.5699842899791137)	(105, 0.5933649843118357)	(110, 0.6157449528159147)	(115, 0.6333357334257739)	(120, 0.6508258916034126)	(125, 0.6670865866201472)	(130, 0.6869075562195536)	(135, 0.7100408183418968)	(140, 0.724019638529583)
