Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR10898046_1	(1, 30.834967941919427)	(2, 31.513577290528858)	(3, 35.33410520254411)	(4, 35.95140222559893)	(5, 36.187310657409306)	(6, 39.52708106317497)	(7, 39.62083161193497)	(8, 39.75319773002651)	(9, 39.7744841287189)	(10, 39.784433726628706)	(15, 39.73955428616917)	(20, 39.66378620869201)	(25, 39.57304451722694)	(30, 39.46100214618885)	(35, 39.45711140337964)	(40, 39.39539693231138)	(45, 39.33695101836665)	(50, 39.26434407651397)	(55, 39.20664905206754)	(60, 39.14436455428688)	(65, 39.09320735898262)	(70, 39.01017911327873)	(75, 38.6123183857941)	(80, 38.77611366400844)	(85, 38.73782804145949)	(90, 38.65301038495768)	(95, 38.567821255346146)	(100, 38.47107151739634)	(105, 38.33184510140971)	(110, 38.14184789659281)	(115, 37.98605291863441)	(120, 37.76396794807547)	(125, 37.48713256058657)	(130, 37.187700621337456)	(135, 36.854416969430886)	(140, 36.51147349042737)	(145, 36.07198789943593)	(150, 33.97296941919908)
SRR10898046_2	(1, 29.359915213441436)	(2, 29.79275755663267)	(3, 32.70145421861441)	(4, 33.77571247168824)	(5, 34.18620674022956)	(6, 37.01812415100888)	(7, 35.89985011883854)	(8, 35.5575315659519)	(9, 36.944829644611744)	(10, 37.83215589070582)	(15, 38.01854507102951)	(20, 38.0285042292428)	(25, 38.06691761375846)	(30, 37.99074150706752)	(35, 37.944564248317455)	(40, 37.78985575771547)	(45, 37.614079064617634)	(50, 37.52330764826832)	(55, 37.4124851549338)	(60, 37.28242356360057)	(65, 37.14744239895873)	(70, 37.00887154177652)	(75, 36.3081858240444)	(80, 36.4724625670856)	(85, 36.27453307917489)	(90, 36.013364419166024)	(95, 35.64531501582968)	(100, 35.21251647982136)	(105, 34.7369062126001)	(110, 34.21370720569153)	(115, 33.65660779949984)	(120, 33.14421486887051)	(125, 32.480598725778925)	(130, 31.83413264373569)	(135, 31.147116344382784)	(140, 30.66747242341807)	(145, 30.129248664827024)	(150, 27.407516758829033)
SRR10898047_1	(1, 30.84239520696909)	(2, 31.51554560447107)	(3, 35.34497777144591)	(4, 35.95225391017799)	(5, 36.189746828376585)	(6, 39.53434855022707)	(7, 39.631739741495956)	(8, 39.76387008684058)	(9, 39.78442140692378)	(10, 39.789396289886305)	(15, 39.73825329016991)	(20, 39.661828822534815)	(25, 39.566961838934404)	(30, 39.45292091125593)	(35, 39.43572492281198)	(40, 39.37083256199933)	(45, 39.318164456724205)	(50, 39.24908525508759)	(55, 39.184102866044675)	(60, 39.11738934410582)	(65, 39.05845867879751)	(70, 38.98150742485928)	(75, 38.58771711116992)	(80, 38.752604243635034)	(85, 38.71366212566717)	(90, 38.63510244190546)	(95, 38.54377394675591)	(100, 38.449879814797825)	(105, 38.3193836464807)	(110, 38.1274405331386)	(115, 37.979764356543726)	(120, 37.76363949900688)	(125, 37.49028573338664)	(130, 37.195424279470494)	(135, 36.882252183238954)	(140, 36.546776024767766)	(145, 36.118049190766435)	(150, 34.04769801574115)
SRR10898047_2	(1, 29.259075275871442)	(2, 29.752055512562432)	(3, 32.65930487581774)	(4, 33.75226980336039)	(5, 34.251702404943565)	(6, 35.8743447285318)	(7, 35.91007391354985)	(8, 36.872724313583674)	(9, 37.37246654641985)	(10, 37.75110497226413)	(15, 37.90257775551545)	(20, 37.86721911526108)	(25, 37.89866032836446)	(30, 37.810489630863444)	(35, 37.744282870314954)	(40, 37.585587095431755)	(45, 37.39693137938316)	(50, 37.30556773035321)	(55, 37.17289788043164)	(60, 37.03511157520418)	(65, 36.882716838258254)	(70, 36.74298286639758)	(75, 36.04613789609742)	(80, 36.21076127504951)	(85, 36.0045230083483)	(90, 35.75270795317401)	(95, 35.36850589453469)	(100, 34.92421512422699)	(105, 34.45718623631764)	(110, 33.92660763842625)	(115, 33.38447610109294)	(120, 32.88134683723651)	(125, 32.23329366354413)	(130, 31.601257046347733)	(135, 30.910668329755453)	(140, 30.403429522605272)	(145, 29.89477025761774)	(150, 27.245192087096378)
SRR10898048_1	(1, 30.858689308056345)	(2, 31.520251297206336)	(3, 35.352985273938344)	(4, 35.961152837189616)	(5, 36.19613540449933)	(6, 39.54507377359158)	(7, 39.6359819446724)	(8, 39.77786094849888)	(9, 39.79985795937802)	(10, 39.808604034111205)	(15, 39.76697809170933)	(20, 39.69407780854483)	(25, 39.605912039390816)	(30, 39.50256556586826)	(35, 39.48908740682935)	(40, 39.43483964389954)	(45, 39.38720044704395)	(50, 39.330659702871145)	(55, 39.2754686128389)	(60, 39.21905682365063)	(65, 39.1716119828041)	(70, 39.112890690652065)	(75, 38.74248274267899)	(80, 38.919876533241826)	(85, 38.897051358376764)	(90, 38.829929935816544)	(95, 38.74793125035609)	(100, 38.66161603616009)	(105, 38.53972925836488)	(110, 38.3645060606466)	(115, 38.23785547928643)	(120, 38.04299351035228)	(125, 37.79529788295845)	(130, 37.50974878631901)	(135, 37.20825276589428)	(140, 36.88606901135667)	(145, 36.46493711933579)	(150, 34.40323225431037)
SRR10898048_2	(1, 29.38220783835795)	(2, 30.696017416460563)	(3, 32.85493199169446)	(4, 33.60230812445602)	(5, 34.242604492753635)	(6, 36.46275930799998)	(7, 34.91685846372172)	(8, 37.071985741748186)	(9, 37.37905550354273)	(10, 37.995496639327165)	(15, 38.16679407790362)	(20, 38.144276493611436)	(25, 38.191478744259584)	(30, 38.11631516869845)	(35, 38.06534763622254)	(40, 37.93654507526754)	(45, 37.75969349321941)	(50, 37.68244609610345)	(55, 37.56602584165537)	(60, 37.45739917421275)	(65, 37.321827305033)	(70, 37.213240098223096)	(75, 36.54716020955762)	(80, 36.72764507622502)	(85, 36.55017642522251)	(90, 36.32045947224613)	(95, 35.968312134080044)	(100, 35.58227934420245)	(105, 35.163015941321476)	(110, 34.6929986339192)	(115, 34.19923348179341)	(120, 33.749378276035515)	(125, 33.16024014283785)	(130, 32.550342464102265)	(135, 31.869401352119162)	(140, 31.36182894430279)	(145, 30.86070467278131)	(150, 28.108870041964355)
SRR10898049_1	(1, 30.830524962083317)	(2, 31.51292256747436)	(3, 35.333062582374595)	(4, 35.9410631222748)	(5, 36.182859468331976)	(6, 39.52094640612601)	(7, 39.61530902926109)	(8, 39.74906431518073)	(9, 39.77018375242286)	(10, 39.7758854103089)	(15, 39.72602496102064)	(20, 39.64580869045277)	(25, 39.55014888376526)	(30, 39.43767544253997)	(35, 39.42874417234743)	(40, 39.35614914392027)	(45, 39.29982101174674)	(50, 39.23797864665118)	(55, 39.174213432272325)	(60, 39.11800815758162)	(65, 39.056274770517)	(70, 38.97784971313489)	(75, 38.58514584467045)	(80, 38.749515468211726)	(85, 38.72104399351935)	(90, 38.6494426857953)	(95, 38.555532367691875)	(100, 38.45169009124492)	(105, 38.31783753211395)	(110, 38.11252767150263)	(115, 37.963066507493444)	(120, 37.73194915216909)	(125, 37.44904391491225)	(130, 37.14988906141177)	(135, 36.800845223504915)	(140, 36.456603934685994)	(145, 35.97686464783786)	(150, 33.86197669022138)
SRR10898049_2	(1, 29.347600615168357)	(2, 30.658691433818532)	(3, 32.86816510535154)	(4, 34.035457656444386)	(5, 34.06311134003274)	(6, 37.0016885742387)	(7, 37.529889134720904)	(8, 36.599948240055625)	(9, 37.47702598029481)	(10, 37.876730464401966)	(15, 38.00340820937236)	(20, 37.95495786434354)	(25, 37.99786308188702)	(30, 37.91365423574781)	(35, 37.85302155143749)	(40, 37.69541617394766)	(45, 37.51315943606056)	(50, 37.431413967773985)	(55, 37.29879717269466)	(60, 37.171594743784425)	(65, 37.01928580332595)	(70, 36.88111537320556)	(75, 36.185719251462004)	(80, 36.33837413710453)	(85, 36.137770112969065)	(90, 35.88934782254471)	(95, 35.499234501717666)	(100, 35.039789000297205)	(105, 34.54725168217509)	(110, 33.986841940795856)	(115, 33.42818778682776)	(120, 32.86105776639577)	(125, 32.17550688876377)	(130, 31.541936708405746)	(135, 30.834071596348576)	(140, 30.3451386234128)	(145, 29.81039341161578)	(150, 27.141676214565237)
SRR10898050_1	(1, 30.84392544970167)	(2, 31.51643284427304)	(3, 35.346199616298705)	(4, 35.951899080733305)	(5, 36.190967532262405)	(6, 39.53477055392721)	(7, 39.62842971153753)	(8, 39.76378725679009)	(9, 39.78663182932034)	(10, 39.78832366102839)	(15, 39.74045215843261)	(20, 39.659652019929275)	(25, 39.5660673516255)	(30, 39.457998902968214)	(35, 39.44445469027587)	(40, 39.37093736183683)	(45, 39.31657982629373)	(50, 39.259833299578155)	(55, 39.197289694205466)	(60, 39.144929380116864)	(65, 39.07968917159057)	(70, 39.00150945803593)	(75, 38.61366171762467)	(80, 38.77205617836627)	(85, 38.74768461607785)	(90, 38.67834724953671)	(95, 38.58639612201586)	(100, 38.47631683815253)	(105, 38.3463295110441)	(110, 38.12657676439622)	(115, 37.985034151986355)	(120, 37.74410690712933)	(125, 37.47517147104688)	(130, 37.17429152765165)	(135, 36.82614437222828)	(140, 36.49001339357937)	(145, 36.013460342136625)	(150, 33.84509827679034)
SRR10898050_2	(1, 29.57155028151269)	(2, 29.741536909813785)	(3, 32.48608716985627)	(4, 33.923875060359315)	(5, 34.19792784479202)	(6, 37.20880329038426)	(7, 36.37488893954824)	(8, 37.08291167854753)	(9, 37.573889132233084)	(10, 37.90877933127557)	(15, 38.03912729630348)	(20, 38.00063683092104)	(25, 38.03990250748756)	(30, 37.963765068631496)	(35, 37.91106768598634)	(40, 37.74785881192633)	(45, 37.5621992205358)	(50, 37.498597831454504)	(55, 37.36334961331065)	(60, 37.24653833956539)	(65, 37.089901591243105)	(70, 36.948607000736686)	(75, 36.25520552662244)	(80, 36.39745512419283)	(85, 36.208963865643554)	(90, 35.96331639603039)	(95, 35.572400795683095)	(100, 35.10931622317472)	(105, 34.62625540874827)	(110, 34.04053684266811)	(115, 33.486252955401184)	(120, 32.88828458388621)	(125, 32.21116924553013)	(130, 31.5967462928681)	(135, 30.886801006337265)	(140, 30.403732602124677)	(145, 29.857601567407084)	(150, 27.169632181869325)
