Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10898047_1	(1.0, 42.37906563492343)	(2.0, 7.9215707250564025)	(3.0, 2.1499277462079993)	(4.0, 0.9647169317709351)	(5.0, 0.5904059428172794)	(6.0, 0.44776972280892463)	(7.0, 0.3434575437593811)	(8.0, 0.3031162821136819)	(9.0, 0.2797681394009354)	('>10', 3.9901826086873626)	('>50', 1.9037418202208913)	('>100', 6.667838746663706)	('>500', 4.621866316768189)	('>1k', 11.656667697893257)	('>5k', 4.5139866981342225)	('>10k+', 11.265917442773437)
SRR10898047_2	(1.0, 46.654659641156314)	(2.0, 7.480474608573605)	(3.0, 1.911554006199777)	(4.0, 0.965148137155766)	(5.0, 0.6547567142414811)	(6.0, 0.46161094754466164)	(7.0, 0.39739095689684684)	(8.0, 0.33578450379720115)	(9.0, 0.27681063804166817)	('>10', 4.283980210855068)	('>50', 1.978717758768454)	('>100', 6.698548609499684)	('>500', 4.339115035880122)	('>1k', 10.335451695284686)	('>5k', 3.8442132195779863)	('>10k+', 9.381783316526745)
SRR10898048_1	(1.0, 46.06925588562912)	(2.0, 8.58351439603101)	(3.0, 2.3690764726187243)	(4.0, 1.1251791159156845)	(5.0, 0.7195365437002327)	(6.0, 0.517690552092376)	(7.0, 0.4300217942039787)	(8.0, 0.33827258626695006)	(9.0, 0.2848930925332979)	('>10', 4.2614388922879085)	('>50', 1.989903000776346)	('>100', 6.048269001817228)	('>500', 3.6577037726986568)	('>1k', 9.361839185789506)	('>5k', 3.615736182757449)	('>10k+', 10.627669524881405)
SRR10898048_2	(1.0, 49.849396545166634)	(2.0, 8.042383587865197)	(3.0, 2.1964130246803086)	(4.0, 1.0973857473744848)	(5.0, 0.6959112848397553)	(6.0, 0.5562125333302828)	(7.0, 0.4242311689529225)	(8.0, 0.38476432755568774)	(9.0, 0.3060837957228588)	('>10', 4.437574171074858)	('>50', 2.023258172483334)	('>100', 6.074684179674362)	('>500', 3.4241310968454473)	('>1k', 8.5372202573049)	('>5k', 3.0685274395945488)	('>10k+', 8.88182266753414)
SRR10898049_1	(1.0, 36.35289172911932)	(2.0, 10.133864077649674)	(3.0, 3.007001995757567)	(4.0, 1.2131415845346991)	(5.0, 0.7086846591044391)	(6.0, 0.5053836616327303)	(7.0, 0.3750507997427138)	(8.0, 0.3411875621462389)	(9.0, 0.2808479328641915)	('>10', 4.304578903559777)	('>50', 1.9660337283625724)	('>100', 6.172335700929578)	('>500', 3.8684263331978275)	('>1k', 9.626513558825808)	('>5k', 4.69572657374731)	('>10k+', 16.448331198825507)
SRR10898049_2	(1.0, 40.99374138738149)	(2.0, 9.362761774318134)	(3.0, 2.7234418751494807)	(4.0, 1.214396415098286)	(5.0, 0.7182975573987795)	(6.0, 0.5042582981839376)	(7.0, 0.40184382218447917)	(8.0, 0.33797238674161983)	(9.0, 0.2954534583149782)	('>10', 4.5442204556805645)	('>50', 2.146334042774759)	('>100', 6.156910315796817)	('>500', 3.7282353051166734)	('>1k', 8.973543737917913)	('>5k', 3.8905124817555268)	('>10k+', 14.008076686186467)
SRR10898050_1	(1.0, 35.78625476642148)	(2.0, 10.150738558780139)	(3.0, 2.936402513870188)	(4.0, 1.171886125282644)	(5.0, 0.6582844525249869)	(6.0, 0.47568884537421097)	(7.0, 0.3673227713672669)	(8.0, 0.2954406278198302)	(9.0, 0.277662919250361)	('>10', 4.177099551705223)	('>50', 1.8903020059059508)	('>100', 6.044672812288732)	('>500', 3.638440070476005)	('>1k', 8.52475418769135)	('>5k', 4.087873335833262)	('>10k+', 19.51717645540832)
SRR10898050_2	(1.0, 41.07282453443707)	(2.0, 9.190197267703267)	(3.0, 2.582439201066891)	(4.0, 1.0081764070908492)	(5.0, 0.6116471720144241)	(6.0, 0.504042256706335)	(7.0, 0.4026654943555437)	(8.0, 0.33553000941920896)	(9.0, 0.30769562472290973)	('>10', 4.404251091938888)	('>50', 1.997629636013482)	('>100', 5.990067547769991)	('>500', 3.351532220340378)	('>1k', 7.684742331401289)	('>5k', 3.7493535324824343)	('>10k+', 16.807205672537)
SRR10898051_1	(1.0, 40.64967196377593)	(2.0, 8.249909459243815)	(3.0, 2.2713798671969183)	(4.0, 1.0468971835257637)	(5.0, 0.6718769410842829)	(6.0, 0.498769735293758)	(7.0, 0.3694869767847961)	(8.0, 0.31951890116336595)	(9.0, 0.2720451479696913)	('>10', 4.149598178056902)	('>50', 1.9506062482032793)	('>100', 6.44889408580398)	('>500', 4.2785929205663065)	('>1k', 10.972453345754586)	('>5k', 4.018149704680975)	('>10k+', 13.832149340895656)
SRR10898051_2	(1.0, 45.48355031735948)	(2.0, 7.567823905691283)	(3.0, 2.1938147133924026)	(4.0, 1.0754765407867868)	(5.0, 0.6462016180522286)	(6.0, 0.4930624364771086)	(7.0, 0.3986004585735973)	(8.0, 0.32621434586787573)	(9.0, 0.31962955600587994)	('>10', 4.585353086854637)	('>50', 2.1298139877437117)	('>100', 6.632932034833796)	('>500', 4.032296846995228)	('>1k', 9.509818847680222)	('>5k', 3.5542411956575473)	('>10k+', 11.051170108028323)
