Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
DRR049647	(1.0, 39.90625261391748)	(2.0, 10.747382239486104)	(3.0, 4.901981736952137)	(4.0, 2.9192809944004843)	(5.0, 2.049815210975509)	(6.0, 1.6159045644587398)	(7.0, 1.288577654751155)	(8.0, 1.0535507637407782)	(9.0, 0.8936227324751717)	('>10', 11.264415911259293)	('>50', 4.164527781678026)	('>100', 8.702687636316188)	('>500', 3.084372477368408)	('>1k', 4.854981757683582)	('>5k', 0.8244872102811591)	('>10k+', 1.7281587142558446)
DRR049648	(1.0, 14.436956737340944)	(2.0, 5.509785029801561)	(3.0, 2.472782108864371)	(4.0, 1.5509337487220693)	(5.0, 1.1050548930717397)	(6.0, 0.8833394614320398)	(7.0, 0.6942849442681909)	(8.0, 0.6305806845812992)	(9.0, 0.5642599473331505)	('>10', 9.04159857277631)	('>50', 4.920873820939529)	('>100', 14.958341430396297)	('>500', 7.6628452525405315)	('>1k', 21.21851739232768)	('>5k', 8.022164884227976)	('>10k+', 6.327681091376275)
DRR049649	(1.0, 13.099415328628169)	(2.0, 5.263104349087711)	(3.0, 2.3853807265617406)	(4.0, 1.4485283143696495)	(5.0, 1.0459153074481717)	(6.0, 0.8091382111607527)	(7.0, 0.6369052410995412)	(8.0, 0.5366760793522922)	(9.0, 0.5070887843007781)	('>10', 8.149324037976747)	('>50', 4.77673584875999)	('>100', 15.259621086708485)	('>500', 8.250530264424754)	('>1k', 22.118378123216896)	('>5k', 8.029541725873994)	('>10k+', 7.683716571030345)
DRR049650	(1.0, 15.412624926578305)	(2.0, 5.874686552814286)	(3.0, 2.5365079244165334)	(4.0, 1.4948903410042056)	(5.0, 1.0600109450900412)	(6.0, 0.8148191402929448)	(7.0, 0.70883183329789)	(8.0, 0.5614677084060359)	(9.0, 0.5009042644440812)	('>10', 8.234919777338146)	('>50', 4.663691642604297)	('>100', 14.87373065297135)	('>500', 8.04311294305071)	('>1k', 21.001915427859608)	('>5k', 7.479762648043112)	('>10k+', 6.738123271788478)
DRR049651	(1.0, 14.375227823613473)	(2.0, 5.227036888209711)	(3.0, 2.443906834406534)	(4.0, 1.4286846369097073)	(5.0, 1.1005215146080987)	(6.0, 0.8153162725534402)	(7.0, 0.6486130613444346)	(8.0, 0.5572395788379724)	(9.0, 0.4835692003445934)	('>10', 7.832136596719789)	('>50', 4.365978285424413)	('>100', 14.680140339422909)	('>500', 7.894810026694235)	('>1k', 22.42153321883727)	('>5k', 8.867554895399133)	('>10k+', 6.857730826674298)
DRR049652	(1.0, 14.347460513178037)	(2.0, 5.517894907041927)	(3.0, 2.5001232571351006)	(4.0, 1.5215339915074904)	(5.0, 1.1123561653665988)	(6.0, 0.8804914811393773)	(7.0, 0.6582959593506257)	(8.0, 0.6070447086550094)	(9.0, 0.5186452290113913)	('>10', 8.088954631632577)	('>50', 4.5193433023065355)	('>100', 15.138403007213292)	('>500', 8.192157366843567)	('>1k', 21.191117966721983)	('>5k', 8.242346842618826)	('>10k+', 6.963830670277566)
DRR049653	(1.0, 27.58391360303318)	(2.0, 10.994769250223639)	(3.0, 5.276595373660035)	(4.0, 3.3759915918503207)	(5.0, 2.4062589644127184)	(6.0, 1.8597645636044557)	(7.0, 1.463423967438256)	(8.0, 1.279474080162367)	(9.0, 1.0794736293499108)	('>10', 14.23107686743281)	('>50', 5.27630359374958)	('>100', 11.91299523444792)	('>500', 4.295799109858111)	('>1k', 5.873608911146671)	('>5k', 1.1761229680190892)	('>10k+', 1.914428291610983)
DRR049654	(1.0, 16.983174569581067)	(2.0, 6.128538505846991)	(3.0, 2.6837584373115035)	(4.0, 1.597809503781765)	(5.0, 1.1689068678667793)	(6.0, 0.8614604499188787)	(7.0, 0.7268144857191581)	(8.0, 0.6497229075493203)	(9.0, 0.5334568162218897)	('>10', 8.91244171846327)	('>50', 5.051912953598373)	('>100', 15.108036340029122)	('>500', 8.062888929955655)	('>1k', 19.995350631760722)	('>5k', 6.954399774102166)	('>10k+', 4.581327108293313)
DRR049655	(1.0, 15.272476577624392)	(2.0, 5.769272796927439)	(3.0, 2.5631249912531526)	(4.0, 1.59910935682477)	(5.0, 1.1193962514667608)	(6.0, 0.8836515729069568)	(7.0, 0.784046751740814)	(8.0, 0.6247060171892898)	(9.0, 0.5775724097552665)	('>10', 8.88049076959713)	('>50', 4.879655286097619)	('>100', 15.337112480733136)	('>500', 8.534402948311419)	('>1k', 22.119326157076248)	('>5k', 6.551952916034128)	('>10k+', 4.503702716461355)
DRR049656	(1.0, 23.031696482455704)	(2.0, 9.643898958125854)	(3.0, 4.486894947552892)	(4.0, 2.7714944793951632)	(5.0, 1.8997269422768672)	(6.0, 1.476572471079978)	(7.0, 1.1066561746738082)	(8.0, 0.924049723108754)	(9.0, 0.8096213638369691)	('>10', 9.960312040243288)	('>50', 3.8658211661192454)	('>100', 9.734605028299384)	('>500', 4.674460517818421)	('>1k', 11.430731180653162)	('>5k', 5.43851759911707)	('>10k+', 8.744940925243466)
DRR049657	(1.0, 32.01221823818673)	(2.0, 12.802868927270941)	(3.0, 6.442266646945735)	(4.0, 4.046947609576688)	(5.0, 2.9509553690094124)	(6.0, 2.20016759844393)	(7.0, 1.777164196892484)	(8.0, 1.5589647680579184)	(9.0, 1.2179321985648548)	('>10', 14.004944110692765)	('>50', 4.291032099546245)	('>100', 7.23626161785851)	('>500', 2.5415095854977676)	('>1k', 4.224665105372232)	('>5k', 1.2605792349352063)	('>10k+', 1.4315226931484608)
DRR049658	(1.0, 29.392096494015398)	(2.0, 10.795427144078714)	(3.0, 4.9821565274452455)	(4.0, 3.0311821263113097)	(5.0, 2.102022658127724)	(6.0, 1.6581094971789296)	(7.0, 1.3129185120882925)	(8.0, 1.1029575367031177)	(9.0, 0.9625145148432358)	('>10', 11.545712320723153)	('>50', 3.895938296242882)	('>100', 9.604741447008546)	('>500', 4.10540068331643)	('>1k', 9.689241833622894)	('>5k', 2.714528461103574)	('>10k+', 3.1050519471904665)
DRR049659	(1.0, 30.229156423380516)	(2.0, 11.138191221104545)	(3.0, 5.096502463264631)	(4.0, 3.222044527436705)	(5.0, 2.250558584184829)	(6.0, 1.775182164309524)	(7.0, 1.4725420812036614)	(8.0, 1.2382186470893461)	(9.0, 0.991690485450423)	('>10', 12.95560055365411)	('>50', 5.062546572264757)	('>100', 11.542449767428533)	('>500', 4.311926641158758)	('>1k', 5.837219498840715)	('>5k', 1.2334198277487012)	('>10k+', 1.6427505414801746)
DRR049660	(1.0, 28.803060884174442)	(2.0, 10.546418619140765)	(3.0, 4.500690165787029)	(4.0, 2.605570116377814)	(5.0, 1.8802026132504226)	(6.0, 1.4041476213668713)	(7.0, 1.1118314352543728)	(8.0, 0.9871860955725814)	(9.0, 0.7905128954175602)	('>10', 10.310651058158605)	('>50', 3.891972658091509)	('>100', 9.74229185090766)	('>500', 4.576643113821118)	('>1k', 9.450721593846293)	('>5k', 3.2694224594200545)	('>10k+', 6.128676819412939)
DRR049661	(1.0, 23.549164534538736)	(2.0, 9.27669477612206)	(3.0, 4.219631334859781)	(4.0, 2.4631412550822693)	(5.0, 1.7696130010175257)	(6.0, 1.387397816360988)	(7.0, 1.0768993561331404)	(8.0, 0.9104937320459635)	(9.0, 0.8124186262383543)	('>10', 11.630196802834465)	('>50', 5.391904896185231)	('>100', 14.619479840961397)	('>500', 6.725976791640818)	('>1k', 12.056186252338604)	('>5k', 2.4310758150800296)	('>10k+', 1.679725168560597)
DRR049662	(1.0, 13.121052778322738)	(2.0, 5.291980840674865)	(3.0, 2.5842761541686086)	(4.0, 1.687379320471989)	(5.0, 1.279532828407478)	(6.0, 1.0109647948378515)	(7.0, 0.8891693932696401)	(8.0, 0.7737379865956783)	(9.0, 0.6970154989574467)	('>10', 11.372645261205145)	('>50', 5.5218811395347345)	('>100', 15.249143385767757)	('>500', 7.7808534258181306)	('>1k', 18.04053715756167)	('>5k', 6.314764334852095)	('>10k+', 8.385065699554163)
