Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
DRR076633_1	(150, 109844424.0)																																											
DRR076633_2	(150, 109844424.0)																																											
DRR076634_1	(150, 108383911.0)																																											
DRR076634_2	(150, 108383911.0)																																											
DRR076635_1	(150, 109131809.0)																																											
DRR076635_2	(150, 109131809.0)																																											
DRR076636_1	(150, 108340378.0)																																											
DRR076636_2	(150, 108340378.0)																																											
DRR076637_1	(150, 109208595.0)																																											
DRR076637_2	(150, 109208595.0)																																											
DRR076638_1	(150, 108833077.0)																																											
DRR076638_2	(150, 108833077.0)																																											
DRR076639_1	(150, 109796863.0)																																											
DRR076639_2	(150, 109796863.0)																																											
DRR076640_1	(150, 109617363.0)																																											
DRR076640_2	(150, 109617363.0)																																											
DRR076641_1	(150, 109962588.0)																																											
DRR076641_2	(150, 109962588.0)																																											
DRR076642_1	(150, 109616988.0)																																											
DRR076642_2	(150, 109616988.0)																																											
DRR076643_1	(150, 108937700.0)																																											
DRR076643_2	(150, 108937700.0)																																											
