Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
DRR049645	(2.0, 23.0)	(3.0, 4.0)	(4.0, 13.0)	(5.0, 14.0)	(6.0, 44.0)	(7.0, 25.0)	(8.0, 43.0)	(9.0, 58.0)	(10.0, 91.0)	(11.0, 123.0)	(12.0, 118.0)	(13.0, 191.0)	(14.0, 206.0)	(15.0, 274.0)	(16.0, 428.0)	(17.0, 686.0)	(18.0, 1042.0)	(19.0, 1436.0)	(20.0, 1869.0)	(21.0, 2667.0)	(22.0, 3591.0)	(23.0, 4939.0)	(24.0, 7159.0)	(25.0, 11614.0)	(26.0, 18500.0)	(27.0, 29156.0)	(28.0, 45632.0)	(29.0, 69948.0)	(30.0, 104026.0)	(31.0, 148326.0)	(32.0, 202633.0)	(33.0, 276434.0)	(34.0, 388083.0)	(35.0, 566237.0)	(36.0, 827872.0)	(37.0, 1488344.0)	(38.0, 4532261.0)	(39.0, 10386091.0)
DRR049646	(2.0, 73.0)	(3.0, 8.0)	(4.0, 27.0)	(5.0, 47.0)	(6.0, 78.0)	(7.0, 61.0)	(8.0, 104.0)	(9.0, 128.0)	(10.0, 172.0)	(11.0, 206.0)	(12.0, 252.0)	(13.0, 363.0)	(14.0, 442.0)	(15.0, 682.0)	(16.0, 999.0)	(17.0, 1405.0)	(18.0, 1999.0)	(19.0, 2846.0)	(20.0, 3697.0)	(21.0, 5046.0)	(22.0, 6772.0)	(23.0, 9678.0)	(24.0, 14303.0)	(25.0, 22184.0)	(26.0, 34827.0)	(27.0, 53548.0)	(28.0, 82883.0)	(29.0, 123885.0)	(30.0, 179971.0)	(31.0, 255439.0)	(32.0, 357608.0)	(33.0, 508987.0)	(34.0, 751892.0)	(35.0, 1166931.0)	(36.0, 1941890.0)	(37.0, 3256236.0)	(38.0, 4362631.0)	(39.0, 1744684.0)
DRR049647	(2.0, 264.0)	(3.0, 53.0)	(4.0, 168.0)	(5.0, 245.0)	(6.0, 274.0)	(7.0, 344.0)	(8.0, 406.0)	(9.0, 514.0)	(10.0, 640.0)	(11.0, 877.0)	(12.0, 1076.0)	(13.0, 1496.0)	(14.0, 2025.0)	(15.0, 2766.0)	(16.0, 3774.0)	(17.0, 5321.0)	(18.0, 7123.0)	(19.0, 9538.0)	(20.0, 12424.0)	(21.0, 16935.0)	(22.0, 23629.0)	(23.0, 34487.0)	(24.0, 50994.0)	(25.0, 77418.0)	(26.0, 117777.0)	(27.0, 175372.0)	(28.0, 254511.0)	(29.0, 359325.0)	(30.0, 488889.0)	(31.0, 644640.0)	(32.0, 819073.0)	(33.0, 1005299.0)	(34.0, 1186291.0)	(35.0, 1318312.0)	(36.0, 1365582.0)	(37.0, 1288969.0)	(38.0, 1072239.0)	(39.0, 389875.0)
DRR049648	(2.0, 52.0)	(3.0, 3.0)	(4.0, 3.0)	(5.0, 9.0)	(6.0, 23.0)	(7.0, 27.0)	(8.0, 53.0)	(9.0, 48.0)	(10.0, 70.0)	(11.0, 97.0)	(12.0, 128.0)	(13.0, 141.0)	(14.0, 200.0)	(15.0, 296.0)	(16.0, 458.0)	(17.0, 690.0)	(18.0, 1105.0)	(19.0, 1497.0)	(20.0, 2025.0)	(21.0, 2957.0)	(22.0, 3883.0)	(23.0, 5367.0)	(24.0, 8401.0)	(25.0, 13357.0)	(26.0, 21358.0)	(27.0, 34759.0)	(28.0, 54432.0)	(29.0, 84096.0)	(30.0, 124800.0)	(31.0, 179006.0)	(32.0, 243177.0)	(33.0, 331489.0)	(34.0, 470084.0)	(35.0, 689219.0)	(36.0, 1032694.0)	(37.0, 1927612.0)	(38.0, 6066741.0)	(39.0, 10422670.0)
DRR049649	(2.0, 44.0)	(3.0, 2.0)	(4.0, 3.0)	(5.0, 14.0)	(6.0, 25.0)	(7.0, 16.0)	(8.0, 35.0)	(9.0, 49.0)	(10.0, 66.0)	(11.0, 88.0)	(12.0, 120.0)	(13.0, 153.0)	(14.0, 213.0)	(15.0, 292.0)	(16.0, 484.0)	(17.0, 707.0)	(18.0, 1132.0)	(19.0, 1593.0)	(20.0, 2277.0)	(21.0, 3152.0)	(22.0, 4303.0)	(23.0, 6011.0)	(24.0, 9202.0)	(25.0, 14922.0)	(26.0, 23568.0)	(27.0, 37965.0)	(28.0, 60116.0)	(29.0, 92118.0)	(30.0, 137388.0)	(31.0, 195631.0)	(32.0, 264692.0)	(33.0, 357498.0)	(34.0, 499838.0)	(35.0, 733408.0)	(36.0, 1072451.0)	(37.0, 1925235.0)	(38.0, 5955143.0)	(39.0, 12848790.0)
DRR049650	(2.0, 41.0)	(3.0, 3.0)	(4.0, 11.0)	(5.0, 15.0)	(6.0, 21.0)	(7.0, 29.0)	(8.0, 28.0)	(9.0, 40.0)	(10.0, 77.0)	(11.0, 116.0)	(12.0, 104.0)	(13.0, 161.0)	(14.0, 188.0)	(15.0, 257.0)	(16.0, 453.0)	(17.0, 705.0)	(18.0, 1033.0)	(19.0, 1573.0)	(20.0, 2070.0)	(21.0, 2895.0)	(22.0, 4023.0)	(23.0, 5457.0)	(24.0, 8458.0)	(25.0, 13372.0)	(26.0, 21051.0)	(27.0, 34617.0)	(28.0, 54493.0)	(29.0, 83734.0)	(30.0, 123983.0)	(31.0, 176184.0)	(32.0, 239343.0)	(33.0, 324497.0)	(34.0, 454935.0)	(35.0, 669609.0)	(36.0, 978795.0)	(37.0, 1755050.0)	(38.0, 5452973.0)	(39.0, 12289680.0)
DRR049651	(2.0, 58.0)	(3.0, 7.0)	(4.0, 33.0)	(5.0, 45.0)	(6.0, 79.0)	(7.0, 65.0)	(8.0, 101.0)	(9.0, 133.0)	(10.0, 153.0)	(11.0, 241.0)	(12.0, 305.0)	(13.0, 403.0)	(14.0, 549.0)	(15.0, 786.0)	(16.0, 1173.0)	(17.0, 1778.0)	(18.0, 2547.0)	(19.0, 3610.0)	(20.0, 4920.0)	(21.0, 6450.0)	(22.0, 8834.0)	(23.0, 12853.0)	(24.0, 19410.0)	(25.0, 30513.0)	(26.0, 47558.0)	(27.0, 74831.0)	(28.0, 115723.0)	(29.0, 172662.0)	(30.0, 253330.0)	(31.0, 358813.0)	(32.0, 503050.0)	(33.0, 714620.0)	(34.0, 1066502.0)	(35.0, 1675022.0)	(36.0, 2820803.0)	(37.0, 4788894.0)	(38.0, 6409223.0)	(39.0, 2528126.0)
DRR049652	(2.0, 59.0)	(3.0, 2.0)	(4.0, 15.0)	(5.0, 8.0)	(6.0, 37.0)	(7.0, 33.0)	(8.0, 52.0)	(9.0, 50.0)	(10.0, 88.0)	(11.0, 119.0)	(12.0, 125.0)	(13.0, 146.0)	(14.0, 242.0)	(15.0, 294.0)	(16.0, 440.0)	(17.0, 755.0)	(18.0, 1003.0)	(19.0, 1515.0)	(20.0, 2089.0)	(21.0, 2833.0)	(22.0, 4051.0)	(23.0, 5611.0)	(24.0, 8549.0)	(25.0, 13839.0)	(26.0, 22110.0)	(27.0, 35251.0)	(28.0, 55998.0)	(29.0, 84908.0)	(30.0, 125120.0)	(31.0, 178219.0)	(32.0, 240557.0)	(33.0, 324732.0)	(34.0, 453434.0)	(35.0, 663166.0)	(36.0, 976728.0)	(37.0, 1787592.0)	(38.0, 5530054.0)	(39.0, 9775391.0)
DRR049653	(2.0, 118.0)	(3.0, 7.0)	(4.0, 10.0)	(5.0, 19.0)	(6.0, 48.0)	(7.0, 33.0)	(8.0, 56.0)	(9.0, 64.0)	(10.0, 120.0)	(11.0, 138.0)	(12.0, 144.0)	(13.0, 214.0)	(14.0, 270.0)	(15.0, 361.0)	(16.0, 554.0)	(17.0, 828.0)	(18.0, 1229.0)	(19.0, 1736.0)	(20.0, 2395.0)	(21.0, 3119.0)	(22.0, 4265.0)	(23.0, 5881.0)	(24.0, 8993.0)	(25.0, 13914.0)	(26.0, 21696.0)	(27.0, 34733.0)	(28.0, 53504.0)	(29.0, 81818.0)	(30.0, 119413.0)	(31.0, 167335.0)	(32.0, 227964.0)	(33.0, 309039.0)	(34.0, 434073.0)	(35.0, 632300.0)	(36.0, 932293.0)	(37.0, 1706007.0)	(38.0, 5145129.0)	(39.0, 9008069.0)
DRR049654	(2.0, 41.0)	(3.0, 1.0)	(4.0, 8.0)	(5.0, 12.0)	(6.0, 24.0)	(7.0, 17.0)	(8.0, 27.0)	(9.0, 40.0)	(10.0, 63.0)	(11.0, 80.0)	(12.0, 106.0)	(13.0, 122.0)	(14.0, 183.0)	(15.0, 243.0)	(16.0, 345.0)	(17.0, 509.0)	(18.0, 764.0)	(19.0, 1282.0)	(20.0, 1704.0)	(21.0, 2386.0)	(22.0, 3353.0)	(23.0, 4582.0)	(24.0, 7076.0)	(25.0, 11113.0)	(26.0, 17854.0)	(27.0, 28925.0)	(28.0, 45963.0)	(29.0, 70758.0)	(30.0, 106158.0)	(31.0, 152313.0)	(32.0, 204063.0)	(33.0, 276314.0)	(34.0, 386592.0)	(35.0, 566277.0)	(36.0, 827448.0)	(37.0, 1485864.0)	(38.0, 4605760.0)	(39.0, 9814705.0)
